Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2022,
        "test_year": 2023,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 32, train_loss 0.002048, train_ic -0.000717, train_icir -0.010047, train_ric 0.002093, train_ricir 0.027272, train_mae 0.098565, train_rmse 0.102102, train_mape 1285.544922, train_acc 0.228289, valid_loss 0.0094660969, valid_ic 0.008620, valid_icir 0.118767, valid_ric 0.019159, valid_ricir 0.212385, valid_mae 0.079028, valid_rmse 0.086472, valid_mape 1630.605469, valid_acc 0.662237, test_loss 0.008458, ic 0.014674, icir 0.282314, ric 0.030470, ricir 0.457906, prec@10 0.487603, prec@30 0.485950, test_mae 0.070855, test_rmse 0.076629, test_mape 1294.762573, test_acc 0.803498
Epoch 33, train_loss 0.002057, train_ic -0.003222, train_icir -0.047914, train_ric -0.009696, train_ricir -0.104040, train_mae 0.053923, train_rmse 0.057837, train_mape 1174.328369, train_acc 0.613025, valid_loss 0.0061177113, valid_ic 0.004586, valid_icir 0.083964, valid_ric -0.009140, valid_ricir -0.097022, valid_mae 0.057444, valid_rmse 0.066959, valid_mape 1229.768311, valid_acc 0.662646, test_loss 0.005173, ic 0.011181, icir 0.278534, ric 0.005224, ricir 0.058404, prec@10 0.485950, prec@30 0.493113, test_mae 0.049685, test_rmse 0.056053, test_mape 965.297913, test_acc 0.803891
Epoch 34, train_loss 0.002034, train_ic -0.000969, train_icir -0.011900, train_ric 0.009727, train_ricir 0.105010, train_mae 0.122611, train_rmse 0.128796, train_mape 663.767517, train_acc 0.134028, valid_loss 0.0114335298, valid_ic 0.011471, valid_icir 0.137269, valid_ric 0.027013, valid_ricir 0.219727, valid_mae 0.089243, valid_rmse 0.096548, valid_mape 1825.749756, valid_acc 0.663668, test_loss 0.010332, ic 0.017911, icir 0.297706, ric 0.035790, ricir 0.376755, prec@10 0.500413, prec@30 0.518733, test_mae 0.080238, test_rmse 0.086229, test_mape 1437.200806, test_acc 0.803694
Epoch 35, train_loss 0.002056, train_ic 0.002280, train_icir 0.031885, train_ric 0.000698, train_ricir 0.009631, train_mae 0.054215, train_rmse 0.057356, train_mape 1144.374756, train_acc 0.679383, valid_loss 0.0060003783, valid_ic 0.010912, valid_icir 0.141647, valid_ric 0.013857, valid_ricir 0.162331, valid_mae 0.055363, valid_rmse 0.065666, valid_mape 1167.283936, valid_acc 0.659374, test_loss 0.004982, ic 0.019420, icir 0.364839, ric 0.028047, ricir 0.436944, prec@10 0.440083, prec@30 0.441598, test_mae 0.048051, test_rmse 0.056389, test_mape 950.152466, test_acc 0.787385
Epoch 36, train_loss 0.002000, train_ic 0.002198, train_icir 0.026530, train_ric 0.005016, train_ricir 0.060434, train_mae 0.054347, train_rmse 0.058153, train_mape 1175.118774, train_acc 0.667703, valid_loss 0.0057966568, valid_ic 0.013021, valid_icir 0.141795, valid_ric 0.019595, valid_ricir 0.182506, valid_mae 0.053729, valid_rmse 0.064366, valid_mape 1112.686646, valid_acc 0.668166, test_loss 0.004748, ic 0.020220, icir 0.307258, ric 0.030686, ricir 0.375966, prec@10 0.483058, prec@30 0.469008, test_mae 0.047280, test_rmse 0.055611, test_mape 915.506470, test_acc 0.770682
Epoch 37, train_loss 0.002065, train_ic 0.003626, train_icir 0.048128, train_ric 0.002414, train_ricir 0.032252, train_mae 0.082740, train_rmse 0.085783, train_mape 1855.433472, train_acc 0.531374, valid_loss 0.0093774102, valid_ic 0.009332, valid_icir 0.132692, valid_ric 0.014523, valid_ricir 0.158917, valid_mae 0.078766, valid_rmse 0.086010, valid_mape 1625.396118, valid_acc 0.659579, test_loss 0.008344, ic 0.016198, icir 0.320238, ric 0.028134, ricir 0.405147, prec@10 0.449587, prec@30 0.449862, test_mae 0.070435, test_rmse 0.076289, test_mape 1285.462769, test_acc 0.804677
Epoch 38, train_loss 0.001923, train_ic 0.001363, train_icir 0.015349, train_ric 0.008094, train_ricir 0.085675, train_mae 0.069532, train_rmse 0.083857, train_mape 1240.131714, train_acc 0.499235, valid_loss 0.0073219241, valid_ic 0.013126, valid_icir 0.142871, valid_ric 0.025300, valid_ricir 0.197472, valid_mae 0.065202, valid_rmse 0.074190, valid_mape 1331.580444, valid_acc 0.666530, test_loss 0.006259, ic 0.019072, icir 0.281166, ric 0.033780, ricir 0.336794, prec@10 0.474793, prec@30 0.472176, test_mae 0.057684, test_rmse 0.065199, test_mape 1076.519287, test_acc 0.793869
Epoch 39, train_loss 0.001946, train_ic -0.000221, train_icir -0.003271, train_ric -0.002433, train_ricir -0.027797, train_mae 0.096624, train_rmse 0.102334, train_mape 1495.087769, train_acc 0.477645, valid_loss 0.0113668935, valid_ic 0.005125, valid_icir 0.110060, valid_ric -0.002084, valid_ricir -0.023465, valid_mae 0.088729, valid_rmse 0.096017, valid_mape 1872.739746, valid_acc 0.659579, test_loss 0.010493, ic 0.013235, icir 0.318832, ric 0.011297, ricir 0.140382, prec@10 0.446281, prec@30 0.448072, test_mae 0.080684, test_rmse 0.086239, test_mape 1469.670288, test_acc 0.805266
Epoch 40, train_loss 0.001807, train_ic 0.002779, train_icir 0.026386, train_ric 0.013700, train_ricir 0.095818, train_mae 0.104622, train_rmse 0.108390, train_mape 1104.021240, train_acc 0.185045, valid_loss 0.0100692799, valid_ic 0.009841, valid_icir 0.116981, valid_ric 0.033348, valid_ricir 0.180775, valid_mae 0.083009, valid_rmse 0.089492, valid_mape 1664.764404, valid_acc 0.659988, test_loss 0.008965, ic 0.010236, icir 0.149464, ric 0.032650, ricir 0.216342, prec@10 0.566116, prec@30 0.556749, test_mae 0.073780, test_rmse 0.079880, test_mape 1334.539551, test_acc 0.804677
Epoch 41, train_loss 0.001892, train_ic 0.002295, train_icir 0.025239, train_ric 0.010461, train_ricir 0.098427, train_mae 0.053075, train_rmse 0.071985, train_mape 1109.073120, train_acc 0.699558, valid_loss 0.0055932899, valid_ic 0.013498, valid_icir 0.128541, valid_ric 0.027275, valid_ricir 0.190294, valid_mae 0.051649, valid_rmse 0.063389, valid_mape 1062.819824, valid_acc 0.670415, test_loss 0.004536, ic 0.018655, icir 0.247127, ric 0.033911, ricir 0.297447, prec@10 0.507438, prec@30 0.489256, test_mae 0.045084, test_rmse 0.054868, test_mape 902.941162, test_acc 0.765180
