Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 45, train_loss 0.001621, train_ic 0.000199, train_icir 0.003073, train_ric -0.010754, train_ricir -0.121074, valid_loss 0.0017049581 , valid_ic 0.000318, valid_icir 0.009370, valid_ric -0.007204, valid_ricir -0.102759, test_loss 0.003534, ic -0.002489, icir -0.051346, ric -0.005061, ricir -0.065382, prec@10 0.504938, prec@30 0.487654 
Epoch 46, train_loss 0.001736, train_ic 0.003620, train_icir 0.056111, train_ric 0.000931, train_ricir 0.009029, valid_loss 0.0016216531 , valid_ic -0.005528, valid_icir -0.153697, valid_ric -0.007092, valid_ricir -0.088314, test_loss 0.003421, ic -0.009822, icir -0.199457, ric -0.010547, ricir -0.093359, prec@10 0.658025, prec@30 0.597257 
Epoch 47, train_loss 0.001627, train_ic 0.004305, train_icir 0.065913, train_ric -0.005717, train_ricir -0.056464, valid_loss 0.0020763805 , valid_ic -0.005129, valid_icir -0.118622, valid_ric -0.016447, valid_ricir -0.214128, test_loss 0.003873, ic -0.009566, icir -0.150233, ric -0.013773, ricir -0.109172, prec@10 0.591358, prec@30 0.585322 
Epoch 48, train_loss 0.001738, train_ic 0.004564, train_icir 0.074264, train_ric 0.002563, train_ricir 0.036277, valid_loss 0.0013791259 , valid_ic -0.003116, valid_icir -0.073805, valid_ric -0.004747, valid_ricir -0.101156, test_loss 0.003275, ic -0.008065, icir -0.130965, ric -0.002614, ricir -0.037771, prec@10 0.532510, prec@30 0.516461 
Epoch 49, train_loss 0.001571, train_ic 0.004140, train_icir 0.071381, train_ric -0.007092, train_ricir -0.088177, valid_loss 0.0013510768 , valid_ic -0.002710, valid_icir -0.070810, valid_ric -0.014998, valid_ricir -0.274588, test_loss 0.003145, ic -0.006886, icir -0.122653, ric -0.009969, ricir -0.125410, prec@10 0.509465, prec@30 0.499040 
Epoch 50, train_loss 0.001545, train_ic 0.005811, train_icir 0.066567, train_ric 0.005282, train_ricir 0.038978, valid_loss 0.0022960595 , valid_ic -0.007294, valid_icir -0.138749, valid_ric -0.010313, valid_ricir -0.096872, test_loss 0.004038, ic -0.012647, icir -0.183893, ric -0.012979, ricir -0.083324, prec@10 0.657613, prec@30 0.597531 
Epoch 51, train_loss 0.001625, train_ic 0.000954, train_icir 0.020632, train_ric -0.024934, train_ricir -0.233515, valid_loss 0.0013339344 , valid_ic -0.005117, valid_icir -0.162140, valid_ric -0.025894, valid_ricir -0.428597, test_loss 0.003085, ic -0.008517, icir -0.169158, ric -0.021373, ricir -0.265197, prec@10 0.653498, prec@30 0.593690 
Epoch 52, train_loss 0.001554, train_ic 0.003482, train_icir 0.063003, train_ric -0.007091, train_ricir -0.099101, valid_loss 0.0014928590 , valid_ic -0.004233, valid_icir -0.106792, valid_ric -0.009944, valid_ricir -0.237184, test_loss 0.003302, ic -0.008980, icir -0.148706, ric -0.008242, ricir -0.145911, prec@10 0.565432, prec@30 0.542387 
Epoch 53, train_loss 0.001569, train_ic -0.000531, train_icir -0.006765, train_ric -0.023509, train_ricir -0.185015, valid_loss 0.0017148253 , valid_ic 0.003257, valid_icir 0.082033, valid_ric -0.011987, valid_ricir -0.121394, test_loss 0.003449, ic 0.003070, icir 0.076814, ric -0.005261, ricir -0.044431, prec@10 0.504527, prec@30 0.501509 
Epoch 54, train_loss 0.001655, train_ic 0.004616, train_icir 0.071884, train_ric -0.006559, train_ricir -0.088475, valid_loss 0.0017554481 , valid_ic -0.004868, valid_icir -0.106678, valid_ric -0.014958, valid_ricir -0.293730, test_loss 0.003531, ic -0.009769, icir -0.147488, ric -0.010646, ricir -0.126973, prec@10 0.580658, prec@30 0.530316 
Epoch 55, train_loss 0.001468, train_ic 0.002578, train_icir 0.041252, train_ric -0.008259, train_ricir -0.105451, valid_loss 0.0018203015 , valid_ic 0.001463, valid_icir 0.040902, valid_ric -0.010220, valid_ricir -0.188670, test_loss 0.003658, ic -0.001193, icir -0.024601, ric -0.006010, ricir -0.094578, prec@10 0.501235, prec@30 0.475309 
Epoch 56, train_loss 0.001505, train_ic 0.006493, train_icir 0.069999, train_ric 0.018923, train_ricir 0.136843, valid_loss 0.0013625888 , valid_ic -0.004256, valid_icir -0.082094, valid_ric 0.002607, valid_ricir 0.023851, test_loss 0.003106, ic -0.009898, icir -0.154124, ric -0.002453, ricir -0.016098, prec@10 0.530864, prec@30 0.495473 
Epoch 57, train_loss 0.001563, train_ic 0.000338, train_icir 0.005769, train_ric -0.003386, train_ricir -0.042957, valid_loss 0.0013807811 , valid_ic -0.001845, valid_icir -0.062243, valid_ric -0.003609, valid_ricir -0.065719, test_loss 0.003018, ic -0.005508, icir -0.119763, ric -0.001757, ricir -0.027010, prec@10 0.503292, prec@30 0.508093 
Epoch 58, train_loss 0.001549, train_ic -0.000698, train_icir -0.017345, train_ric -0.011593, train_ricir -0.147413, valid_loss 0.0023117001 , valid_ic -0.005202, valid_icir -0.170458, valid_ric -0.006328, valid_ricir -0.144957, test_loss 0.003985, ic -0.009524, icir -0.194226, ric -0.008600, ricir -0.226771, prec@10 0.655967, prec@30 0.596982 
Epoch 59, train_loss 0.001491, train_ic 0.004454, train_icir 0.059974, train_ric 0.001761, train_ricir 0.015047, valid_loss 0.0018672152 , valid_ic -0.007454, valid_icir -0.162644, valid_ric -0.012277, valid_ricir -0.129054, test_loss 0.003541, ic -0.012462, icir -0.213535, ric -0.012642, ricir -0.088414, prec@10 0.655556, prec@30 0.595748 
Epoch 60, train_loss 0.001625, train_ic 0.001006, train_icir 0.014700, train_ric -0.013882, train_ricir -0.134742, valid_loss 0.0015862897 , valid_ic -0.000127, valid_icir -0.003425, valid_ric -0.009152, valid_ricir -0.117816, test_loss 0.003338, ic -0.003241, icir -0.060850, ric -0.005806, ricir -0.068043, prec@10 0.505350, prec@30 0.490535 
Epoch 61, train_loss 0.001479, train_ic -0.001479, train_icir -0.021852, train_ric 0.015218, train_ricir 0.166253, valid_loss 0.0032804520 , valid_ic -0.007195, valid_icir -0.171632, valid_ric 0.016414, valid_ricir 0.265037, test_loss 0.005086, ic -0.013476, icir -0.265350, ric 0.004809, ricir 0.056034, prec@10 0.650206, prec@30 0.594787 
Epoch 62, train_loss 0.001472, train_ic -0.000293, train_icir -0.003659, train_ric -0.019532, train_ricir -0.160654, valid_loss 0.0014775372 , valid_ic -0.000208, valid_icir -0.006171, valid_ric -0.010259, valid_ricir -0.110619, test_loss 0.003075, ic -0.001389, icir -0.036085, ric -0.006416, ricir -0.059862, prec@10 0.507407, prec@30 0.500686 
Epoch 63, train_loss 0.001541, train_ic 0.005150, train_icir 0.069495, train_ric -0.007858, train_ricir -0.082349, valid_loss 0.0013861695 , valid_ic -0.004880, valid_icir -0.098063, valid_ric -0.016943, valid_ricir -0.283732, test_loss 0.003242, ic -0.009741, icir -0.139640, ric -0.010527, ricir -0.115346, prec@10 0.524691, prec@30 0.485734 
Epoch 64, train_loss 0.001434, train_ic -0.002984, train_icir -0.035760, train_ric -0.021935, train_ricir -0.167100, valid_loss 0.0020245051 , valid_ic -0.000443, valid_icir -0.015484, valid_ric -0.008984, valid_ricir -0.089665, test_loss 0.003684, ic -0.001790, icir -0.056984, ric -0.004035, ricir -0.030697, prec@10 0.529630, prec@30 0.518793 
Epoch 65, train_loss 0.001479, train_ic 0.001032, train_icir 0.014923, train_ric -0.010811, train_ricir -0.119537, valid_loss 0.0015473723 , valid_ic 0.001743, valid_icir 0.042847, valid_ric -0.008531, valid_ricir -0.121749, test_loss 0.003299, ic -0.000920, icir -0.017072, ric -0.005436, ricir -0.069735, prec@10 0.495473, prec@30 0.480521 
Epoch 66, train_loss 0.001431, train_ic 0.002947, train_icir 0.045563, train_ric -0.013835, train_ricir -0.162718, valid_loss 0.0014550047 , valid_ic 0.000974, valid_icir 0.025729, valid_ric -0.014959, valid_ricir -0.255284, test_loss 0.003188, ic -0.001646, icir -0.032236, ric -0.009130, ricir -0.134242, prec@10 0.506996, prec@30 0.492181 
Epoch 67, train_loss 0.001503, train_ic 0.003201, train_icir 0.047165, train_ric -0.007886, train_ricir -0.100892, valid_loss 0.0014869366 , valid_ic 0.000294, valid_icir 0.007206, valid_ric -0.010450, valid_ricir -0.189699, test_loss 0.003196, ic -0.002863, icir -0.049668, ric -0.006438, ricir -0.097819, prec@10 0.515226, prec@30 0.493278 
Epoch 68, train_loss 0.001443, train_ic -0.001542, train_icir -0.022460, train_ric -0.008682, train_ricir -0.076138, valid_loss 0.0014404328 , valid_ic -0.000246, valid_icir -0.008635, valid_ric -0.000413, valid_ricir -0.004857, test_loss 0.003045, ic -0.004390, icir -0.101279, ric 0.000005, ricir 0.000045, prec@10 0.510288, prec@30 0.511248 
Epoch 69, train_loss 0.001456, train_ic -0.004203, train_icir -0.039809, train_ric -0.019868, train_ricir -0.142576, valid_loss 0.0014487084 , valid_ic 0.005135, valid_icir 0.093289, valid_ric -0.004849, valid_ricir -0.045041, test_loss 0.003071, ic 0.006203, icir 0.128818, ric 0.000322, ricir 0.002233, prec@10 0.500412, prec@30 0.510288 
Epoch 70, train_loss 0.001420, train_ic 0.005853, train_icir 0.062025, train_ric 0.010977, train_ricir 0.076315, valid_loss 0.0014978664 , valid_ic -0.007688, valid_icir -0.135996, valid_ric -0.006195, valid_ricir -0.055474, test_loss 0.003112, ic -0.013415, icir -0.189398, ric -0.010492, ricir -0.065658, prec@10 0.651029, prec@30 0.595610 
