Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 123, train_loss 0.001878, train_ic -0.000277, train_icir -0.005874, train_ric 0.002557, train_ricir 0.039829, train_mae 0.032117, train_rmse 0.044495, train_mape 410.379639, train_acc 0.576172, valid_loss 0.0035526572, valid_ic 0.000461, valid_icir 0.018892, valid_ric 0.001164, valid_ricir 0.030314, valid_mae 0.032699, valid_rmse 0.061321, valid_mape 440.655609, valid_acc 0.633260, test_loss 0.005110, ic 0.000829, icir 0.027462, ric 0.001014, ricir 0.026294, prec@10 0.502881, prec@30 0.494239, test_mae 0.035993, test_rmse 0.067752, test_mape 721.467651, test_acc 0.546608
Epoch 124, train_loss 0.001862, train_ic 0.004951, train_icir 0.097693, train_ric 0.006477, train_ricir 0.098406, train_mae 0.022294, train_rmse 0.030697, train_mape 119.556404, train_acc 0.736544, valid_loss 0.0026175614, valid_ic 0.002004, valid_icir 0.066048, valid_ric 0.001147, valid_ricir 0.033885, valid_mae 0.025684, valid_rmse 0.055506, valid_mape 303.230133, valid_acc 0.594245, test_loss 0.004056, ic 0.002742, icir 0.058081, ric 0.005266, ricir 0.136552, prec@10 0.509877, prec@30 0.486283, test_mae 0.026830, test_rmse 0.059926, test_mape 475.416901, test_acc 0.527352
Epoch 125, train_loss 0.001784, train_ic 0.003172, train_icir 0.063894, train_ric 0.006381, train_ricir 0.100182, train_mae 0.056229, train_rmse 0.065128, train_mape 458.872742, train_acc 0.187721, valid_loss 0.0040798965, valid_ic 0.006580, valid_icir 0.210210, valid_ric 0.004619, valid_ricir 0.161242, valid_mae 0.036561, valid_rmse 0.062848, valid_mape 558.974243, valid_acc 0.741039, test_loss 0.005433, ic 0.002604, icir 0.067028, ric 0.004447, ricir 0.158326, prec@10 0.494239, prec@30 0.491221, test_mae 0.041295, test_rmse 0.068140, test_mape 882.045166, test_acc 0.578118
Epoch 126, train_loss 0.001888, train_ic 0.002520, train_icir 0.041056, train_ric 0.007717, train_ricir 0.106626, train_mae 0.051698, train_rmse 0.064419, train_mape 91.689529, train_acc 0.369337, valid_loss 0.0031155023, valid_ic 0.004824, valid_icir 0.151818, valid_ric 0.004956, valid_ricir 0.130543, valid_mae 0.031948, valid_rmse 0.060819, valid_mape 387.591980, valid_acc 0.506706, test_loss 0.004443, ic 0.003466, icir 0.074567, ric 0.007903, ricir 0.193928, prec@10 0.489300, prec@30 0.489438, test_mae 0.031550, test_rmse 0.062847, test_mape 602.162231, test_acc 0.496937
Epoch 127, train_loss 0.001870, train_ic 0.003077, train_icir 0.034915, train_ric 0.011900, train_ricir 0.126851, train_mae 0.020391, train_rmse 0.026780, train_mape 326.121368, train_acc 0.421763, valid_loss 0.0028387182, valid_ic -0.009168, valid_icir -0.133646, valid_ric 0.000784, valid_ricir 0.008155, valid_mae 0.037607, valid_rmse 0.063739, valid_mape 465.752686, valid_acc 0.392099, test_loss 0.004278, ic 0.003661, icir 0.043174, ric 0.016272, ricir 0.151181, prec@10 0.498354, prec@30 0.496433, test_mae 0.035943, test_rmse 0.065217, test_mape 719.424438, test_acc 0.457112
Epoch 128, train_loss 0.001974, train_ic 0.002398, train_icir 0.055673, train_ric 0.002464, train_ricir 0.040908, train_mae 0.065662, train_rmse 0.076212, train_mape 122.852791, train_acc 0.318002, valid_loss 0.0039593841, valid_ic 0.010832, valid_icir 0.282009, valid_ric 0.003020, valid_ricir 0.104755, valid_mae 0.033752, valid_rmse 0.065771, valid_mape 373.075653, valid_acc 0.492075, test_loss 0.005058, ic 0.002847, icir 0.099007, ric 0.002262, ricir 0.080140, prec@10 0.496296, prec@30 0.489163, test_mae 0.031784, test_rmse 0.065209, test_mape 584.467102, test_acc 0.499562
Epoch 129, train_loss 0.001876, train_ic 0.005546, train_icir 0.067363, train_ric 0.004607, train_ricir 0.049171, train_mae 0.026170, train_rmse 0.040560, train_mape 380.950714, train_acc 0.487086, valid_loss 0.0045542563, valid_ic 0.004941, valid_icir 0.098941, valid_ric -0.001640, valid_ricir -0.020396, valid_mae 0.045300, valid_rmse 0.073520, valid_mape 550.602722, valid_acc 0.327481, test_loss 0.005436, ic 0.005540, icir 0.081816, ric 0.009331, ricir 0.104713, prec@10 0.495062, prec@30 0.477366, test_mae 0.040262, test_rmse 0.069661, test_mape 803.125854, test_acc 0.444201
Epoch 130, train_loss 0.001836, train_ic 0.000333, train_icir 0.006640, train_ric -0.006949, train_ricir -0.146537, train_mae 0.027493, train_rmse 0.046378, train_mape 330.087128, train_acc 0.618366, valid_loss 0.0060497939, valid_ic 0.009824, valid_icir 0.225380, valid_ric 0.000257, valid_ricir 0.004233, valid_mae 0.039474, valid_rmse 0.083430, valid_mape 497.220459, valid_acc 0.557425, test_loss 0.008209, ic 0.002272, icir 0.062683, ric -0.009120, ricir -0.193343, prec@10 0.469547, prec@30 0.481207, test_mae 0.041839, test_rmse 0.089322, test_mape 834.698853, test_acc 0.512035
Epoch 131, train_loss 0.001785, train_ic 0.005816, train_icir 0.066265, train_ric 0.010804, train_ricir 0.109461, train_mae 0.054187, train_rmse 0.066958, train_mape 469.694458, train_acc 0.255891, valid_loss 0.0045449624, valid_ic 0.002222, valid_icir 0.038319, valid_ric -0.000391, valid_ricir -0.004261, valid_mae 0.046228, valid_rmse 0.074655, valid_mape 586.440674, valid_acc 0.386735, test_loss 0.005520, ic 0.005701, icir 0.071317, ric 0.014515, ricir 0.135596, prec@10 0.517284, prec@30 0.490947, test_mae 0.042940, test_rmse 0.071269, test_mape 889.184082, test_acc 0.464333
Epoch 132, train_loss 0.001840, train_ic 0.004564, train_icir 0.077099, train_ric 0.007501, train_ricir 0.103305, train_mae 0.039699, train_rmse 0.049040, train_mape 243.315857, train_acc 0.371627, valid_loss 0.0034956802, valid_ic 0.007329, valid_icir 0.220530, valid_ric 0.003963, valid_ricir 0.103884, valid_mae 0.032191, valid_rmse 0.061171, valid_mape 410.157349, valid_acc 0.561814, test_loss 0.004674, ic 0.004041, icir 0.091431, ric 0.007336, ricir 0.176896, prec@10 0.493004, prec@30 0.489575, test_mae 0.032365, test_rmse 0.062865, test_mape 612.873718, test_acc 0.517505
Epoch 133, train_loss 0.001741, train_ic 0.001792, train_icir 0.035983, train_ric -0.001063, train_ricir -0.026233, train_mae 0.024240, train_rmse 0.033962, train_mape 587.379333, train_acc 0.539053, valid_loss 0.0046887137, valid_ic 0.013165, valid_icir 0.252543, valid_ric 0.003289, valid_ricir 0.066004, valid_mae 0.034363, valid_rmse 0.067842, valid_mape 490.389099, valid_acc 0.712509, test_loss 0.005914, ic 0.001587, icir 0.051225, ric -0.005856, ricir -0.124580, prec@10 0.490535, prec@30 0.488340, test_mae 0.038209, test_rmse 0.070691, test_mape 801.914795, test_acc 0.563676
Epoch 134, train_loss 0.001757, train_ic 0.003825, train_icir 0.081545, train_ric 0.001799, train_ricir 0.027414, train_mae 0.034161, train_rmse 0.046412, train_mape 10966.192383, train_acc 0.419762, valid_loss 0.0034486573, valid_ic 0.010084, valid_icir 0.287510, valid_ric 0.002371, valid_ricir 0.071656, valid_mae 0.032275, valid_rmse 0.062128, valid_mape 350.804321, valid_acc 0.487686, test_loss 0.004635, ic 0.002829, icir 0.088908, ric 0.000433, ricir 0.013325, prec@10 0.491770, prec@30 0.484774, test_mae 0.030231, test_rmse 0.062967, test_mape 528.246338, test_acc 0.491028
Epoch 135, train_loss 0.001740, train_ic 0.004776, train_icir 0.057393, train_ric 0.007348, train_ricir 0.082359, train_mae 0.027187, train_rmse 0.033308, train_mape 697.087097, train_acc 0.478495, valid_loss 0.0041361738, valid_ic 0.000723, valid_icir 0.011089, valid_ric -0.001935, valid_ricir -0.023619, valid_mae 0.040757, valid_rmse 0.069759, valid_mape 520.800049, valid_acc 0.476957, test_loss 0.005452, ic 0.005716, icir 0.059136, ric 0.011397, ricir 0.110468, prec@10 0.498765, prec@30 0.479698, test_mae 0.040410, test_rmse 0.071072, test_mape 834.376404, test_acc 0.486433
Epoch 136, train_loss 0.001821, train_ic 0.006017, train_icir 0.072950, train_ric 0.010475, train_ricir 0.108717, train_mae 0.021811, train_rmse 0.029091, train_mape 278.127380, train_acc 0.481947, valid_loss 0.0038519268, valid_ic 0.002372, valid_icir 0.047869, valid_ric 0.000396, valid_ricir 0.004483, valid_mae 0.044586, valid_rmse 0.070988, valid_mape 511.852875, valid_acc 0.296025, test_loss 0.004987, ic 0.004706, icir 0.065975, ric 0.012906, ricir 0.127512, prec@10 0.492181, prec@30 0.477641, test_mae 0.039609, test_rmse 0.068242, test_mape 786.515991, test_acc 0.420350
Epoch 137, train_loss 0.002141, train_ic 0.002691, train_icir 0.049593, train_ric 0.004199, train_ricir 0.064743, train_mae 0.021944, train_rmse 0.030331, train_mape 509.000641, train_acc 0.473455, valid_loss 0.0037891582, valid_ic 0.008028, valid_icir 0.249328, valid_ric 0.003980, valid_ricir 0.127651, valid_mae 0.038094, valid_rmse 0.067369, valid_mape 448.954437, valid_acc 0.402585, test_loss 0.004839, ic 0.003621, icir 0.084019, ric 0.004202, ricir 0.127197, prec@10 0.506996, prec@30 0.492181, test_mae 0.034439, test_rmse 0.065081, test_mape 626.394958, test_acc 0.458643
Epoch 138, train_loss 0.001919, train_ic 0.003918, train_icir 0.059269, train_ric 0.007922, train_ricir 0.103706, train_mae 0.027688, train_rmse 0.034747, train_mape 300.165863, train_acc 0.396448, valid_loss 0.0038178357, valid_ic 0.006527, valid_icir 0.183606, valid_ric 0.004272, valid_ricir 0.090088, valid_mae 0.031746, valid_rmse 0.060631, valid_mape 378.377136, valid_acc 0.498659, test_loss 0.004732, ic 0.004262, icir 0.087097, ric 0.008809, ricir 0.173912, prec@10 0.492181, prec@30 0.487243, test_mae 0.030721, test_rmse 0.061804, test_mape 582.315613, test_acc 0.495186
Epoch 139, train_loss 0.003082, train_ic 0.004520, train_icir 0.062904, train_ric 0.006418, train_ricir 0.078300, train_mae 0.032753, train_rmse 0.055625, train_mape 516.518250, train_acc 0.434229, valid_loss 0.0121335325, valid_ic 0.012120, valid_icir 0.286058, valid_ric -0.000340, valid_ricir -0.005398, valid_mae 0.050264, valid_rmse 0.096980, valid_mape 600.838867, valid_acc 0.391124, test_loss 0.009859, ic 0.006452, icir 0.128278, ric 0.008479, ricir 0.113812, prec@10 0.492593, prec@30 0.486283, test_mae 0.042997, test_rmse 0.075618, test_mape 823.906067, test_acc 0.448359
Epoch 140, train_loss 0.001766, train_ic 0.004024, train_icir 0.045186, train_ric 0.012012, train_ricir 0.115688, train_mae 0.024173, train_rmse 0.031355, train_mape 552.269958, train_acc 0.460625, valid_loss 0.0028136603, valid_ic -0.005407, valid_icir -0.097016, valid_ric 0.001484, valid_ricir 0.015342, valid_mae 0.035418, valid_rmse 0.061409, valid_mape 434.824890, valid_acc 0.414289, test_loss 0.004256, ic 0.003469, icir 0.053902, ric 0.015032, ricir 0.155779, prec@10 0.490123, prec@30 0.487380, test_mae 0.033820, test_rmse 0.063667, test_mape 696.675049, test_acc 0.483151
Epoch 141, train_loss 0.001775, train_ic 0.002929, train_icir 0.046395, train_ric 0.004723, train_ricir 0.062945, train_mae 0.026068, train_rmse 0.037195, train_mape 3061.843750, train_acc 0.525048, valid_loss 0.0030113745, valid_ic 0.004627, valid_icir 0.137746, valid_ric 0.002254, valid_ricir 0.052615, valid_mae 0.035051, valid_rmse 0.062254, valid_mape 384.387024, valid_acc 0.381858, test_loss 0.004214, ic 0.003241, icir 0.064447, ric 0.005308, ricir 0.114773, prec@10 0.474074, prec@30 0.483539, test_mae 0.030794, test_rmse 0.061826, test_mape 544.026184, test_acc 0.450328
Epoch 142, train_loss 0.001745, train_ic 0.004618, train_icir 0.063316, train_ric 0.006560, train_ricir 0.077933, train_mae 0.042051, train_rmse 0.050242, train_mape 1080.829468, train_acc 0.301989, valid_loss 0.0077688683, valid_ic 0.009101, valid_icir 0.199657, valid_ric -0.002240, valid_ricir -0.031895, valid_mae 0.063028, valid_rmse 0.091826, valid_mape 777.233521, valid_acc 0.195562, test_loss 0.007870, ic 0.005352, icir 0.086278, ric 0.008805, ricir 0.098196, prec@10 0.513580, prec@30 0.471331, test_mae 0.054531, test_rmse 0.081474, test_mape 1099.629028, test_acc 0.374617
Epoch 143, train_loss 0.001817, train_ic 0.004732, train_icir 0.052320, train_ric 0.012404, train_ricir 0.125179, train_mae 0.033626, train_rmse 0.043626, train_mape 648.518799, train_acc 0.406855, valid_loss 0.0036205490, valid_ic -0.000823, valid_icir -0.013284, valid_ric 0.002198, valid_ricir 0.023575, valid_mae 0.043431, valid_rmse 0.069528, valid_mape 547.292358, valid_acc 0.372592, test_loss 0.004842, ic 0.005330, icir 0.065149, ric 0.015816, ricir 0.148404, prec@10 0.515638, prec@30 0.533059, test_mae 0.040674, test_rmse 0.068454, test_mape 841.930481, test_acc 0.459081
Epoch 144, train_loss 0.001714, train_ic 0.003896, train_icir 0.061304, train_ric 0.006472, train_ricir 0.087962, train_mae 0.039454, train_rmse 0.058364, train_mape 126.400970, train_acc 0.575615, valid_loss 0.0044026376, valid_ic 0.009887, valid_icir 0.237734, valid_ric 0.001762, valid_ricir 0.039780, valid_mae 0.037412, valid_rmse 0.069177, valid_mape 431.433044, valid_acc 0.465252, test_loss 0.005164, ic 0.004001, icir 0.079711, ric 0.006772, ricir 0.118878, prec@10 0.482716, prec@30 0.477915, test_mae 0.033435, test_rmse 0.064963, test_mape 593.900696, test_acc 0.477681
Epoch 145, train_loss 0.001730, train_ic 0.004518, train_icir 0.069047, train_ric 0.006170, train_ricir 0.081044, train_mae 0.031710, train_rmse 0.041257, train_mape 674.597839, train_acc 0.293862, valid_loss 0.0042286976, valid_ic 0.007886, valid_icir 0.213951, valid_ric 0.002140, valid_ricir 0.046733, valid_mae 0.045624, valid_rmse 0.072669, valid_mape 519.189880, valid_acc 0.264326, test_loss 0.005170, ic 0.004005, icir 0.079302, ric 0.006117, ricir 0.115597, prec@10 0.499177, prec@30 0.488066, test_mae 0.039171, test_rmse 0.068057, test_mape 737.062622, test_acc 0.398687
Epoch 146, train_loss 0.002049, train_ic 0.002350, train_icir 0.040983, train_ric 0.003706, train_ricir 0.053097, train_mae 0.021793, train_rmse 0.030840, train_mape 252.600677, train_acc 0.466151, valid_loss 0.0044207949, valid_ic 0.006435, valid_icir 0.174370, valid_ric 0.000457, valid_ricir 0.011589, valid_mae 0.046058, valid_rmse 0.073598, valid_mape 541.672852, valid_acc 0.340405, test_loss 0.005403, ic 0.002120, icir 0.051163, ric 0.004025, ricir 0.094485, prec@10 0.488477, prec@30 0.487791, test_mae 0.040522, test_rmse 0.069728, test_mape 772.471558, test_acc 0.428009
Epoch 147, train_loss 0.001796, train_ic 0.005096, train_icir 0.072517, train_ric 0.006630, train_ricir 0.083239, train_mae 0.047675, train_rmse 0.062186, train_mape 362.106506, train_acc 0.335844, valid_loss 0.0044925511, valid_ic 0.005785, valid_icir 0.124958, valid_ric -0.002029, valid_ricir -0.030995, valid_mae 0.048748, valid_rmse 0.075579, valid_mape 565.849976, valid_acc 0.302121, test_loss 0.005459, ic 0.004165, icir 0.063015, ric 0.008301, ricir 0.099575, prec@10 0.508230, prec@30 0.476132, test_mae 0.042380, test_rmse 0.070865, test_mape 820.177002, test_acc 0.415098
Epoch 148, train_loss 0.001734, train_ic 0.004832, train_icir 0.064431, train_ric 0.008117, train_ricir 0.095743, train_mae 0.064086, train_rmse 0.077184, train_mape 194.971924, train_acc 0.263415, valid_loss 0.0061407600, valid_ic 0.007381, valid_icir 0.161760, valid_ric -0.001247, valid_ricir -0.017932, valid_mae 0.055219, valid_rmse 0.084703, valid_mape 673.358765, valid_acc 0.314801, test_loss 0.006696, ic 0.004781, icir 0.074825, ric 0.009962, ricir 0.112145, prec@10 0.513992, prec@30 0.477641, test_mae 0.048707, test_rmse 0.076766, test_mape 974.759583, test_acc 0.419475
Epoch 149, train_loss 0.001874, train_ic -0.000115, train_icir -0.001965, train_ric 0.004731, train_ricir 0.063498, train_mae 0.034426, train_rmse 0.046211, train_mape 729.952515, train_acc 0.395845, valid_loss 0.0047300766, valid_ic 0.007389, valid_icir 0.246543, valid_ric 0.002474, valid_ricir 0.060650, valid_mae 0.040842, valid_rmse 0.069657, valid_mape 545.277649, valid_acc 0.601561, test_loss 0.006154, ic 0.001364, icir 0.045641, ric 0.001968, ricir 0.044482, prec@10 0.483128, prec@30 0.486420, test_mae 0.042912, test_rmse 0.074587, test_mape 888.376709, test_acc 0.519475
Epoch 150, train_loss 0.002150, train_ic -0.013108, train_icir -0.253872, train_ric -0.005852, train_ricir -0.092276, train_mae 0.019873, train_rmse 0.031627, train_mape 407.671692, train_acc 0.476905, valid_loss 0.0037223951, valid_ic 0.003509, valid_icir 0.096254, valid_ric -0.002764, valid_ricir -0.075867, valid_mae 0.033047, valid_rmse 0.063430, valid_mape 366.509949, valid_acc 0.493538, test_loss 0.004897, ic -0.000711, icir -0.019612, ric -0.002775, ricir -0.073495, prec@10 0.486008, prec@30 0.492044, test_mae 0.032336, test_rmse 0.065680, test_mape 591.063904, test_acc 0.487965
Epoch 151, train_loss 0.002168, train_ic -0.010476, train_icir -0.162369, train_ric -0.005159, train_ricir -0.071131, train_mae 0.043257, train_rmse 0.058216, train_mape 696.515198, train_acc 0.443302, valid_loss 0.0054280755, valid_ic -0.001492, valid_icir -0.033608, valid_ric -0.009882, valid_ricir -0.186167, valid_mae 0.058708, valid_rmse 0.082907, valid_mape 727.955139, valid_acc 0.206047, test_loss 0.006546, ic -0.000466, icir -0.007114, ric -0.001719, ricir -0.023957, prec@10 0.509465, prec@30 0.497531, test_mae 0.052874, test_rmse 0.078612, test_mape 1063.601562, test_acc 0.373523
Epoch 152, train_loss 0.002239, train_ic -0.012082, train_icir -0.175368, train_ric -0.003099, train_ricir -0.043253, train_mae 0.027339, train_rmse 0.038679, train_mape 527.494446, train_acc 0.520079, valid_loss 0.0044867122, valid_ic -0.003844, valid_icir -0.085903, valid_ric -0.004481, valid_ricir -0.103133, valid_mae 0.041256, valid_rmse 0.070301, valid_mape 509.686768, valid_acc 0.473055, test_loss 0.005760, ic -0.001482, icir -0.029261, ric 0.002311, ricir 0.046447, prec@10 0.490123, prec@30 0.491084, test_mae 0.040519, test_rmse 0.071717, test_mape 821.628845, test_acc 0.499562
Epoch 153, train_loss 0.002295, train_ic -0.009062, train_icir -0.093823, train_ric -0.022681, train_ricir -0.230956, train_mae 0.029013, train_rmse 0.045920, train_mape 370.553436, train_acc 0.435752, valid_loss 0.0055456883, valid_ic 0.009552, valid_icir 0.124549, valid_ric -0.010870, valid_ricir -0.120236, valid_mae 0.038880, valid_rmse 0.071821, valid_mape 462.894623, valid_acc 0.521824, test_loss 0.006886, ic -0.002959, icir -0.055769, ric -0.025765, ricir -0.318939, prec@10 0.481070, prec@30 0.499863, test_mae 0.041786, test_rmse 0.078437, test_mape 796.915405, test_acc 0.482495
Epoch 154, train_loss 0.002109, train_ic -0.013973, train_icir -0.231590, train_ric -0.004060, train_ricir -0.065734, train_mae 0.048828, train_rmse 0.059779, train_mape 180.821487, train_acc 0.441250, valid_loss 0.0037695641, valid_ic -0.000257, valid_icir -0.006743, valid_ric -0.003285, valid_ricir -0.084386, valid_mae 0.035639, valid_rmse 0.063822, valid_mape 431.581482, valid_acc 0.491100, test_loss 0.005039, ic -0.002430, icir -0.067982, ric -0.003219, ricir -0.094010, prec@10 0.501235, prec@30 0.493278, test_mae 0.035599, test_rmse 0.067030, test_mape 709.108887, test_acc 0.499125
Epoch 155, train_loss 0.002180, train_ic -0.013033, train_icir -0.197426, train_ric -0.012937, train_ricir -0.189167, train_mae 0.029375, train_rmse 0.048108, train_mape 563.261475, train_acc 0.459626, valid_loss 0.0037201353, valid_ic -0.000503, valid_icir -0.012086, valid_ric -0.011562, valid_ricir -0.246697, valid_mae 0.038144, valid_rmse 0.065494, valid_mape 439.396179, valid_acc 0.402097, test_loss 0.004902, ic -0.001986, icir -0.047924, ric -0.012144, ricir -0.255278, prec@10 0.504938, prec@30 0.502195, test_mae 0.035645, test_rmse 0.066400, test_mape 677.081665, test_acc 0.470241
Epoch 156, train_loss 0.002346, train_ic -0.010994, train_icir -0.156945, train_ric -0.005769, train_ricir -0.081338, train_mae 0.029324, train_rmse 0.037977, train_mape 456.381653, train_acc 0.382363, valid_loss 0.0047573812, valid_ic 0.002464, valid_icir 0.054318, valid_ric -0.007436, valid_ricir -0.182137, valid_mae 0.041581, valid_rmse 0.072311, valid_mape 486.093964, valid_acc 0.399415, test_loss 0.005610, ic -0.000531, icir -0.010877, ric -0.002716, ricir -0.061803, prec@10 0.493416, prec@30 0.503978, test_mae 0.037785, test_rmse 0.069653, test_mape 684.894714, test_acc 0.458425
Epoch 157, train_loss 0.002210, train_ic -0.012242, train_icir -0.187582, train_ric -0.005006, train_ricir -0.077950, train_mae 0.023930, train_rmse 0.031903, train_mape 516.068970, train_acc 0.409122, valid_loss 0.0039741386, valid_ic 0.000855, valid_icir 0.020041, valid_ric -0.003515, valid_ricir -0.093309, valid_mae 0.033879, valid_rmse 0.063748, valid_mape 421.017090, valid_acc 0.542551, test_loss 0.005189, ic -0.001392, icir -0.033242, ric -0.002711, ricir -0.083304, prec@10 0.501646, prec@30 0.502606, test_mae 0.035634, test_rmse 0.067295, test_mape 696.436646, test_acc 0.517505
Epoch 158, train_loss 0.002236, train_ic -0.009099, train_icir -0.145185, train_ric -0.000201, train_ricir -0.003045, train_mae 0.029005, train_rmse 0.039190, train_mape 237.197357, train_acc 0.486091, valid_loss 0.0037085597, valid_ic -0.001064, valid_icir -0.026734, valid_ric -0.003899, valid_ricir -0.096176, valid_mae 0.035903, valid_rmse 0.065215, valid_mape 417.587372, valid_acc 0.450866, test_loss 0.004885, ic -0.000805, icir -0.016600, ric 0.002347, ricir 0.053096, prec@10 0.501235, prec@30 0.506173, test_mae 0.034083, test_rmse 0.066141, test_mape 632.795837, test_acc 0.491247
Epoch 159, train_loss 0.002012, train_ic -0.009974, train_icir -0.172096, train_ric -0.010621, train_ricir -0.194797, train_mae 0.043427, train_rmse 0.053084, train_mape 320.451508, train_acc 0.164296, valid_loss 0.0048135066, valid_ic 0.005433, valid_icir 0.118226, valid_ric -0.005493, valid_ricir -0.132296, valid_mae 0.048981, valid_rmse 0.075366, valid_mape 557.852661, valid_acc 0.244818, test_loss 0.005843, ic -0.001979, icir -0.061416, ric -0.010684, ricir -0.269630, prec@10 0.497942, prec@30 0.493141, test_mae 0.043270, test_rmse 0.072146, test_mape 838.413330, test_acc 0.384245
Epoch 160, train_loss 0.002051, train_ic -0.006902, train_icir -0.102106, train_ric -0.012756, train_ricir -0.194382, train_mae 0.035199, train_rmse 0.058102, train_mape 466.413300, train_acc 0.670535, valid_loss 0.0089031574, valid_ic 0.008675, valid_icir 0.159422, valid_ric -0.011651, valid_ricir -0.238605, valid_mae 0.059208, valid_rmse 0.095077, valid_mape 684.012268, valid_acc 0.230919, test_loss 0.008578, ic 0.000214, icir 0.004538, ric -0.009160, ricir -0.187129, prec@10 0.515638, prec@30 0.499588, test_mae 0.049485, test_rmse 0.081708, test_mape 919.638428, test_acc 0.385339
Epoch 161, train_loss 0.002069, train_ic -0.005870, train_icir -0.100335, train_ric -0.003596, train_ricir -0.052750, train_mae 0.034925, train_rmse 0.041373, train_mape 613.295654, train_acc 0.379747, valid_loss 0.0046282530, valid_ic 0.002583, valid_icir 0.067704, valid_ric -0.008086, valid_ricir -0.201626, valid_mae 0.034963, valid_rmse 0.065500, valid_mape 459.299225, valid_acc 0.629115, test_loss 0.005659, ic 0.000681, icir 0.014958, ric -0.002036, ricir -0.039993, prec@10 0.506996, prec@30 0.497531, test_mae 0.036367, test_rmse 0.067783, test_mape 712.016846, test_acc 0.546608
Epoch 162, train_loss 0.002047, train_ic -0.006923, train_icir -0.111171, train_ric -0.003455, train_ricir -0.050276, train_mae 0.037552, train_rmse 0.055332, train_mape 331.171692, train_acc 0.471963, valid_loss 0.0032610808, valid_ic -0.001692, valid_icir -0.046119, valid_ric -0.006151, valid_ricir -0.142828, valid_mae 0.035399, valid_rmse 0.063207, valid_mape 397.143768, valid_acc 0.438917, test_loss 0.004554, ic -0.000295, icir -0.005897, ric -0.001883, ricir -0.039283, prec@10 0.497119, prec@30 0.501646, test_mae 0.033064, test_rmse 0.064301, test_mape 637.476562, test_acc 0.489059
Epoch 163, train_loss 0.001950, train_ic -0.006486, train_icir -0.095828, train_ric -0.011368, train_ricir -0.173546, train_mae 0.030221, train_rmse 0.040533, train_mape 700.798401, train_acc 0.556163, valid_loss 0.0059639715, valid_ic 0.006000, valid_icir 0.115443, valid_ric -0.009762, valid_ricir -0.196223, valid_mae 0.056003, valid_rmse 0.082947, valid_mape 654.987671, valid_acc 0.214338, test_loss 0.006646, ic -0.000260, icir -0.005132, ric -0.009397, ricir -0.219471, prec@10 0.509053, prec@30 0.496433, test_mae 0.047956, test_rmse 0.076043, test_mape 892.818054, test_acc 0.372429
Epoch 164, train_loss 0.001833, train_ic -0.003735, train_icir -0.055318, train_ric -0.011559, train_ricir -0.179828, train_mae 0.050753, train_rmse 0.069858, train_mape 635.932068, train_acc 0.327906, valid_loss 0.0047546853, valid_ic 0.006080, valid_icir 0.106443, valid_ric -0.008500, valid_ricir -0.170659, valid_mae 0.038323, valid_rmse 0.069537, valid_mape 447.511383, valid_acc 0.468910, test_loss 0.006025, ic -0.001169, icir -0.029389, ric -0.013044, ricir -0.269228, prec@10 0.490535, prec@30 0.493141, test_mae 0.037491, test_rmse 0.072313, test_mape 712.407043, test_acc 0.498906
Epoch 165, train_loss 0.001871, train_ic -0.006660, train_icir -0.122832, train_ric -0.009972, train_ricir -0.178275, train_mae 0.092112, train_rmse 0.110930, train_mape 175.044769, train_acc 0.289060, valid_loss 0.0043484222, valid_ic 0.004995, valid_icir 0.124254, valid_ric -0.006284, valid_ricir -0.169286, valid_mae 0.035736, valid_rmse 0.068330, valid_mape 402.624023, valid_acc 0.524506, test_loss 0.005799, ic -0.001745, icir -0.061346, ric -0.009696, ricir -0.268825, prec@10 0.469959, prec@30 0.489300, test_mae 0.036475, test_rmse 0.072758, test_mape 726.234985, test_acc 0.512035
Epoch 166, train_loss 0.002071, train_ic 0.000829, train_icir 0.014826, train_ric -0.002934, train_ricir -0.050359, train_mae 0.030208, train_rmse 0.042876, train_mape 507.938812, train_acc 0.583902, valid_loss 0.0042619110, valid_ic 0.006133, valid_icir 0.145373, valid_ric -0.005539, valid_ricir -0.151325, valid_mae 0.034318, valid_rmse 0.065988, valid_mape 447.157349, valid_acc 0.589368, test_loss 0.005489, ic 0.001056, icir 0.033392, ric -0.006604, ricir -0.202443, prec@10 0.497942, prec@30 0.496571, test_mae 0.037032, test_rmse 0.069615, test_mape 760.431885, test_acc 0.535011
