Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 32, train_loss 0.002531, train_ic 0.007525, train_icir 0.095443, train_ric 0.008262, train_ricir 0.105344, train_mae 0.085713, train_rmse 0.094436, train_mape 793.060181, train_acc 0.200113, valid_loss 0.0066518316, valid_ic 0.003055, valid_icir 0.062732, valid_ric 0.003013, valid_ricir 0.062469, valid_mae 0.064320, valid_rmse 0.077685, valid_mape 1360.448975, valid_acc 0.578358, test_loss 0.008362, ic 0.000245, icir 0.003865, ric 0.001974, ricir 0.029378, prec@10 0.525103, prec@30 0.511111, test_mae 0.064724, test_rmse 0.092861, test_mape 1139.862305, test_acc 0.711370
Epoch 33, train_loss 0.002312, train_ic 0.004027, train_icir 0.045792, train_ric 0.013171, train_ricir 0.150789, train_mae 0.050920, train_rmse 0.059262, train_mape 391.296875, train_acc 0.738433, valid_loss 0.0065617049, valid_ic 0.002341, valid_icir 0.044313, valid_ric 0.007794, valid_ricir 0.146380, valid_mae 0.062471, valid_rmse 0.080080, valid_mape 1314.195679, valid_acc 0.551972, test_loss 0.009409, ic -0.001079, icir -0.015049, ric 0.003639, ricir 0.048661, prec@10 0.525514, prec@30 0.519067, test_mae 0.068782, test_rmse 0.099804, test_mape 1179.050659, test_acc 0.609815
Epoch 34, train_loss 0.002362, train_ic 0.000736, train_icir 0.009358, train_ric -0.004371, train_ricir -0.044579, train_mae 0.092584, train_rmse 0.099417, train_mape 2177.623291, train_acc 0.395885, valid_loss 0.0096218305, valid_ic -0.001538, valid_icir -0.034348, valid_ric 0.000507, valid_ricir 0.006718, valid_mae 0.081788, valid_rmse 0.095411, valid_mape 1880.401611, valid_acc 0.583156, test_loss 0.012189, ic -0.004566, icir -0.088364, ric -0.000294, ricir -0.003300, prec@10 0.514403, prec@30 0.518793, test_mae 0.081910, test_rmse 0.106656, test_mape 1680.298218, test_acc 0.723761
Epoch 35, train_loss 0.002746, train_ic 0.002707, train_icir 0.032352, train_ric 0.012742, train_ricir 0.149174, train_mae 0.087366, train_rmse 0.093549, train_mape 1576.473999, train_acc 0.369988, valid_loss 0.0084474232, valid_ic 0.001940, valid_icir 0.039472, valid_ric 0.008797, valid_ricir 0.170596, valid_mae 0.075265, valid_rmse 0.086737, valid_mape 1625.330566, valid_acc 0.581557, test_loss 0.009589, ic -0.002037, icir -0.030949, ric 0.004420, ricir 0.064093, prec@10 0.520576, prec@30 0.524966, test_mae 0.073207, test_rmse 0.096576, test_mape 1277.747192, test_acc 0.715986
Epoch 36, train_loss 0.002245, train_ic 0.005371, train_icir 0.056329, train_ric 0.015703, train_ricir 0.170397, train_mae 0.037482, train_rmse 0.043811, train_mape 811.503418, train_acc 0.624454, valid_loss 0.0055102825, valid_ic -0.003109, valid_icir -0.044906, valid_ric 0.008202, valid_ricir 0.136966, valid_mae 0.054643, valid_rmse 0.079527, valid_mape 1187.920166, valid_acc 0.536247, test_loss 0.010343, ic -0.010060, icir -0.101214, ric 0.003232, ricir 0.036407, prec@10 0.522634, prec@30 0.521674, test_mae 0.069370, test_rmse 0.114503, test_mape 1451.080688, test_acc 0.542031
Epoch 37, train_loss 0.002390, train_ic 0.006345, train_icir 0.070941, train_ric 0.010243, train_ricir 0.120838, train_mae 0.088219, train_rmse 0.097084, train_mape 1427.565918, train_acc 0.314343, valid_loss 0.0095408122, valid_ic 0.000071, valid_icir 0.001181, valid_ric 0.003199, valid_ricir 0.060201, valid_mae 0.081382, valid_rmse 0.094786, valid_mape 1736.270752, valid_acc 0.565299, test_loss 0.011782, ic -0.004919, icir -0.057417, ric 0.001266, ricir 0.016132, prec@10 0.522222, prec@30 0.511660, test_mae 0.084488, test_rmse 0.109542, test_mape 1528.338379, test_acc 0.648931
Epoch 38, train_loss 0.002204, train_ic 0.005044, train_icir 0.057657, train_ric 0.011392, train_ricir 0.134732, train_mae 0.120659, train_rmse 0.130021, train_mape 50414.441406, train_acc 0.095170, valid_loss 0.0091996853, valid_ic -0.000059, valid_icir -0.001085, valid_ric 0.005373, valid_ricir 0.103303, valid_mae 0.079182, valid_rmse 0.090282, valid_mape 1713.479370, valid_acc 0.587154, test_loss 0.010052, ic -0.005224, icir -0.069523, ric 0.002537, ricir 0.033779, prec@10 0.523045, prec@30 0.517833, test_mae 0.076114, test_rmse 0.098299, test_mape 1301.749756, test_acc 0.718173
Epoch 39, train_loss 0.002000, train_ic 0.004405, train_icir 0.050380, train_ric 0.012721, train_ricir 0.149828, train_mae 0.073597, train_rmse 0.083464, train_mape 1633.084106, train_acc 0.522360, valid_loss 0.0079541384, valid_ic 0.001780, valid_icir 0.032752, valid_ric 0.006786, valid_ricir 0.130710, valid_mae 0.072952, valid_rmse 0.086330, valid_mape 1560.249268, valid_acc 0.553305, test_loss 0.010083, ic -0.002512, icir -0.032987, ric 0.003002, ricir 0.042040, prec@10 0.514815, prec@30 0.513306, test_mae 0.076984, test_rmse 0.102207, test_mape 1364.098511, test_acc 0.625121
Epoch 40, train_loss 0.002226, train_ic -0.013477, train_icir -0.156024, train_ric 0.001827, train_ricir 0.023537, train_mae 0.071253, train_rmse 0.079256, train_mape 1734.675171, train_acc 0.330041, valid_loss 0.0070748812, valid_ic -0.003109, valid_icir -0.058910, valid_ric -0.000607, valid_ricir -0.012714, valid_mae 0.067971, valid_rmse 0.079109, valid_mape 1468.685181, valid_acc 0.586620, test_loss 0.008248, ic -0.008829, icir -0.121376, ric -0.001005, ricir -0.014687, prec@10 0.489300, prec@30 0.486968, test_mae 0.066169, test_rmse 0.089519, test_mape 1137.523926, test_acc 0.710155
Epoch 41, train_loss 0.002277, train_ic 0.011190, train_icir 0.150618, train_ric 0.011728, train_ricir 0.155960, train_mae 0.111465, train_rmse 0.114656, train_mape 94346.914062, train_acc 0.537054, valid_loss 0.0151887583, valid_ic -0.004262, valid_icir -0.088979, valid_ric 0.005151, valid_ricir 0.101997, valid_mae 0.112673, valid_rmse 0.117571, valid_mape 2446.367188, valid_acc 0.597548, test_loss 0.016033, ic -0.010428, icir -0.163285, ric 0.000630, ricir 0.008388, prec@10 0.523045, prec@30 0.512483, test_mae 0.105704, test_rmse 0.119259, test_mape 1829.666504, test_acc 0.750243
