Dataset:  NASDAQ
Radom seed: 1234
GPU: 7
Learning rate: 1e-05
Loss: MaskedMSELoss

---------- Marketformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "NASDAQ",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20
    },
    "early_stop": 30,
    "runner": "basic2",
    "loss": "mse",
    "model_args": {
        "d_feat": 5,
        "seq_len": 16,
        "pred_len": 1,
        "n_node": 1026,
        "d_emb": 8,
        "d_model": 64,
        "dff": 256,
        "nheads": 2,
        "num_layers": 2,
        "alpha": 1,
        "dropout": 0.1
    }
}
Epoch 36, train_loss 0.000811, train_ic 0.021730, train_icir 0.224397, train_ric 0.028852, train_ricir 0.279430, valid_loss 0.0006263912 , valid_ic 0.029991, valid_icir 0.280618, valid_ric 0.036563, valid_ricir 0.307181, test_loss 0.000480, ic 0.021351, icir 0.213807, ric 0.038720, ricir 0.321332, prec@10 0.541772, prec@30 0.552461 
Epoch 37, train_loss 0.000758, train_ic 0.004432, train_icir 0.048558, train_ric 0.014573, train_ricir 0.152123, valid_loss 0.0007847280 , valid_ic 0.016581, valid_icir 0.159811, valid_ric 0.025555, valid_ricir 0.225863, test_loss 0.000619, ic 0.015904, icir 0.158546, ric 0.035322, ricir 0.293649, prec@10 0.151477, prec@30 0.146835 
Epoch 38, train_loss 0.000758, train_ic 0.007175, train_icir 0.077727, train_ric 0.018246, train_ricir 0.187661, valid_loss 0.0007130058 , valid_ic 0.018498, valid_icir 0.178473, valid_ric 0.027764, valid_ricir 0.245739, test_loss 0.000567, ic 0.018038, icir 0.182074, ric 0.038048, ricir 0.316552, prec@10 0.190717, prec@30 0.191139 
Epoch 39, train_loss 0.000767, train_ic -0.008911, train_icir -0.105903, train_ric 0.003753, train_ricir 0.040637, valid_loss 0.0011709996 , valid_ic 0.003058, valid_icir 0.029559, valid_ric 0.015085, valid_ricir 0.133087, test_loss 0.000958, ic 0.010641, icir 0.109929, ric 0.029699, ricir 0.248239, prec@10 0.056962, prec@30 0.052602 
Epoch 40, train_loss 0.000736, train_ic 0.036780, train_icir 0.418853, train_ric 0.035770, train_ricir 0.358378, valid_loss 0.0007346275 , valid_ic 0.039962, valid_icir 0.351884, valid_ric 0.041537, valid_ricir 0.326911, test_loss 0.000570, ic 0.021977, icir 0.238285, ric 0.038776, ricir 0.342774, prec@10 0.834599, prec@30 0.834459 
Epoch 41, train_loss 0.000747, train_ic 0.035379, train_icir 0.387113, train_ric 0.035561, train_ricir 0.354639, valid_loss 0.0006548554 , valid_ic 0.039645, valid_icir 0.350411, valid_ric 0.041691, valid_ricir 0.329989, test_loss 0.000500, ic 0.024301, icir 0.256037, ric 0.039451, ricir 0.345411, prec@10 0.778481, prec@30 0.770745 
Epoch 42, train_loss 0.000740, train_ic 0.037117, train_icir 0.442878, train_ric 0.036127, train_ricir 0.363955, valid_loss 0.0007461705 , valid_ic 0.039954, valid_icir 0.352104, valid_ric 0.041912, valid_ricir 0.326150, test_loss 0.000595, ic 0.020748, icir 0.233711, ric 0.039544, ricir 0.351868, prec@10 0.841772, prec@30 0.842475 
Epoch 43, train_loss 0.000727, train_ic -0.015209, train_icir -0.204707, train_ric -0.000295, train_ricir -0.003308, valid_loss 0.0010077738 , valid_ic -0.004862, valid_icir -0.048402, valid_ric 0.011389, valid_ricir 0.100401, test_loss 0.000898, ic 0.008626, icir 0.099608, ric 0.028490, ricir 0.240705, prec@10 0.099578, prec@30 0.099015 
Epoch 44, train_loss 0.000700, train_ic 0.034285, train_icir 0.399780, train_ric 0.034100, train_ricir 0.350964, valid_loss 0.0005983068 , valid_ic 0.038153, valid_icir 0.347309, valid_ric 0.040696, valid_ricir 0.333736, test_loss 0.000488, ic 0.021053, icir 0.232911, ric 0.038965, ricir 0.338916, prec@10 0.468776, prec@30 0.442194 
Epoch 45, train_loss 0.000716, train_ic 0.038854, train_icir 0.454121, train_ric 0.036445, train_ricir 0.372931, valid_loss 0.0006411414 , valid_ic 0.040719, valid_icir 0.354111, valid_ric 0.041168, valid_ricir 0.321794, test_loss 0.000497, ic 0.024321, icir 0.263845, ric 0.040393, ricir 0.361095, prec@10 0.752743, prec@30 0.738537 
Epoch 46, train_loss 0.000731, train_ic 0.002867, train_icir 0.032908, train_ric 0.014835, train_ricir 0.158250, valid_loss 0.0007516768 , valid_ic 0.013710, valid_icir 0.135303, valid_ric 0.024764, valid_ricir 0.223076, test_loss 0.000620, ic 0.019573, icir 0.205673, ric 0.040968, ricir 0.344471, prec@10 0.105907, prec@30 0.099719 
Epoch 47, train_loss 0.000679, train_ic 0.033837, train_icir 0.364114, train_ric 0.035181, train_ricir 0.349395, valid_loss 0.0006058897 , valid_ic 0.037725, valid_icir 0.337727, valid_ric 0.041039, valid_ricir 0.328193, test_loss 0.000462, ic 0.027336, icir 0.283019, ric 0.041544, ricir 0.359438, prec@10 0.771308, prec@30 0.767792 
Epoch 48, train_loss 0.000665, train_ic 0.032590, train_icir 0.357661, train_ric 0.033825, train_ricir 0.341560, valid_loss 0.0005742932 , valid_ic 0.035593, valid_icir 0.329396, valid_ric 0.039420, valid_ricir 0.328425, test_loss 0.000457, ic 0.026932, icir 0.283825, ric 0.042976, ricir 0.373360, prec@10 0.404641, prec@30 0.385091 
Epoch 49, train_loss 0.000680, train_ic 0.039054, train_icir 0.493700, train_ric 0.036743, train_ricir 0.381043, valid_loss 0.0007930606 , valid_ic 0.039309, valid_icir 0.335790, valid_ric 0.040033, valid_ricir 0.303155, test_loss 0.000638, ic 0.019871, icir 0.228285, ric 0.039377, ricir 0.359207, prec@10 0.891139, prec@30 0.884107 
Epoch 50, train_loss 0.000667, train_ic -0.004430, train_icir -0.053939, train_ric 0.009431, train_ricir 0.101878, valid_loss 0.0006108124 , valid_ic 0.006569, valid_icir 0.065945, valid_ric 0.019852, valid_ricir 0.179322, test_loss 0.000490, ic 0.015527, icir 0.165613, ric 0.036919, ricir 0.310222, prec@10 0.324051, prec@30 0.343179 
Epoch 51, train_loss 0.000714, train_ic 0.032539, train_icir 0.350809, train_ric 0.034292, train_ricir 0.339753, valid_loss 0.0005908054 , valid_ic 0.035819, valid_icir 0.325750, valid_ric 0.039986, valid_ricir 0.324589, test_loss 0.000454, ic 0.026376, icir 0.275418, ric 0.041097, ricir 0.354474, prec@10 0.783122, prec@30 0.785373 
Epoch 52, train_loss 0.000675, train_ic 0.006787, train_icir 0.078496, train_ric 0.018583, train_ricir 0.195942, valid_loss 0.0005789126 , valid_ic 0.017437, valid_icir 0.174255, valid_ric 0.028525, valid_ricir 0.257200, test_loss 0.000457, ic 0.021756, icir 0.229420, ric 0.042469, ricir 0.359052, prec@10 0.313502, prec@30 0.317440 
Epoch 53, train_loss 0.000666, train_ic 0.016454, train_icir 0.184467, train_ric 0.027049, train_ricir 0.278624, valid_loss 0.0005663796 , valid_ic 0.027351, valid_icir 0.266324, valid_ric 0.037438, valid_ricir 0.325365, test_loss 0.000443, ic 0.025785, icir 0.274352, ric 0.043936, ricir 0.376489, prec@10 0.646414, prec@30 0.667932 
Epoch 54, train_loss 0.000649, train_ic 0.021366, train_icir 0.232542, train_ric 0.026886, train_ricir 0.271969, valid_loss 0.0005675807 , valid_ic 0.027662, valid_icir 0.266245, valid_ric 0.035397, valid_ricir 0.306040, test_loss 0.000445, ic 0.024891, icir 0.255960, ric 0.042246, ricir 0.356074, prec@10 0.293671, prec@30 0.286357 
Epoch 55, train_loss 0.000635, train_ic -0.003971, train_icir -0.050554, train_ric 0.010903, train_ricir 0.119651, valid_loss 0.0005996480 , valid_ic 0.007685, valid_icir 0.079439, valid_ric 0.022688, valid_ricir 0.208713, test_loss 0.000491, ic 0.016650, icir 0.185943, ric 0.039002, ricir 0.331701, prec@10 0.288608, prec@30 0.299297 
