Dataset:  CSI2259
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.178072, train_ic 0.010410, train_icir 0.101140, train_ric 0.035706, train_ricir 0.316977, train_mae 0.173526, train_rmse 0.289730, train_mape 3491.668213, train_acc 0.568393, valid_loss 0.0691775799, valid_ic -0.004328, valid_icir -0.051074, valid_ric 0.018756, valid_ricir 0.194533, valid_prec@10 0.487705, valid_prec@30 0.513934, valid_mae 0.131234, valid_rmse 0.253962, valid_mape 2867.669678, valid_acc 0.394865, test_loss 0.049353, ic 0.001121, icir 0.010662, ric 0.017699, ricir 0.168290, prec@10 0.394239, prec@30 0.459945, test_mae 0.076562, test_rmse 0.178851, test_mape 1437.080322, test_acc 0.489597
Epoch 80, train_loss 0.001484, train_ic 0.032420, train_icir 0.307380, train_ric 0.056607, train_ricir 0.452423, train_mae 0.018140, train_rmse 0.024207, train_mape 241.048294, train_acc 0.657813, valid_loss 0.0008059094, valid_ic 0.002672, valid_icir 0.051385, valid_ric 0.031554, valid_ricir 0.303832, valid_prec@10 0.541393, valid_prec@30 0.551366, valid_mae 0.014322, valid_rmse 0.022557, valid_mape 285.008728, valid_acc 0.684374, test_loss 0.001290, ic -0.000153, icir -0.003212, ric 0.023325, ricir 0.204356, prec@10 0.452263, prec@30 0.483676, test_mae 0.021973, test_rmse 0.032867, test_mape 340.557129, test_acc 0.534307
Epoch 81, train_loss 0.001479, train_ic 0.061775, train_icir 0.564095, train_ric 0.016605, train_ricir 0.129712, train_mae 0.015448, train_rmse 0.020720, train_mape 139.486862, train_acc 0.282869, valid_loss 0.0005669055, valid_ic 0.008461, valid_icir 0.217802, valid_ric -0.008834, valid_ricir -0.127847, valid_prec@10 0.540164, valid_prec@30 0.510246, valid_mae 0.011671, valid_rmse 0.022054, valid_mape 125.769066, valid_acc 0.579017, test_loss 0.000974, ic 0.008747, icir 0.258685, ric -0.018010, ricir -0.230613, prec@10 0.530864, prec@30 0.502469, test_mae 0.014340, test_rmse 0.028427, test_mape 127.994896, test_acc 0.497123
Epoch 82, train_loss 0.001430, train_ic 0.053202, train_icir 0.541545, train_ric 0.033496, train_ricir 0.291604, train_mae 0.025673, train_rmse 0.037600, train_mape 110.235764, train_acc 0.567508, valid_loss 0.0006084643, valid_ic 0.005973, valid_icir 0.179626, valid_ric 0.017324, valid_ricir 0.240791, valid_prec@10 0.580738, valid_prec@30 0.566393, valid_mae 0.017908, valid_rmse 0.026251, valid_mape 243.938828, valid_acc 0.205843, test_loss 0.001017, ic -0.000341, icir -0.012937, ric -0.001139, ricir -0.013828, prec@10 0.523045, prec@30 0.507819, test_mae 0.016742, test_rmse 0.030050, test_mape 180.360580, test_acc 0.397078
Epoch 83, train_loss 0.001499, train_ic 0.060567, train_icir 0.462484, train_ric 0.039837, train_ricir 0.261637, train_mae 0.040661, train_rmse 0.050084, train_mape 102.225998, train_acc 0.478530, valid_loss 0.0005842031, valid_ic 0.011938, valid_icir 0.220834, valid_ric 0.003677, valid_ricir 0.039576, valid_prec@10 0.616803, valid_prec@30 0.588251, valid_mae 0.012327, valid_rmse 0.022629, valid_mape 142.322098, valid_acc 0.566622, test_loss 0.001043, ic 0.013989, icir 0.260542, ric 0.004942, ricir 0.042471, prec@10 0.555556, prec@30 0.561591, test_mae 0.015921, test_rmse 0.029976, test_mape 161.019974, test_acc 0.528995
Epoch 84, train_loss 0.001450, train_ic 0.079109, train_icir 0.745945, train_ric 0.058462, train_ricir 0.467623, train_mae 0.012459, train_rmse 0.019060, train_mape 147.632217, train_acc 0.512174, valid_loss 0.0005914682, valid_ic 0.013792, valid_icir 0.333265, valid_ric 0.017502, valid_ricir 0.216382, valid_prec@10 0.594262, valid_prec@30 0.537978, valid_mae 0.011066, valid_rmse 0.021160, valid_mape 146.142014, valid_acc 0.658699, test_loss 0.001017, ic 0.009996, icir 0.274747, ric 0.002511, ricir 0.028776, prec@10 0.536626, prec@30 0.525240, test_mae 0.015131, test_rmse 0.028636, test_mape 166.695053, test_acc 0.539619
Epoch 85, train_loss 0.001439, train_ic 0.053450, train_icir 0.548520, train_ric 0.047748, train_ricir 0.449844, train_mae 0.024908, train_rmse 0.034941, train_mape 129.744263, train_acc 0.472333, valid_loss 0.0005998062, valid_ic 0.007222, valid_icir 0.175555, valid_ric 0.010856, valid_ricir 0.151236, valid_prec@10 0.597951, valid_prec@30 0.536339, valid_mae 0.011429, valid_rmse 0.021682, valid_mape 150.463425, valid_acc 0.629039, test_loss 0.001082, ic 0.007494, icir 0.213019, ric 0.005134, ricir 0.075202, prec@10 0.555144, prec@30 0.545953, test_mae 0.016100, test_rmse 0.031772, test_mape 179.021286, test_acc 0.521912
Epoch 86, train_loss 0.001442, train_ic 0.070757, train_icir 0.589872, train_ric 0.021191, train_ricir 0.145632, train_mae 0.036051, train_rmse 0.046942, train_mape 223.714920, train_acc 0.419212, valid_loss 0.0006306950, valid_ic 0.012920, valid_icir 0.285748, valid_ric -0.007615, valid_ricir -0.083454, valid_prec@10 0.558607, valid_prec@30 0.519672, valid_mae 0.011572, valid_rmse 0.021451, valid_mape 174.271408, valid_acc 0.664896, test_loss 0.001045, ic 0.009354, icir 0.237795, ric -0.016160, ricir -0.160283, prec@10 0.534568, prec@30 0.494925, test_mae 0.014992, test_rmse 0.028849, test_mape 160.628967, test_acc 0.539619
Epoch 87, train_loss 0.001451, train_ic 0.063419, train_icir 0.636505, train_ric 0.044622, train_ricir 0.379083, train_mae 0.017728, train_rmse 0.022029, train_mape 437.654633, train_acc 0.454183, valid_loss 0.0008098946, valid_ic 0.012041, valid_icir 0.331999, valid_ric 0.012461, valid_ricir 0.173748, valid_prec@10 0.536066, valid_prec@30 0.540984, valid_mae 0.014883, valid_rmse 0.023388, valid_mape 306.179108, valid_acc 0.679504, test_loss 0.001272, ic 0.010596, icir 0.352324, ric 0.004381, ricir 0.057609, prec@10 0.511111, prec@30 0.522085, test_mae 0.020144, test_rmse 0.031853, test_mape 307.110992, test_acc 0.537406
Epoch 88, train_loss 0.001446, train_ic 0.049721, train_icir 0.434945, train_ric 0.028381, train_ricir 0.224674, train_mae 0.013177, train_rmse 0.019373, train_mape 131.529800, train_acc 0.633909, valid_loss 0.0005937418, valid_ic 0.008204, valid_icir 0.214690, valid_ric 0.009441, valid_ricir 0.141217, valid_prec@10 0.561066, valid_prec@30 0.551093, valid_mae 0.016527, valid_rmse 0.025267, valid_mape 209.609512, valid_acc 0.229748, test_loss 0.001032, ic 0.001855, icir 0.049758, ric -0.008666, ricir -0.092392, prec@10 0.552675, prec@30 0.529492, test_mae 0.018900, test_rmse 0.031332, test_mape 207.432053, test_acc 0.386012
Epoch 89, train_loss 0.001437, train_ic 0.062052, train_icir 0.513402, train_ric 0.020873, train_ricir 0.155125, train_mae 0.023152, train_rmse 0.028112, train_mape 362.361694, train_acc 0.186808, valid_loss 0.0006957612, valid_ic 0.009317, valid_icir 0.172169, valid_ric -0.012435, valid_ricir -0.155412, valid_prec@10 0.549180, valid_prec@30 0.492350, valid_mae 0.020859, valid_rmse 0.029029, valid_mape 314.193420, valid_acc 0.192120, test_loss 0.001073, ic 0.011378, icir 0.236721, ric -0.012552, ricir -0.137724, prec@10 0.530453, prec@30 0.493964, test_mae 0.018848, test_rmse 0.031024, test_mape 238.558487, test_acc 0.390438
Epoch 90, train_loss 0.001433, train_ic 0.073117, train_icir 0.704168, train_ric 0.049774, train_ricir 0.423829, train_mae 0.025292, train_rmse 0.030193, train_mape 387.696503, train_acc 0.292165, valid_loss 0.0007663905, valid_ic 0.012993, valid_icir 0.269443, valid_ric 0.010033, valid_ricir 0.140601, valid_prec@10 0.572951, valid_prec@30 0.516120, valid_mae 0.014405, valid_rmse 0.022621, valid_mape 294.030914, valid_acc 0.676848, test_loss 0.001190, ic 0.009290, icir 0.246998, ric -0.007057, ricir -0.096829, prec@10 0.541152, prec@30 0.505350, test_mae 0.017825, test_rmse 0.030483, test_mape 253.704453, test_acc 0.532979
Epoch 91, train_loss 0.001428, train_ic 0.066175, train_icir 0.511622, train_ric 0.044739, train_ricir 0.300197, train_mae 0.012719, train_rmse 0.019641, train_mape 147.071869, train_acc 0.498451, valid_loss 0.0005714908, valid_ic 0.011228, valid_icir 0.208852, valid_ric 0.003649, valid_ricir 0.039672, valid_prec@10 0.576639, valid_prec@30 0.533880, valid_mae 0.012135, valid_rmse 0.022253, valid_mape 139.005157, valid_acc 0.539177, test_loss 0.000997, ic 0.011965, icir 0.238104, ric 0.003607, ricir 0.033229, prec@10 0.541975, prec@30 0.516187, test_mae 0.014865, test_rmse 0.028355, test_mape 148.142227, test_acc 0.515715
Epoch 92, train_loss 0.001463, train_ic 0.055453, train_icir 0.587605, train_ric 0.049743, train_ricir 0.457552, train_mae 0.013150, train_rmse 0.019161, train_mape 135.761871, train_acc 0.535635, valid_loss 0.0005628657, valid_ic 0.010259, valid_icir 0.312296, valid_ric 0.032445, valid_ricir 0.521221, valid_prec@10 0.560246, valid_prec@30 0.562842, valid_mae 0.014487, valid_rmse 0.023836, valid_mape 171.665466, valid_acc 0.250996, test_loss 0.000950, ic 0.009240, icir 0.323705, ric 0.022407, ricir 0.319614, prec@10 0.542798, prec@30 0.530453, test_mae 0.014774, test_rmse 0.028207, test_mape 137.146729, test_acc 0.428066
Epoch 93, train_loss 0.001422, train_ic 0.036653, train_icir 0.335347, train_ric 0.009852, train_ricir 0.077579, train_mae 0.028866, train_rmse 0.040129, train_mape 130.005508, train_acc 0.470120, valid_loss 0.0005682634, valid_ic 0.004077, valid_icir 0.110112, valid_ric 0.007871, valid_ricir 0.096120, valid_prec@10 0.567623, valid_prec@30 0.561339, valid_mae 0.012082, valid_rmse 0.021899, valid_mape 141.233704, valid_acc 0.470120, test_loss 0.000962, ic -0.002932, icir -0.100115, ric -0.010562, ricir -0.114926, prec@10 0.509877, prec@30 0.515775, test_mae 0.014661, test_rmse 0.028058, test_mape 136.485352, test_acc 0.478973
Epoch 94, train_loss 0.001453, train_ic 0.071966, train_icir 0.692416, train_ric 0.047611, train_ricir 0.392115, train_mae 0.019333, train_rmse 0.024992, train_mape 124.807312, train_acc 0.349270, valid_loss 0.0006009045, valid_ic 0.012748, valid_icir 0.267394, valid_ric 0.006892, valid_ricir 0.089296, valid_prec@10 0.570492, valid_prec@30 0.512158, valid_mae 0.011700, valid_rmse 0.021641, valid_mape 159.131897, valid_acc 0.627711, test_loss 0.001027, ic 0.009626, icir 0.254136, ric -0.002675, ricir -0.036836, prec@10 0.541975, prec@30 0.511248, test_mae 0.015661, test_rmse 0.028516, test_mape 177.763092, test_acc 0.509517
Epoch 95, train_loss 0.001392, train_ic 0.063201, train_icir 0.596173, train_ric 0.044177, train_ricir 0.357134, train_mae 0.013877, train_rmse 0.021166, train_mape 146.937088, train_acc 0.403276, valid_loss 0.0005537864, valid_ic 0.009957, valid_icir 0.252466, valid_ric 0.011859, valid_ricir 0.161235, valid_prec@10 0.576639, valid_prec@30 0.553962, valid_mae 0.012148, valid_rmse 0.022236, valid_mape 129.275711, valid_acc 0.492696, test_loss 0.000976, ic 0.004720, icir 0.137646, ric 0.003668, ricir 0.044610, prec@10 0.535802, prec@30 0.515089, test_mae 0.014627, test_rmse 0.028814, test_mape 131.305069, test_acc 0.513944
Epoch 96, train_loss 0.001446, train_ic 0.051491, train_icir 0.534542, train_ric 0.018524, train_ricir 0.172723, train_mae 0.012638, train_rmse 0.019118, train_mape 186.314255, train_acc 0.378486, valid_loss 0.0005666201, valid_ic 0.007433, valid_icir 0.214707, valid_ric 0.005783, valid_ricir 0.110938, valid_prec@10 0.553689, valid_prec@30 0.551230, valid_mae 0.015537, valid_rmse 0.024431, valid_mape 191.435013, valid_acc 0.228420, test_loss 0.000966, ic 0.003382, icir 0.119929, ric -0.005811, ricir -0.096840, prec@10 0.523868, prec@30 0.510014, test_mae 0.015438, test_rmse 0.029136, test_mape 152.301331, test_acc 0.415671
Epoch 97, train_loss 0.001397, train_ic 0.049334, train_icir 0.483897, train_ric 0.043666, train_ricir 0.366499, train_mae 0.022664, train_rmse 0.029915, train_mape 235.902649, train_acc 0.204515, valid_loss 0.0006050327, valid_ic 0.006574, valid_icir 0.169949, valid_ric 0.024952, valid_ricir 0.305146, valid_prec@10 0.605738, valid_prec@30 0.575273, valid_mae 0.018266, valid_rmse 0.026234, valid_mape 253.013779, valid_acc 0.214254, test_loss 0.001002, ic 0.000690, icir 0.024326, ric 0.003706, ricir 0.040828, prec@10 0.516461, prec@30 0.524554, test_mae 0.017111, test_rmse 0.029332, test_mape 184.592926, test_acc 0.392209
Epoch 98, train_loss 0.001390, train_ic 0.068161, train_icir 0.681194, train_ric 0.071576, train_ricir 0.602077, train_mae 0.015236, train_rmse 0.023285, train_mape 219.173813, train_acc 0.494909, valid_loss 0.0005977008, valid_ic 0.011653, valid_icir 0.272446, valid_ric 0.033524, valid_ricir 0.386614, valid_prec@10 0.568852, valid_prec@30 0.546585, valid_mae 0.016441, valid_rmse 0.025114, valid_mape 215.446167, valid_acc 0.207614, test_loss 0.000975, ic 0.005282, icir 0.159212, ric 0.012530, ricir 0.133078, prec@10 0.517695, prec@30 0.510562, test_mae 0.016124, test_rmse 0.029223, test_mape 171.644852, test_acc 0.398406
Epoch 99, train_loss 0.001413, train_ic 0.060203, train_icir 0.548845, train_ric 0.028974, train_ricir 0.231551, train_mae 0.017929, train_rmse 0.022211, train_mape 441.181885, train_acc 0.656042, valid_loss 0.0010320762, valid_ic 0.009983, valid_icir 0.262877, valid_ric 0.010743, valid_ricir 0.140896, valid_prec@10 0.572131, valid_prec@30 0.569809, valid_mae 0.018006, valid_rmse 0.025070, valid_mape 414.301727, valid_acc 0.683931, test_loss 0.001405, ic 0.005383, icir 0.174313, ric -0.005720, ricir -0.061088, prec@10 0.523868, prec@30 0.512209, test_mae 0.022229, test_rmse 0.033291, test_mape 365.335602, test_acc 0.535193
Epoch 100, train_loss 0.001426, train_ic 0.063497, train_icir 0.531337, train_ric 0.057063, train_ricir 0.419514, train_mae 0.092964, train_rmse 0.098757, train_mape 109.310616, train_acc 0.283311, valid_loss 0.0005824184, valid_ic 0.012351, valid_icir 0.223370, valid_ric 0.014651, valid_ricir 0.164960, valid_prec@10 0.550820, valid_prec@30 0.551366, valid_mae 0.013982, valid_rmse 0.023592, valid_mape 173.126633, valid_acc 0.369633, test_loss 0.001000, ic 0.011331, icir 0.200753, ric 0.013449, ricir 0.123676, prec@10 0.502881, prec@30 0.514815, test_mae 0.015254, test_rmse 0.028390, test_mape 160.038467, test_acc 0.502877
Epoch 101, train_loss 0.001413, train_ic 0.067437, train_icir 0.568054, train_ric 0.036721, train_ricir 0.270317, train_mae 0.013991, train_rmse 0.018399, train_mape 172.455231, train_acc 0.295263, valid_loss 0.0005649596, valid_ic 0.012526, valid_icir 0.287678, valid_ric 0.006446, valid_ricir 0.090613, valid_prec@10 0.575820, valid_prec@30 0.540984, valid_mae 0.011367, valid_rmse 0.021337, valid_mape 134.365158, valid_acc 0.633909, test_loss 0.000979, ic 0.009805, icir 0.248050, ric -0.003605, ricir -0.037940, prec@10 0.540741, prec@30 0.520302, test_mae 0.014952, test_rmse 0.028041, test_mape 150.465591, test_acc 0.524126
Epoch 102, train_loss 0.001441, train_ic 0.071473, train_icir 0.690588, train_ric 0.057592, train_ricir 0.469299, train_mae 0.024086, train_rmse 0.028028, train_mape 452.044159, train_acc 0.425852, valid_loss 0.0008297424, valid_ic 0.013714, valid_icir 0.360945, valid_ric 0.022002, valid_ricir 0.306371, valid_prec@10 0.562705, valid_prec@30 0.538798, valid_mae 0.014849, valid_rmse 0.022672, valid_mape 318.673981, valid_acc 0.682603, test_loss 0.001234, ic 0.010022, icir 0.309941, ric 0.001234, ricir 0.015255, prec@10 0.538683, prec@30 0.525926, test_mae 0.019480, test_rmse 0.031219, test_mape 301.497498, test_acc 0.533865
Epoch 103, train_loss 0.001435, train_ic 0.075176, train_icir 0.809431, train_ric 0.048961, train_ricir 0.482101, train_mae 0.031120, train_rmse 0.043643, train_mape 201.040726, train_acc 0.296591, valid_loss 0.0005970422, valid_ic 0.012374, valid_icir 0.323392, valid_ric 0.018533, valid_ricir 0.363649, valid_prec@10 0.590574, valid_prec@30 0.537022, valid_mae 0.017599, valid_rmse 0.025843, valid_mape 237.659042, valid_acc 0.199646, test_loss 0.000979, ic 0.007127, icir 0.233499, ric 0.007928, ricir 0.122431, prec@10 0.523457, prec@30 0.515226, test_mae 0.016270, test_rmse 0.029215, test_mape 182.308044, test_acc 0.404604
Epoch 104, train_loss 0.001428, train_ic 0.082016, train_icir 0.752074, train_ric 0.055090, train_ricir 0.443894, train_mae 0.018428, train_rmse 0.022803, train_mape 11328.898438, train_acc 0.423196, valid_loss 0.0007761753, valid_ic 0.013893, valid_icir 0.332704, valid_ric 0.011581, valid_ricir 0.158904, valid_prec@10 0.595902, valid_prec@30 0.535929, valid_mae 0.014357, valid_rmse 0.022319, valid_mape 292.551483, valid_acc 0.680832, test_loss 0.001224, ic 0.010145, icir 0.293652, ric -0.000321, ricir -0.003971, prec@10 0.536626, prec@30 0.524280, test_mae 0.019732, test_rmse 0.031648, test_mape 298.211182, test_acc 0.534750
Epoch 105, train_loss 0.001434, train_ic 0.074903, train_icir 0.573139, train_ric 0.052570, train_ricir 0.352982, train_mae 0.029410, train_rmse 0.035014, train_mape 339.466309, train_acc 0.111996, valid_loss 0.0008062593, valid_ic 0.015911, valid_icir 0.271649, valid_ric 0.009339, valid_ricir 0.103059, valid_prec@10 0.566393, valid_prec@30 0.507240, valid_mae 0.023781, valid_rmse 0.031071, valid_mape 383.346191, valid_acc 0.192120, test_loss 0.001151, ic 0.015836, icir 0.300141, ric 0.006523, ricir 0.059985, prec@10 0.557202, prec@30 0.525652, test_mae 0.020877, test_rmse 0.032605, test_mape 295.668274, test_acc 0.393537
Epoch 106, train_loss 0.001398, train_ic 0.060248, train_icir 0.593478, train_ric 0.041660, train_ricir 0.379540, train_mae 0.015258, train_rmse 0.021965, train_mape 167.350220, train_acc 0.565294, valid_loss 0.0006068081, valid_ic 0.010226, valid_icir 0.283012, valid_ric 0.013422, valid_ricir 0.289479, valid_prec@10 0.563934, valid_prec@30 0.559290, valid_mae 0.017835, valid_rmse 0.026276, valid_mape 245.991821, valid_acc 0.251439, test_loss 0.000989, ic 0.006767, icir 0.181100, ric 0.009483, ricir 0.131127, prec@10 0.533333, prec@30 0.528807, test_mae 0.016076, test_rmse 0.028848, test_mape 176.987381, test_acc 0.447986
Epoch 107, train_loss 0.001392, train_ic 0.047084, train_icir 0.362862, train_ric 0.054009, train_ricir 0.383893, train_mae 0.019294, train_rmse 0.024599, train_mape 291.587891, train_acc 0.398849, valid_loss 0.0006741236, valid_ic 0.008205, valid_icir 0.109306, valid_ric 0.014567, valid_ricir 0.143413, valid_prec@10 0.549180, valid_prec@30 0.563934, valid_mae 0.015097, valid_rmse 0.024374, valid_mape 226.709671, valid_acc 0.511288, test_loss 0.001180, ic 0.009072, icir 0.111879, ric 0.011032, ricir 0.089308, prec@10 0.529218, prec@30 0.524143, test_mae 0.019288, test_rmse 0.031533, test_mape 247.828003, test_acc 0.521027
Epoch 108, train_loss 0.001407, train_ic 0.051280, train_icir 0.568572, train_ric 0.059868, train_ricir 0.620511, train_mae 0.044360, train_rmse 0.052304, train_mape 106.082138, train_acc 0.599823, valid_loss 0.0005695594, valid_ic 0.005084, valid_icir 0.109008, valid_ric 0.029257, valid_ricir 0.394113, valid_prec@10 0.561885, valid_prec@30 0.566393, valid_mae 0.011128, valid_rmse 0.021239, valid_mape 130.649704, valid_acc 0.650730, test_loss 0.000971, ic 0.003730, icir 0.091096, ric 0.011672, ricir 0.140010, prec@10 0.512346, prec@30 0.514540, test_mae 0.014738, test_rmse 0.027755, test_mape 153.025467, test_acc 0.531651
Epoch 109, train_loss 0.001410, train_ic 0.042826, train_icir 0.425006, train_ric 0.034217, train_ricir 0.310091, train_mae 0.019963, train_rmse 0.028708, train_mape 70.846725, train_acc 0.869411, valid_loss 0.0007656782, valid_ic 0.004536, valid_icir 0.091930, valid_ric 0.009696, valid_ricir 0.128075, valid_prec@10 0.506148, valid_prec@30 0.504098, valid_mae 0.013853, valid_rmse 0.022152, valid_mape 271.138550, valid_acc 0.673307, test_loss 0.001182, ic 0.000852, icir 0.024084, ric -0.003343, ricir -0.047825, prec@10 0.497942, prec@30 0.468038, test_mae 0.019423, test_rmse 0.030585, test_mape 293.222534, test_acc 0.532537
Epoch 110, train_loss 0.001397, train_ic 0.065048, train_icir 0.575102, train_ric 0.017601, train_ricir 0.138986, train_mae 0.015932, train_rmse 0.023411, train_mape 158.363907, train_acc 0.680390, valid_loss 0.0005988493, valid_ic 0.012044, valid_icir 0.262325, valid_ric -0.012293, valid_ricir -0.190486, valid_prec@10 0.575000, valid_prec@30 0.523497, valid_mae 0.011715, valid_rmse 0.021427, valid_mape 163.957077, valid_acc 0.640106, test_loss 0.001002, ic 0.011829, icir 0.314749, ric -0.018377, ricir -0.239498, prec@10 0.530864, prec@30 0.499588, test_mae 0.015093, test_rmse 0.027945, test_mape 161.836639, test_acc 0.532979
Epoch 111, train_loss 0.001392, train_ic 0.065657, train_icir 0.637140, train_ric 0.054322, train_ricir 0.491912, train_mae 0.022472, train_rmse 0.027837, train_mape 201.600861, train_acc 0.269146, valid_loss 0.0006382760, valid_ic 0.013429, valid_icir 0.299211, valid_ric 0.024312, valid_ricir 0.402338, valid_prec@10 0.565984, valid_prec@30 0.539754, valid_mae 0.011933, valid_rmse 0.021257, valid_mape 196.348816, valid_acc 0.675077, test_loss 0.001076, ic 0.010618, icir 0.252714, ric 0.011542, ricir 0.135997, prec@10 0.541564, prec@30 0.516049, test_mae 0.017040, test_rmse 0.029303, test_mape 216.217331, test_acc 0.532094
Epoch 112, train_loss 0.001393, train_ic 0.075353, train_icir 0.687493, train_ric 0.014094, train_ricir 0.114371, train_mae 0.037724, train_rmse 0.045206, train_mape 105.957222, train_acc 0.720230, valid_loss 0.0006824719, valid_ic 0.015978, valid_icir 0.387596, valid_ric -0.009673, valid_ricir -0.162465, valid_prec@10 0.585246, valid_prec@30 0.555738, valid_mae 0.021759, valid_rmse 0.029014, valid_mape 330.969025, valid_acc 0.199203, test_loss 0.001069, ic 0.007606, icir 0.238648, ric -0.024877, ricir -0.324376, prec@10 0.542387, prec@30 0.519616, test_mae 0.020593, test_rmse 0.031535, test_mape 269.617950, test_acc 0.384683
Epoch 113, train_loss 0.001391, train_ic 0.068518, train_icir 0.683376, train_ric 0.064084, train_ricir 0.552660, train_mae 0.015694, train_rmse 0.024995, train_mape 129.305298, train_acc 0.593625, valid_loss 0.0005695722, valid_ic 0.012314, valid_icir 0.303049, valid_ric 0.028541, valid_ricir 0.378624, valid_prec@10 0.582377, valid_prec@30 0.581831, valid_mae 0.015709, valid_rmse 0.024421, valid_mape 200.814240, valid_acc 0.232404, test_loss 0.000961, ic 0.004219, icir 0.114272, ric 0.009735, ricir 0.109200, prec@10 0.525926, prec@30 0.527572, test_mae 0.015274, test_rmse 0.028411, test_mape 149.209213, test_acc 0.435148
Epoch 114, train_loss 0.001414, train_ic 0.076868, train_icir 0.647291, train_ric 0.031857, train_ricir 0.232965, train_mae 0.030733, train_rmse 0.038348, train_mape 152.432114, train_acc 0.429836, valid_loss 0.0006913925, valid_ic 0.015924, valid_icir 0.322307, valid_ric -0.005892, valid_ricir -0.074499, valid_prec@10 0.567623, valid_prec@30 0.509153, valid_mae 0.012820, valid_rmse 0.021684, valid_mape 230.896454, valid_acc 0.675520, test_loss 0.001120, ic 0.012725, icir 0.312493, ric -0.012270, ricir -0.146076, prec@10 0.544444, prec@30 0.495885, test_mae 0.017133, test_rmse 0.029259, test_mape 233.871170, test_acc 0.535193
Epoch 115, train_loss 0.001411, train_ic 0.064786, train_icir 0.589146, train_ric 0.026429, train_ricir 0.207259, train_mae 0.021662, train_rmse 0.029266, train_mape 208.419586, train_acc 0.698982, valid_loss 0.0007516929, valid_ic 0.011267, valid_icir 0.247599, valid_ric 0.003442, valid_ricir 0.044094, valid_prec@10 0.559016, valid_prec@30 0.528825, valid_mae 0.013093, valid_rmse 0.021768, valid_mape 253.983521, valid_acc 0.683931, test_loss 0.001155, ic 0.005625, icir 0.164377, ric -0.006064, ricir -0.070776, prec@10 0.530864, prec@30 0.513169, test_mae 0.018234, test_rmse 0.030112, test_mape 263.886871, test_acc 0.536521
Early stopping -----
Epoch 116, train_loss 0.001391, train_ic 0.068565, train_icir 0.539295, train_ric 0.026006, train_ricir 0.179481, train_mae 0.034133, train_rmse 0.043047, train_mape 209.326767, train_acc 0.099602, valid_loss 0.0006556563, valid_ic 0.015453, valid_icir 0.249144, valid_ric -0.010303, valid_ricir -0.121791, valid_prec@10 0.575820, valid_prec@30 0.554235, valid_mae 0.019636, valid_rmse 0.027873, valid_mape 291.993011, valid_acc 0.219124, test_loss 0.001035, ic 0.012000, icir 0.233954, ric -0.005576, ricir -0.055171, prec@10 0.543621, prec@30 0.526063, test_mae 0.017259, test_rmse 0.030172, test_mape 212.476471, test_acc 0.440460
Epoch 117, train_loss 0.001391, train_ic 0.082124, train_icir 0.795520, train_ric 0.078057, train_ricir 0.642124, train_mae 0.019234, train_rmse 0.028865, train_mape 110.908195, train_acc 0.729526, valid_loss 0.0005923908, valid_ic 0.013853, valid_icir 0.277403, valid_ric 0.033108, valid_ricir 0.368956, valid_prec@10 0.572541, valid_prec@30 0.555055, valid_mae 0.010990, valid_rmse 0.020637, valid_mape 157.936539, valid_acc 0.671979, test_loss 0.001024, ic 0.005470, icir 0.134795, ric 0.013617, ricir 0.134650, prec@10 0.516049, prec@30 0.507956, test_mae 0.016048, test_rmse 0.028447, test_mape 190.896469, test_acc 0.534750
Epoch 118, train_loss 0.001386, train_ic 0.061817, train_icir 0.658067, train_ric 0.062401, train_ricir 0.573602, train_mae 0.013660, train_rmse 0.020427, train_mape 148.216278, train_acc 0.539619, valid_loss 0.0005801190, valid_ic 0.008068, valid_icir 0.179208, valid_ric 0.035777, valid_ricir 0.397901, valid_prec@10 0.563115, valid_prec@30 0.549863, valid_mae 0.010805, valid_rmse 0.020603, valid_mape 142.191345, valid_acc 0.664896, test_loss 0.000997, ic -0.000952, icir -0.032331, ric 0.015220, ricir 0.175547, prec@10 0.506584, prec@30 0.501097, test_mae 0.015537, test_rmse 0.028453, test_mape 177.112610, test_acc 0.534750
Epoch 119, train_loss 0.001430, train_ic 0.071294, train_icir 0.598838, train_ric 0.052145, train_ricir 0.389421, train_mae 0.019719, train_rmse 0.027246, train_mape 265.988922, train_acc 0.616645, valid_loss 0.0010561883, valid_ic 0.014830, valid_icir 0.277742, valid_ric 0.006937, valid_ricir 0.086333, valid_prec@10 0.559426, valid_prec@30 0.500273, valid_mae 0.030204, valid_rmse 0.036283, valid_mape 526.041138, valid_acc 0.194776, test_loss 0.001437, ic 0.011693, icir 0.259225, ric -0.005853, ricir -0.069362, prec@10 0.530864, prec@30 0.500823, test_mae 0.027909, test_rmse 0.037637, test_mape 432.392548, test_acc 0.385126
