Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2018,
        "test_year": 2019,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 121, train_loss 0.001214, train_ic 0.095070, train_icir 1.019963, train_ric 0.036162, train_ricir 0.360284, train_mae 0.032998, train_rmse 0.037633, train_mape 769.171265, train_acc 0.344533, valid_loss 0.0016190838, valid_ic 0.013809, valid_icir 0.332573, valid_ric 0.004829, valid_ricir 0.063278, valid_prec@10 0.615638, valid_prec@30 0.568313, valid_mae 0.031132, valid_rmse 0.036970, valid_mape 534.929138, valid_acc 0.433661, test_loss 0.001834, ic 0.008597, icir 0.234952, ric 0.008004, ricir 0.149547, prec@10 0.622131, prec@30 0.604781, test_mae 0.034893, test_rmse 0.042638, test_mape 631.156616, test_acc 0.349414
Epoch 122, train_loss 0.001233, train_ic 0.072423, train_icir 0.721859, train_ric 0.002751, train_ricir 0.025906, train_mae 0.025485, train_rmse 0.033911, train_mape 173.006317, train_acc 0.476153, valid_loss 0.0009705401, valid_ic 0.014623, valid_icir 0.291537, valid_ric -0.008418, valid_ricir -0.086754, valid_prec@10 0.578189, valid_prec@30 0.517010, valid_mae 0.019605, valid_rmse 0.026826, valid_mape 226.916092, valid_acc 0.422160, test_loss 0.001076, ic 0.012705, icir 0.340809, ric 0.001252, ricir 0.017123, prec@10 0.573361, prec@30 0.538251, test_mae 0.019808, test_rmse 0.030347, test_mape 264.185242, test_acc 0.353945
Epoch 123, train_loss 0.001187, train_ic 0.110990, train_icir 1.095590, train_ric 0.028209, train_ricir 0.277345, train_mae 0.015600, train_rmse 0.020908, train_mape 245.938293, train_acc 0.734226, valid_loss 0.0012552950, valid_ic 0.025672, valid_icir 0.657618, valid_ric -0.001536, valid_ricir -0.024909, valid_prec@10 0.623045, valid_prec@30 0.574074, valid_mae 0.022213, valid_rmse 0.029221, valid_mape 343.024109, valid_acc 0.503226, test_loss 0.001238, ic 0.013047, icir 0.322963, ric -0.001034, ricir -0.021603, prec@10 0.632377, prec@30 0.590437, test_mae 0.019488, test_rmse 0.028652, test_mape 377.462067, test_acc 0.594616
Epoch 124, train_loss 0.001232, train_ic 0.108445, train_icir 0.975537, train_ric 0.015063, train_ricir 0.116734, train_mae 0.012440, train_rmse 0.019683, train_mape 183.175735, train_acc 0.554943, valid_loss 0.0009291051, valid_ic 0.032990, valid_icir 0.619237, valid_ric -0.012915, valid_ricir -0.133033, valid_prec@10 0.588477, valid_prec@30 0.561180, valid_mae 0.015769, valid_rmse 0.024011, valid_mape 144.764954, valid_acc 0.450491, test_loss 0.000960, ic 0.019650, icir 0.476420, ric -0.010288, ricir -0.151949, prec@10 0.584016, prec@30 0.569262, test_mae 0.014143, test_rmse 0.025683, test_mape 177.779297, test_acc 0.557569
Epoch 125, train_loss 0.001194, train_ic 0.088196, train_icir 0.910277, train_ric 0.029896, train_ricir 0.310226, train_mae 0.014644, train_rmse 0.021978, train_mape 146.801422, train_acc 0.481843, valid_loss 0.0009240407, valid_ic 0.019190, valid_icir 0.447546, valid_ric 0.001810, valid_ricir 0.024225, valid_prec@10 0.626337, valid_prec@30 0.568176, valid_mae 0.017872, valid_rmse 0.025614, valid_mape 175.677185, valid_acc 0.424404, test_loss 0.001029, ic 0.011757, icir 0.341829, ric 0.006271, ricir 0.122445, prec@10 0.654918, prec@30 0.597678, test_mae 0.017402, test_rmse 0.028885, test_mape 200.092239, test_acc 0.368603
Epoch 126, train_loss 0.001222, train_ic 0.107312, train_icir 1.004846, train_ric 0.031064, train_ricir 0.291238, train_mae 0.016496, train_rmse 0.024150, train_mape 179.128922, train_acc 0.319207, valid_loss 0.0009026968, valid_ic 0.023594, valid_icir 0.514084, valid_ric 0.001223, valid_ricir 0.015219, valid_prec@10 0.610288, valid_prec@30 0.571468, valid_mae 0.016262, valid_rmse 0.024128, valid_mape 160.900848, valid_acc 0.448808, test_loss 0.000996, ic 0.009311, icir 0.218939, ric 0.002503, ricir 0.043158, prec@10 0.649590, prec@30 0.612705, test_mae 0.016117, test_rmse 0.027997, test_mape 182.205048, test_acc 0.370469
Epoch 127, train_loss 0.001203, train_ic 0.071943, train_icir 0.785248, train_ric 0.049789, train_ricir 0.528866, train_mae 0.013323, train_rmse 0.019718, train_mape 151.525528, train_acc 0.721105, valid_loss 0.0009484633, valid_ic 0.012218, valid_icir 0.250653, valid_ric 0.018470, valid_ricir 0.232596, valid_prec@10 0.568724, valid_prec@30 0.522634, valid_mae 0.016889, valid_rmse 0.024724, valid_mape 173.078735, valid_acc 0.434502, test_loss 0.001055, ic 0.009341, icir 0.236372, ric 0.024259, ricir 0.382997, prec@10 0.568443, prec@30 0.534563, test_mae 0.018872, test_rmse 0.030441, test_mape 259.971283, test_acc 0.348881
Epoch 128, train_loss 0.001212, train_ic 0.105998, train_icir 1.117318, train_ric 0.040668, train_ricir 0.406909, train_mae 0.017381, train_rmse 0.024978, train_mape 127.040909, train_acc 0.677500, valid_loss 0.0008902496, valid_ic 0.015032, valid_icir 0.390567, valid_ric 0.005650, valid_ricir 0.072583, valid_prec@10 0.607407, valid_prec@30 0.555556, valid_mae 0.015843, valid_rmse 0.023810, valid_mape 137.072510, valid_acc 0.449649, test_loss 0.000964, ic 0.011485, icir 0.345933, ric 0.011545, ricir 0.198543, prec@10 0.618443, prec@30 0.602049, test_mae 0.015920, test_rmse 0.027421, test_mape 173.397400, test_acc 0.376866
Epoch 129, train_loss 0.001221, train_ic 0.079316, train_icir 0.727830, train_ric 0.019551, train_ricir 0.158562, train_mae 0.030023, train_rmse 0.036758, train_mape 121.570145, train_acc 0.715140, valid_loss 0.0011883370, valid_ic 0.006984, valid_icir 0.102674, valid_ric -0.005597, valid_ricir -0.048301, valid_prec@10 0.597119, valid_prec@30 0.545816, valid_mae 0.024240, valid_rmse 0.030825, valid_mape 350.578461, valid_acc 0.428612, test_loss 0.001353, ic 0.007322, icir 0.167622, ric 0.002341, ricir 0.026703, prec@10 0.645492, prec@30 0.590164, test_mae 0.025495, test_rmse 0.035107, test_mape 396.258698, test_acc 0.347814
Epoch 130, train_loss 0.001214, train_ic 0.072146, train_icir 0.655763, train_ric 0.004842, train_ricir 0.040225, train_mae 0.021329, train_rmse 0.028949, train_mape 130.261749, train_acc 0.441382, valid_loss 0.0009088953, valid_ic 0.008068, valid_icir 0.126089, valid_ric -0.009661, valid_ricir -0.084099, valid_prec@10 0.587243, valid_prec@30 0.532373, valid_mae 0.017093, valid_rmse 0.024865, valid_mape 161.618729, valid_acc 0.410659, test_loss 0.000972, ic 0.013878, icir 0.312163, ric 0.003883, ricir 0.041249, prec@10 0.586066, prec@30 0.556967, test_mae 0.016343, test_rmse 0.027331, test_mape 190.102798, test_acc 0.431237
Epoch 131, train_loss 0.001223, train_ic 0.095398, train_icir 0.969237, train_ric 0.028069, train_ricir 0.257842, train_mae 0.022972, train_rmse 0.027019, train_mape 496.786652, train_acc 0.216384, valid_loss 0.0011258728, valid_ic 0.018153, valid_icir 0.387484, valid_ric 0.005610, valid_ricir 0.063168, valid_prec@10 0.623868, valid_prec@30 0.566392, valid_mae 0.022916, valid_rmse 0.029600, valid_mape 334.278198, valid_acc 0.431978, test_loss 0.001274, ic 0.012352, icir 0.356942, ric 0.010394, ricir 0.167294, prec@10 0.662295, prec@30 0.614754, test_mae 0.024852, test_rmse 0.034236, test_mape 394.787109, test_acc 0.352345
Epoch 132, train_loss 0.001204, train_ic 0.097872, train_icir 1.034799, train_ric 0.056102, train_ricir 0.524467, train_mae 0.022404, train_rmse 0.028378, train_mape 233.970047, train_acc 0.354007, valid_loss 0.0009028350, valid_ic 0.013463, valid_icir 0.313534, valid_ric 0.015100, valid_ricir 0.170138, valid_prec@10 0.587654, valid_prec@30 0.547188, valid_mae 0.015443, valid_rmse 0.023701, valid_mape 135.693970, valid_acc 0.488359, test_loss 0.000972, ic 0.008118, icir 0.227419, ric 0.020919, ricir 0.317937, prec@10 0.647541, prec@30 0.595628, test_mae 0.014387, test_rmse 0.026729, test_mape 151.555603, test_acc 0.537580
Epoch 133, train_loss 0.001203, train_ic 0.103460, train_icir 0.998619, train_ric 0.021211, train_ricir 0.212259, train_mae 0.024683, train_rmse 0.035095, train_mape 150.592300, train_acc 0.486592, valid_loss 0.0009164551, valid_ic 0.027237, valid_icir 0.703065, valid_ric 0.002227, valid_ricir 0.038237, valid_prec@10 0.608642, valid_prec@30 0.576132, valid_mae 0.016642, valid_rmse 0.024893, valid_mape 153.061493, valid_acc 0.449088, test_loss 0.001049, ic 0.010190, icir 0.244870, ric 0.002178, ricir 0.048354, prec@10 0.650820, prec@30 0.612978, test_mae 0.016099, test_rmse 0.028792, test_mape 171.244568, test_acc 0.390192
Epoch 134, train_loss 0.001207, train_ic 0.107393, train_icir 1.072439, train_ric 0.047814, train_ricir 0.416417, train_mae 0.022535, train_rmse 0.030653, train_mape 119.309364, train_acc 0.539484, valid_loss 0.0009098498, valid_ic 0.026101, valid_icir 0.570870, valid_ric 0.008093, valid_ricir 0.101451, valid_prec@10 0.596296, valid_prec@30 0.575309, valid_mae 0.015582, valid_rmse 0.023819, valid_mape 135.213333, valid_acc 0.472090, test_loss 0.000983, ic 0.015161, icir 0.349877, ric 0.006934, ricir 0.115330, prec@10 0.639344, prec@30 0.603825, test_mae 0.014790, test_rmse 0.026882, test_mape 155.528748, test_acc 0.484275
Epoch 135, train_loss 0.001210, train_ic 0.091852, train_icir 0.884033, train_ric 0.034306, train_ricir 0.323330, train_mae 0.016088, train_rmse 0.022290, train_mape 282.698547, train_acc 0.424772, valid_loss 0.0010876909, valid_ic 0.011445, valid_icir 0.209573, valid_ric 0.001621, valid_ricir 0.016636, valid_prec@10 0.593416, valid_prec@30 0.545679, valid_mae 0.019669, valid_rmse 0.027460, valid_mape 279.091309, valid_acc 0.478822, test_loss 0.001072, ic 0.013039, icir 0.335620, ric 0.010779, ricir 0.142389, prec@10 0.595082, prec@30 0.575410, test_mae 0.016593, test_rmse 0.026665, test_mape 292.933105, test_acc 0.564765
Epoch 136, train_loss 0.001213, train_ic 0.096490, train_icir 0.904651, train_ric 0.029830, train_ricir 0.242024, train_mae 0.013488, train_rmse 0.019559, train_mape 182.465546, train_acc 0.467646, valid_loss 0.0009514454, valid_ic 0.025124, valid_icir 0.415427, valid_ric -0.002388, valid_ricir -0.022872, valid_prec@10 0.597942, valid_prec@30 0.557064, valid_mae 0.016375, valid_rmse 0.024637, valid_mape 164.359558, valid_acc 0.465919, test_loss 0.000978, ic 0.017949, icir 0.431559, ric -0.000281, ricir -0.003939, prec@10 0.580738, prec@30 0.553415, test_mae 0.015149, test_rmse 0.026065, test_mape 218.907120, test_acc 0.547441
Epoch 137, train_loss 0.001218, train_ic 0.107928, train_icir 1.080362, train_ric 0.048687, train_ricir 0.419180, train_mae 0.015477, train_rmse 0.022620, train_mape 244.355682, train_acc 0.617225, valid_loss 0.0010193884, valid_ic 0.026056, valid_icir 0.519366, valid_ric 0.005776, valid_ricir 0.065087, valid_prec@10 0.602469, valid_prec@30 0.568176, valid_mae 0.020388, valid_rmse 0.027472, valid_mape 274.589417, valid_acc 0.430014, test_loss 0.001142, ic 0.013885, icir 0.317629, ric 0.003117, ricir 0.049494, prec@10 0.636885, prec@30 0.591803, test_mae 0.020705, test_rmse 0.031188, test_mape 295.429230, test_acc 0.349947
Epoch 138, train_loss 0.001204, train_ic 0.080793, train_icir 0.751522, train_ric 0.019902, train_ricir 0.164812, train_mae 0.030085, train_rmse 0.035300, train_mape 212.125778, train_acc 0.087101, valid_loss 0.0010528426, valid_ic 0.017285, valid_icir 0.264061, valid_ric 0.001971, valid_ricir 0.018451, valid_prec@10 0.613580, valid_prec@30 0.563786, valid_mae 0.021429, valid_rmse 0.028561, valid_mape 277.576447, valid_acc 0.436746, test_loss 0.001181, ic 0.013573, icir 0.324103, ric 0.005205, ricir 0.066887, prec@10 0.645082, prec@30 0.592623, test_mae 0.022117, test_rmse 0.032140, test_mape 317.827271, test_acc 0.355277
Epoch 139, train_loss 0.001220, train_ic 0.108921, train_icir 1.126032, train_ric 0.029492, train_ricir 0.306492, train_mae 0.028871, train_rmse 0.040006, train_mape 133.070023, train_acc 0.378236, valid_loss 0.0008978287, valid_ic 0.023668, valid_icir 0.510502, valid_ric 0.000741, valid_ricir 0.009530, valid_prec@10 0.592181, valid_prec@30 0.556790, valid_mae 0.016623, valid_rmse 0.024459, valid_mape 153.357162, valid_acc 0.441795, test_loss 0.000969, ic 0.018809, icir 0.466114, ric 0.000439, ricir 0.008202, prec@10 0.586885, prec@30 0.583333, test_mae 0.016398, test_rmse 0.027438, test_mape 184.766144, test_acc 0.373667
Epoch 140, train_loss 0.001192, train_ic 0.096287, train_icir 0.862211, train_ric 0.012402, train_ricir 0.097739, train_mae 0.024053, train_rmse 0.031074, train_mape 3533.602051, train_acc 0.382888, valid_loss 0.0009808388, valid_ic 0.032363, valid_icir 0.479391, valid_ric -0.012965, valid_ricir -0.126025, valid_prec@10 0.626749, valid_prec@30 0.572565, valid_mae 0.019521, valid_rmse 0.027395, valid_mape 214.531326, valid_acc 0.433661, test_loss 0.001060, ic 0.021736, icir 0.427694, ric -0.011887, ricir -0.165185, prec@10 0.640984, prec@30 0.586612, test_mae 0.017414, test_rmse 0.028514, test_mape 209.055542, test_acc 0.410981
Epoch 141, train_loss 0.001202, train_ic 0.101611, train_icir 0.931701, train_ric 0.025684, train_ricir 0.213989, train_mae 0.022765, train_rmse 0.028624, train_mape 195.535110, train_acc 0.394988, valid_loss 0.0010824883, valid_ic 0.025240, valid_icir 0.440528, valid_ric -0.006785, valid_ricir -0.070567, valid_prec@10 0.606584, valid_prec@30 0.562414, valid_mae 0.018410, valid_rmse 0.026339, valid_mape 241.964035, valid_acc 0.492006, test_loss 0.001097, ic 0.017217, icir 0.414061, ric -0.001522, ricir -0.023637, prec@10 0.637295, prec@30 0.582650, test_mae 0.016912, test_rmse 0.027290, test_mape 297.894012, test_acc 0.569296
Epoch 142, train_loss 0.001202, train_ic 0.094408, train_icir 1.097422, train_ric 0.048049, train_ricir 0.577956, train_mae 0.025846, train_rmse 0.036598, train_mape 100.807014, train_acc 0.618757, valid_loss 0.0009388797, valid_ic 0.013913, valid_icir 0.376877, valid_ric 0.014772, valid_ricir 0.244019, valid_prec@10 0.611523, valid_prec@30 0.558025, valid_mae 0.016876, valid_rmse 0.024924, valid_mape 179.377838, valid_acc 0.491164, test_loss 0.001014, ic 0.006353, icir 0.161418, ric 0.016671, ricir 0.346981, prec@10 0.661885, prec@30 0.608607, test_mae 0.014644, test_rmse 0.026890, test_mape 171.531372, test_acc 0.558102
Epoch 143, train_loss 0.001190, train_ic 0.096240, train_icir 0.935816, train_ric 0.030637, train_ricir 0.265090, train_mae 0.018558, train_rmse 0.026253, train_mape 146.413651, train_acc 0.661765, valid_loss 0.0010509315, valid_ic 0.030834, valid_icir 0.616967, valid_ric 0.000464, valid_ricir 0.005901, valid_prec@10 0.604527, valid_prec@30 0.573251, valid_mae 0.017604, valid_rmse 0.025664, valid_mape 213.795776, valid_acc 0.485835, test_loss 0.001079, ic 0.016452, icir 0.385585, ric -0.002100, ricir -0.036523, prec@10 0.652049, prec@30 0.606011, test_mae 0.015895, test_rmse 0.026893, test_mape 255.056168, test_acc 0.585288
Epoch 144, train_loss 0.001191, train_ic 0.095718, train_icir 0.925286, train_ric 0.015161, train_ricir 0.140563, train_mae 0.021926, train_rmse 0.030424, train_mape 14678.162109, train_acc 0.710368, valid_loss 0.0010718774, valid_ic 0.027269, valid_icir 0.569497, valid_ric -0.006046, valid_ricir -0.079355, valid_prec@10 0.607407, valid_prec@30 0.570782, valid_mae 0.018294, valid_rmse 0.026182, valid_mape 237.363892, valid_acc 0.486115, test_loss 0.001093, ic 0.015037, icir 0.377998, ric -0.005050, ricir -0.094641, prec@10 0.654508, prec@30 0.604235, test_mae 0.016211, test_rmse 0.026846, test_mape 269.597565, test_acc 0.574627
Epoch 145, train_loss 0.001208, train_ic 0.105749, train_icir 0.914429, train_ric 0.015909, train_ricir 0.119277, train_mae 0.028945, train_rmse 0.037651, train_mape 191.136322, train_acc 0.188384, valid_loss 0.0009849923, valid_ic 0.033467, valid_icir 0.480591, valid_ric -0.011969, valid_ricir -0.105566, valid_prec@10 0.617695, valid_prec@30 0.566255, valid_mae 0.020203, valid_rmse 0.027598, valid_mape 238.904999, valid_acc 0.429734, test_loss 0.001076, ic 0.027022, icir 0.527967, ric -0.007993, ricir -0.099110, prec@10 0.596311, prec@30 0.569262, test_mae 0.018814, test_rmse 0.029402, test_mape 233.587738, test_acc 0.352878
Epoch 146, train_loss 0.001221, train_ic 0.098085, train_icir 0.984233, train_ric 0.016132, train_ricir 0.171829, train_mae 0.028001, train_rmse 0.035418, train_mape 111.923470, train_acc 0.680201, valid_loss 0.0009109948, valid_ic 0.018653, valid_icir 0.495834, valid_ric -0.002682, valid_ricir -0.037291, valid_prec@10 0.598765, valid_prec@30 0.539095, valid_mae 0.017602, valid_rmse 0.025041, valid_mape 179.418427, valid_acc 0.425526, test_loss 0.000992, ic 0.014119, icir 0.419822, ric 0.005305, ricir 0.098712, prec@10 0.579918, prec@30 0.560656, test_mae 0.017879, test_rmse 0.028419, test_mape 225.436218, test_acc 0.352079
Epoch 147, train_loss 0.001207, train_ic 0.097477, train_icir 1.135224, train_ric 0.052567, train_ricir 0.582004, train_mae 0.023448, train_rmse 0.031291, train_mape 190.961975, train_acc 0.099263, valid_loss 0.0009026000, valid_ic 0.018827, valid_icir 0.511701, valid_ric 0.016885, valid_ricir 0.264868, valid_prec@10 0.605761, valid_prec@30 0.560631, valid_mae 0.016523, valid_rmse 0.024284, valid_mape 159.293472, valid_acc 0.447966, test_loss 0.001001, ic 0.009602, icir 0.266499, ric 0.015667, ricir 0.305484, prec@10 0.657787, prec@30 0.603142, test_mae 0.016802, test_rmse 0.028150, test_mape 195.773804, test_acc 0.373667
Epoch 148, train_loss 0.001184, train_ic 0.082229, train_icir 0.851760, train_ric 0.020590, train_ricir 0.210117, train_mae 0.049474, train_rmse 0.058175, train_mape 92.998032, train_acc 0.854186, valid_loss 0.0009644342, valid_ic 0.019179, valid_icir 0.460106, valid_ric 0.002295, valid_ricir 0.033174, valid_prec@10 0.617695, valid_prec@30 0.560905, valid_mae 0.018580, valid_rmse 0.025991, valid_mape 205.197556, valid_acc 0.440954, test_loss 0.001060, ic 0.012127, icir 0.377196, ric 0.009350, ricir 0.193781, prec@10 0.638525, prec@30 0.605464, test_mae 0.019056, test_rmse 0.029536, test_mape 248.260544, test_acc 0.351812
Epoch 149, train_loss 0.001203, train_ic 0.076791, train_icir 0.902137, train_ric 0.040069, train_ricir 0.440481, train_mae 0.047010, train_rmse 0.054870, train_mape 110.255135, train_acc 0.334531, valid_loss 0.0009276372, valid_ic 0.016490, valid_icir 0.432777, valid_ric 0.012515, valid_ricir 0.209098, valid_prec@10 0.588477, valid_prec@30 0.561866, valid_mae 0.016515, valid_rmse 0.024453, valid_mape 162.453659, valid_acc 0.456942, test_loss 0.001002, ic 0.007398, icir 0.204855, ric 0.014973, ricir 0.341740, prec@10 0.643033, prec@30 0.607923, test_mae 0.015013, test_rmse 0.026977, test_mape 168.230255, test_acc 0.524520
Epoch 150, train_loss 0.001177, train_ic 0.092927, train_icir 0.983063, train_ric 0.056267, train_ricir 0.547409, train_mae 0.035334, train_rmse 0.047010, train_mape 200.210876, train_acc 0.146964, valid_loss 0.0009110536, valid_ic 0.014230, valid_icir 0.286289, valid_ric 0.016462, valid_ricir 0.200360, valid_prec@10 0.560082, valid_prec@30 0.531824, valid_mae 0.016233, valid_rmse 0.024166, valid_mape 154.061493, valid_acc 0.462833, test_loss 0.000985, ic 0.011054, icir 0.265512, ric 0.016355, ricir 0.243140, prec@10 0.608197, prec@30 0.584563, test_mae 0.016735, test_rmse 0.027749, test_mape 200.244858, test_acc 0.380330
Epoch 151, train_loss 0.001174, train_ic 0.098339, train_icir 1.128641, train_ric 0.040309, train_ricir 0.473393, train_mae 0.018325, train_rmse 0.026244, train_mape 117.978600, train_acc 0.683065, valid_loss 0.0009370622, valid_ic 0.017133, valid_icir 0.459109, valid_ric 0.003264, valid_ricir 0.057881, valid_prec@10 0.599588, valid_prec@30 0.539781, valid_mae 0.016483, valid_rmse 0.024370, valid_mape 176.481323, valid_acc 0.497055, test_loss 0.000965, ic 0.010102, icir 0.266105, ric 0.007236, ricir 0.170463, prec@10 0.638934, prec@30 0.584290, test_mae 0.014512, test_rmse 0.025441, test_mape 190.902618, test_acc 0.572228
Epoch 152, train_loss 0.001208, train_ic 0.071387, train_icir 0.643839, train_ric 0.003261, train_ricir 0.026783, train_mae 0.026127, train_rmse 0.032586, train_mape 217.055084, train_acc 0.165083, valid_loss 0.0009608480, valid_ic 0.018728, valid_icir 0.279936, valid_ric -0.007721, valid_ricir -0.072250, valid_prec@10 0.546502, valid_prec@30 0.529355, valid_mae 0.019089, valid_rmse 0.026312, valid_mape 218.280273, valid_acc 0.429453, test_loss 0.001046, ic 0.014057, icir 0.320774, ric -0.000411, ricir -0.005094, prec@10 0.580328, prec@30 0.568443, test_mae 0.018712, test_rmse 0.028908, test_mape 240.548248, test_acc 0.376333
Epoch 153, train_loss 0.001202, train_ic 0.093683, train_icir 1.005346, train_ric 0.018006, train_ricir 0.201066, train_mae 0.027646, train_rmse 0.035234, train_mape 151.786438, train_acc 0.369231, valid_loss 0.0009191078, valid_ic 0.020245, valid_icir 0.520262, valid_ric 0.000396, valid_ricir 0.005935, valid_prec@10 0.613169, valid_prec@30 0.552812, valid_mae 0.016320, valid_rmse 0.024459, valid_mape 161.178772, valid_acc 0.474334, test_loss 0.000965, ic 0.009730, icir 0.265037, ric 0.001611, ricir 0.034230, prec@10 0.658197, prec@30 0.604372, test_mae 0.014339, test_rmse 0.025542, test_mape 175.277023, test_acc 0.562100
Epoch 154, train_loss 0.001207, train_ic 0.104659, train_icir 0.989404, train_ric 0.023605, train_ricir 0.209204, train_mae 0.017132, train_rmse 0.024922, train_mape 146.116562, train_acc 0.490490, valid_loss 0.0009158497, valid_ic 0.026126, valid_icir 0.470749, valid_ric 0.001340, valid_ricir 0.013243, valid_prec@10 0.618107, valid_prec@30 0.563923, valid_mae 0.016419, valid_rmse 0.024424, valid_mape 162.889160, valid_acc 0.450771, test_loss 0.000947, ic 0.018542, icir 0.458357, ric 0.001768, ricir 0.024794, prec@10 0.610656, prec@30 0.590164, test_mae 0.014584, test_rmse 0.025313, test_mape 182.153000, test_acc 0.531716
Epoch 155, train_loss 0.001209, train_ic 0.091538, train_icir 0.999428, train_ric 0.053073, train_ricir 0.601713, train_mae 0.041321, train_rmse 0.047938, train_mape 112.267593, train_acc 0.279516, valid_loss 0.0009310192, valid_ic 0.021846, valid_icir 0.462635, valid_ric 0.016226, valid_ricir 0.259376, valid_prec@10 0.592181, valid_prec@30 0.579835, valid_mae 0.016897, valid_rmse 0.025148, valid_mape 160.532516, valid_acc 0.452454, test_loss 0.001072, ic 0.005015, icir 0.103091, ric 0.011833, ricir 0.208540, prec@10 0.644672, prec@30 0.607514, test_mae 0.016716, test_rmse 0.029009, test_mape 187.692566, test_acc 0.413380
Epoch 156, train_loss 0.001190, train_ic 0.077220, train_icir 0.897811, train_ric 0.033711, train_ricir 0.380179, train_mae 0.025662, train_rmse 0.034775, train_mape 118.449005, train_acc 0.518865, valid_loss 0.0009286182, valid_ic 0.014197, valid_icir 0.397848, valid_ric 0.011159, valid_ricir 0.169592, valid_prec@10 0.601646, valid_prec@30 0.577641, valid_mae 0.017272, valid_rmse 0.025475, valid_mape 161.524292, valid_acc 0.453857, test_loss 0.001071, ic 0.005377, icir 0.158281, ric 0.017165, ricir 0.354025, prec@10 0.647951, prec@30 0.607650, test_mae 0.016713, test_rmse 0.028994, test_mape 181.308716, test_acc 0.441365
Epoch 157, train_loss 0.001189, train_ic 0.082584, train_icir 0.812066, train_ric 0.022333, train_ricir 0.205605, train_mae 0.015709, train_rmse 0.022947, train_mape 236.821228, train_acc 0.532622, valid_loss 0.0010608026, valid_ic 0.018473, valid_icir 0.401528, valid_ric 0.000243, valid_ricir 0.002797, valid_prec@10 0.609877, valid_prec@30 0.576132, valid_mae 0.018458, valid_rmse 0.027951, valid_mape 223.109406, valid_acc 0.452735, test_loss 0.001301, ic 0.005008, icir 0.137796, ric 0.005790, ricir 0.096164, prec@10 0.649180, prec@30 0.608743, test_mae 0.016629, test_rmse 0.031806, test_mape 237.127716, test_acc 0.535714
Epoch 158, train_loss 0.001194, train_ic 0.085877, train_icir 1.006465, train_ric 0.051791, train_ricir 0.571218, train_mae 0.017920, train_rmse 0.024889, train_mape 228.341415, train_acc 0.518414, valid_loss 0.0009550991, valid_ic 0.018044, valid_icir 0.469799, valid_ric 0.015514, valid_ricir 0.239764, valid_prec@10 0.583539, valid_prec@30 0.551440, valid_mae 0.017928, valid_rmse 0.025392, valid_mape 198.118240, valid_acc 0.438429, test_loss 0.001060, ic 0.011121, icir 0.325350, ric 0.018347, ricir 0.357770, prec@10 0.647131, prec@30 0.603552, test_mae 0.018990, test_rmse 0.029534, test_mape 255.749756, test_acc 0.354211
Epoch 159, train_loss 0.001191, train_ic 0.078610, train_icir 0.732816, train_ric 0.022518, train_ricir 0.187363, train_mae 0.015051, train_rmse 0.022732, train_mape 159.415359, train_acc 0.486998, valid_loss 0.0009156966, valid_ic 0.022845, valid_icir 0.364107, valid_ric 0.002719, valid_ricir 0.025387, valid_prec@10 0.603704, valid_prec@30 0.555418, valid_mae 0.016892, valid_rmse 0.024665, valid_mape 166.254105, valid_acc 0.441795, test_loss 0.000960, ic 0.017247, icir 0.440014, ric 0.006926, ricir 0.089747, prec@10 0.629098, prec@30 0.596175, test_mae 0.015544, test_rmse 0.026242, test_mape 187.353973, test_acc 0.482942
Epoch 160, train_loss 0.001186, train_ic 0.084802, train_icir 0.847188, train_ric 0.033904, train_ricir 0.315688, train_mae 0.056791, train_rmse 0.064064, train_mape 91.695038, train_acc 0.821056, valid_loss 0.0009550031, valid_ic 0.022612, valid_icir 0.424235, valid_ric 0.003901, valid_ricir 0.043924, valid_prec@10 0.595062, valid_prec@30 0.556516, valid_mae 0.019098, valid_rmse 0.026501, valid_mape 210.552673, valid_acc 0.434783, test_loss 0.001042, ic 0.016061, icir 0.456695, ric 0.005717, ricir 0.096322, prec@10 0.632787, prec@30 0.582514, test_mae 0.018838, test_rmse 0.029091, test_mape 237.719299, test_acc 0.353412
Epoch 161, train_loss 0.001173, train_ic 0.085703, train_icir 0.885295, train_ric 0.035867, train_ricir 0.335484, train_mae 0.015220, train_rmse 0.022287, train_mape 144.500488, train_acc 0.505923, valid_loss 0.0009305611, valid_ic 0.012759, valid_icir 0.247165, valid_ric 0.006059, valid_ricir 0.061674, valid_prec@10 0.611934, valid_prec@30 0.556653, valid_mae 0.016912, valid_rmse 0.024937, valid_mape 179.910080, valid_acc 0.466199, test_loss 0.000998, ic 0.009463, icir 0.262643, ric 0.011364, ricir 0.159748, prec@10 0.665984, prec@30 0.609153, test_mae 0.015177, test_rmse 0.026746, test_mape 194.862823, test_acc 0.531716
