Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 32, train_loss 0.001708, train_ic -0.000357, train_icir -0.003996, train_ric 0.028240, train_ricir 0.196477, train_mae 0.078507, train_rmse 0.095858, train_mape 145.343521, train_acc 0.078680, valid_loss 0.0023059106, valid_ic -0.008055, valid_icir -0.233581, valid_ric 0.018343, valid_ricir 0.197766, valid_mae 0.029914, valid_rmse 0.051969, valid_mape 500.804321, valid_acc 0.343483, test_loss 0.005017, ic -0.009068, icir -0.191905, ric 0.009071, ricir 0.080550, prec@10 0.446502, prec@30 0.466255, test_mae 0.046126, test_rmse 0.087030, test_mape 526.580444, test_acc 0.200195
Epoch 33, train_loss 0.001709, train_ic 0.009702, train_icir 0.123928, train_ric 0.002025, train_ricir 0.015387, train_mae 0.015226, train_rmse 0.021973, train_mape 167.437286, train_acc 0.540593, valid_loss 0.0019264616, valid_ic 0.003409, valid_icir 0.102589, valid_ric 0.003664, valid_ricir 0.037870, valid_mae 0.019940, valid_rmse 0.046799, valid_mape 321.274872, valid_acc 0.493056, test_loss 0.004700, ic 0.000741, icir 0.018585, ric 0.006897, ricir 0.053610, prec@10 0.517695, prec@30 0.515501, test_mae 0.027653, test_rmse 0.079605, test_mape 325.954041, test_acc 0.685686
Epoch 34, train_loss 0.001657, train_ic 0.017763, train_icir 0.273835, train_ric 0.026151, train_ricir 0.250238, train_mae 0.030970, train_rmse 0.041569, train_mape 199.889252, train_acc 0.243350, valid_loss 0.0018898710, valid_ic 0.001441, valid_icir 0.042422, valid_ric 0.003297, valid_ricir 0.054224, valid_mae 0.019000, valid_rmse 0.046563, valid_mape 296.547821, valid_acc 0.545673, test_loss 0.004658, ic -0.002175, icir -0.043043, ric 0.008958, ricir 0.123738, prec@10 0.540741, prec@30 0.523594, test_mae 0.028666, test_rmse 0.079852, test_mape 308.424103, test_acc 0.655206
Epoch 35, train_loss 0.001683, train_ic 0.017776, train_icir 0.216321, train_ric 0.038937, train_ricir 0.289271, train_mae 0.016283, train_rmse 0.022749, train_mape 217.267227, train_acc 0.776583, valid_loss 0.0021692684, valid_ic -0.007229, valid_icir -0.154101, valid_ric 0.009139, valid_ricir 0.089716, valid_mae 0.024934, valid_rmse 0.047490, valid_mape 466.513489, valid_acc 0.594017, test_loss 0.004789, ic -0.012319, icir -0.202873, ric 0.005540, ricir 0.041014, prec@10 0.599588, prec@30 0.588477, test_mae 0.030932, test_rmse 0.079335, test_mape 393.825256, test_acc 0.724214
Epoch 36, train_loss 0.001675, train_ic 0.007627, train_icir 0.105338, train_ric 0.031652, train_ricir 0.266715, train_mae 0.019479, train_rmse 0.029614, train_mape 264.961182, train_acc 0.360619, valid_loss 0.0017672627, valid_ic -0.009802, valid_icir -0.265436, valid_ric 0.011567, valid_ricir 0.141075, valid_mae 0.017981, valid_rmse 0.044042, valid_mape 262.559021, valid_acc 0.601496, test_loss 0.004328, ic -0.011962, icir -0.234931, ric 0.002251, ricir 0.023849, prec@10 0.465432, prec@30 0.526337, test_mae 0.029297, test_rmse 0.078238, test_mape 288.079193, test_acc 0.534504
Epoch 37, train_loss 0.001645, train_ic 0.023143, train_icir 0.259606, train_ric -0.000307, train_ricir -0.002283, train_mae 0.021549, train_rmse 0.033057, train_mape 357.494354, train_acc 0.669148, valid_loss 0.0021366436, valid_ic -0.005360, valid_icir -0.118777, valid_ric -0.018954, valid_ricir -0.198220, valid_mae 0.024862, valid_rmse 0.046572, valid_mape 477.652985, valid_acc 0.584669, test_loss 0.004658, ic -0.008444, icir -0.144985, ric -0.009868, ricir -0.074308, prec@10 0.616461, prec@30 0.597394, test_mae 0.030846, test_rmse 0.077987, test_mape 395.718811, test_acc 0.682516
Epoch 38, train_loss 0.001601, train_ic 0.005102, train_icir 0.054522, train_ric -0.008529, train_ricir -0.060869, train_mae 0.042772, train_rmse 0.049363, train_mape 1023.792725, train_acc 0.565722, valid_loss 0.0044616205, valid_ic 0.004674, valid_icir 0.100048, valid_ric -0.001980, valid_ricir -0.018593, valid_mae 0.056085, valid_rmse 0.071723, valid_mape 1019.535522, valid_acc 0.345887, test_loss 0.006990, ic 0.004938, icir 0.108416, ric 0.003529, ricir 0.024345, prec@10 0.532922, prec@30 0.521674, test_mae 0.068379, test_rmse 0.097588, test_mape 837.504395, test_acc 0.194099
Epoch 39, train_loss 0.001621, train_ic 0.015447, train_icir 0.230692, train_ric 0.038170, train_ricir 0.327533, train_mae 0.063600, train_rmse 0.073183, train_mape 98.839378, train_acc 0.669781, valid_loss 0.0016422791, valid_ic -0.000355, valid_icir -0.012248, valid_ric 0.027780, valid_ricir 0.382416, valid_mae 0.016816, valid_rmse 0.043237, valid_mape 193.347290, valid_acc 0.430021, test_loss 0.004066, ic -0.004669, icir -0.108864, ric 0.020597, ricir 0.198588, prec@10 0.503292, prec@30 0.518381, test_mae 0.027618, test_rmse 0.076206, test_mape 253.466919, test_acc 0.477688
Epoch 40, train_loss 0.001591, train_ic 0.027330, train_icir 0.351641, train_ric 0.001564, train_ricir 0.012555, train_mae 0.031255, train_rmse 0.042508, train_mape 456.121643, train_acc 0.368144, valid_loss 0.0020698521, valid_ic 0.004428, valid_icir 0.149370, valid_ric -0.007871, valid_ricir -0.104969, valid_mae 0.029711, valid_rmse 0.049397, valid_mape 493.514954, valid_acc 0.348291, test_loss 0.004391, ic -0.000917, icir -0.022958, ric 0.001260, ricir 0.014294, prec@10 0.649794, prec@30 0.599863, test_mae 0.042187, test_rmse 0.081013, test_mape 464.027557, test_acc 0.194343
Epoch 41, train_loss 0.001613, train_ic 0.019443, train_icir 0.248722, train_ric 0.010813, train_ricir 0.086586, train_mae 0.040085, train_rmse 0.054009, train_mape 214.517715, train_acc 0.306551, valid_loss 0.0019388514, valid_ic -0.005699, valid_icir -0.147501, valid_ric -0.012638, valid_ricir -0.144149, valid_mae 0.026798, valid_rmse 0.047531, valid_mape 456.445831, valid_acc 0.355769, test_loss 0.004266, ic -0.008947, icir -0.183989, ric -0.008944, ricir -0.080722, prec@10 0.608230, prec@30 0.589575, test_mae 0.042303, test_rmse 0.081072, test_mape 476.903717, test_acc 0.200683
