Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2021,
        "test_year": 2022,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 32, train_loss 0.001756, train_ic 0.036640, train_icir 0.486309, train_ric -0.000140, train_ricir -0.001142, train_mae 0.013192, train_rmse 0.023350, train_mape 148.825470, train_acc 0.492068, valid_loss 0.0049509369, valid_ic 0.004294, valid_icir 0.071531, valid_ric -0.016013, valid_ricir -0.229663, valid_mae 0.024577, valid_rmse 0.067786, valid_mape 363.310638, valid_acc 0.548767, test_loss 0.003934, ic 0.007976, icir 0.174476, ric -0.013677, ricir -0.145286, prec@10 0.495455, prec@30 0.496006, test_mae 0.020654, test_rmse 0.052901, test_mape 260.180176, test_acc 0.482928
Epoch 33, train_loss 0.001684, train_ic -0.005455, train_icir -0.064818, train_ric 0.021119, train_ricir 0.191380, train_mae 0.019092, train_rmse 0.027688, train_mape 394.562744, train_acc 0.457259, valid_loss 0.0049079780, valid_ic 0.000114, valid_icir 0.001838, valid_ric 0.014951, valid_ricir 0.189629, valid_mae 0.030175, valid_rmse 0.069182, valid_mape 532.273743, valid_acc 0.431377, test_loss 0.004006, ic 0.002514, icir 0.054855, ric 0.009661, ricir 0.104396, prec@10 0.484298, prec@30 0.493388, test_mae 0.026256, test_rmse 0.054701, test_mape 413.542358, test_acc 0.360254
Epoch 34, train_loss 0.001688, train_ic 0.031206, train_icir 0.430751, train_ric 0.018919, train_ricir 0.168539, train_mae 0.042602, train_rmse 0.049059, train_mape 384.299866, train_acc 0.063212, valid_loss 0.0050933616, valid_ic 0.003498, valid_icir 0.057457, valid_ric 0.003684, valid_ricir 0.051885, valid_mae 0.036714, valid_rmse 0.071305, valid_mape 685.787476, valid_acc 0.368754, test_loss 0.004118, ic 0.006952, icir 0.163458, ric 0.011249, ricir 0.140184, prec@10 0.467355, prec@30 0.468871, test_mae 0.034490, test_rmse 0.058182, test_mape 583.228149, test_acc 0.301779
Epoch 35, train_loss 0.001678, train_ic 0.028271, train_icir 0.400152, train_ric 0.009329, train_ricir 0.086537, train_mae 0.026865, train_rmse 0.054408, train_mape 816.265198, train_acc 0.390238, valid_loss 0.0047209237, valid_ic 0.002482, valid_icir 0.042688, valid_ric -0.002492, valid_ricir -0.034239, valid_mae 0.027109, valid_rmse 0.066373, valid_mape 546.611389, valid_acc 0.595243, test_loss 0.003855, ic 0.005240, icir 0.125538, ric 0.002851, ricir 0.031381, prec@10 0.455785, prec@30 0.457438, test_mae 0.022272, test_rmse 0.051454, test_mape 436.518524, test_acc 0.661828
Epoch 36, train_loss 0.001668, train_ic 0.041213, train_icir 0.588793, train_ric 0.011282, train_ricir 0.116120, train_mae 0.021857, train_rmse 0.031296, train_mape 122.089211, train_acc 0.731190, valid_loss 0.0044105623, valid_ic 0.003104, valid_icir 0.049310, valid_ric -0.001461, valid_ricir -0.024491, valid_mae 0.025003, valid_rmse 0.065459, valid_mape 368.584229, valid_acc 0.374209, test_loss 0.003500, ic 0.006053, icir 0.132845, ric 0.001156, ricir 0.014551, prec@10 0.494628, prec@30 0.471763, test_mae 0.021036, test_rmse 0.050628, test_mape 264.196625, test_acc 0.308935
Epoch 37, train_loss 0.001643, train_ic 0.021031, train_icir 0.232169, train_ric 0.041904, train_ricir 0.324473, train_mae 0.017035, train_rmse 0.026085, train_mape 262.976654, train_acc 0.691489, valid_loss 0.0046402312, valid_ic 0.003158, valid_icir 0.047133, valid_ric 0.029351, valid_ricir 0.287634, valid_mae 0.032124, valid_rmse 0.067977, valid_mape 572.638489, valid_acc 0.365045, test_loss 0.003719, ic 0.007401, icir 0.144199, ric 0.028021, ricir 0.260707, prec@10 0.461570, prec@30 0.457851, test_mae 0.028632, test_rmse 0.053918, test_mape 459.365326, test_acc 0.299530
Epoch 38, train_loss 0.001608, train_ic 0.023626, train_icir 0.258115, train_ric 0.035330, train_ricir 0.274623, train_mae 0.023896, train_rmse 0.027952, train_mape 367.813477, train_acc 0.402030, valid_loss 0.0046513751, valid_ic 0.003912, valid_icir 0.050893, valid_ric 0.030735, valid_ricir 0.240076, valid_mae 0.029388, valid_rmse 0.065274, valid_mape 590.140625, valid_acc 0.593716, test_loss 0.003830, ic 0.009609, icir 0.158994, ric 0.044122, ricir 0.321950, prec@10 0.485537, prec@30 0.492837, test_mae 0.024570, test_rmse 0.050621, test_mape 476.307434, test_acc 0.663259
Epoch 39, train_loss 0.001623, train_ic 0.001642, train_icir 0.027256, train_ric 0.021208, train_ricir 0.210483, train_mae 0.016446, train_rmse 0.024185, train_mape 167.794662, train_acc 0.620866, valid_loss 0.0043136320, valid_ic 0.000515, valid_icir 0.009574, valid_ric 0.012025, valid_ricir 0.133943, valid_mae 0.024041, valid_rmse 0.063490, valid_mape 436.006866, valid_acc 0.601353, test_loss 0.003479, ic 0.003110, icir 0.080081, ric 0.008922, ricir 0.082781, prec@10 0.450826, prec@30 0.448209, test_mae 0.019662, test_rmse 0.048716, test_mape 336.600433, test_acc 0.663259
Epoch 40, train_loss 0.001589, train_ic 0.020924, train_icir 0.217557, train_ric 0.030685, train_ricir 0.247985, train_mae 0.019806, train_rmse 0.028377, train_mape 493.498474, train_acc 0.547585, valid_loss 0.0047840330, valid_ic 0.003956, valid_icir 0.051085, valid_ric 0.027265, valid_ricir 0.223837, valid_mae 0.036139, valid_rmse 0.069093, valid_mape 698.538086, valid_acc 0.366572, test_loss 0.003871, ic 0.011265, icir 0.171170, ric 0.042007, ricir 0.294737, prec@10 0.497934, prec@30 0.493939, test_mae 0.031720, test_rmse 0.054770, test_mape 546.216797, test_acc 0.305868
Epoch 41, train_loss 0.001606, train_ic 0.023044, train_icir 0.266764, train_ric 0.030892, train_ricir 0.256504, train_mae 0.040662, train_rmse 0.050698, train_mape 108.734360, train_acc 0.674612, valid_loss 0.0041918519, valid_ic 0.003309, valid_icir 0.046501, valid_ric 0.021646, valid_ricir 0.211675, valid_mae 0.024354, valid_rmse 0.063115, valid_mape 362.947571, valid_acc 0.459743, test_loss 0.003347, ic 0.008344, icir 0.151171, ric 0.028486, ricir 0.283938, prec@10 0.555372, prec@30 0.567080, test_mae 0.019819, test_rmse 0.048384, test_mape 257.895813, test_acc 0.478430
