Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 32, train_loss 0.001257, train_ic 0.025713, train_icir 0.340870, train_ric -0.001513, train_ricir -0.014029, train_mae 0.015851, train_rmse 0.027675, train_mape 146.036484, train_acc 0.478801, valid_loss 0.0014531500, valid_ic 0.014303, valid_icir 0.220633, valid_ric -0.006217, valid_ricir -0.043748, valid_mae 0.031901, valid_rmse 0.039648, valid_mape 134.432541, valid_acc 0.359140, test_loss 0.001208, ic 0.007445, icir 0.214515, ric 0.000875, ricir 0.009504, prec@10 0.525103, prec@30 0.528121, test_mae 0.017462, test_rmse 0.035704, test_mape 452.833282, test_acc 0.491004
Epoch 33, train_loss 0.001219, train_ic 0.030949, train_icir 0.357694, train_ric 0.009253, train_ricir 0.090398, train_mae 0.014286, train_rmse 0.020422, train_mape 186.462631, train_acc 0.430998, valid_loss 0.0014841171, valid_ic 0.027798, valid_icir 0.349901, valid_ric 0.025657, valid_ricir 0.203377, valid_mae 0.032243, valid_rmse 0.039457, valid_mape 151.702576, valid_acc 0.361681, test_loss 0.001263, ic 0.010264, icir 0.157954, ric 0.013289, ricir 0.124379, prec@10 0.557613, prec@30 0.545679, test_mae 0.018402, test_rmse 0.036319, test_mape 1017.362488, test_acc 0.496228
Epoch 34, train_loss 0.001207, train_ic 0.015651, train_icir 0.270242, train_ric 0.021246, train_ricir 0.312650, train_mae 0.017002, train_rmse 0.022434, train_mape 144.988678, train_acc 0.266464, valid_loss 0.0015278598, valid_ic 0.007334, valid_icir 0.164399, valid_ric 0.011465, valid_ricir 0.133371, valid_mae 0.035802, valid_rmse 0.042851, valid_mape 158.218887, valid_acc 0.132356, test_loss 0.001224, ic -0.001304, icir -0.040735, ric 0.009913, ricir 0.200569, prec@10 0.547325, prec@30 0.558711, test_mae 0.018582, test_rmse 0.035862, test_mape 1315.823486, test_acc 0.463146
Epoch 35, train_loss 0.001220, train_ic 0.026416, train_icir 0.324089, train_ric 0.021837, train_ricir 0.215232, train_mae 0.019485, train_rmse 0.028881, train_mape 175.276215, train_acc 0.288538, valid_loss 0.0014686610, valid_ic 0.023402, valid_icir 0.333418, valid_ric 0.031048, valid_ricir 0.245857, valid_mae 0.030453, valid_rmse 0.037682, valid_mape 139.384094, valid_acc 0.508309, test_loss 0.001217, ic 0.006824, icir 0.126273, ric 0.019839, ricir 0.189686, prec@10 0.518107, prec@30 0.528807, test_mae 0.017641, test_rmse 0.035697, test_mape 380.635895, test_acc 0.494099
Epoch 36, train_loss 0.001204, train_ic 0.021822, train_icir 0.338702, train_ric 0.031998, train_ricir 0.403987, train_mae 0.014091, train_rmse 0.023711, train_mape 141.407593, train_acc 0.669093, valid_loss 0.0014546791, valid_ic 0.017045, valid_icir 0.343076, valid_ric 0.035070, valid_ricir 0.336836, valid_mae 0.033262, valid_rmse 0.040153, valid_mape 142.891617, valid_acc 0.258456, test_loss 0.001170, ic 0.003479, icir 0.077826, ric 0.028064, ricir 0.322754, prec@10 0.520988, prec@30 0.512346, test_mae 0.017699, test_rmse 0.035082, test_mape 1427.350342, test_acc 0.483459
Epoch 37, train_loss 0.001191, train_ic 0.028978, train_icir 0.466792, train_ric 0.006409, train_ricir 0.092348, train_mae 0.023629, train_rmse 0.037299, train_mape 1431.137451, train_acc 0.401196, valid_loss 0.0014363170, valid_ic 0.011849, valid_icir 0.218617, valid_ric -0.000749, valid_ricir -0.008249, valid_mae 0.032407, valid_rmse 0.040016, valid_mape 136.653870, valid_acc 0.300098, test_loss 0.001159, ic 0.005344, icir 0.167425, ric 0.000420, ricir 0.007609, prec@10 0.527572, prec@30 0.517421, test_mae 0.017519, test_rmse 0.034725, test_mape 986.285767, test_acc 0.480751
Epoch 38, train_loss 0.001186, train_ic 0.034934, train_icir 0.439109, train_ric -0.004292, train_ricir -0.044563, train_mae 0.020237, train_rmse 0.031591, train_mape 235.887741, train_acc 0.808302, valid_loss 0.0018690121, valid_ic 0.021505, valid_icir 0.283666, valid_ric 0.011648, valid_ricir 0.084450, valid_mae 0.019072, valid_rmse 0.029198, valid_mape 158.083206, valid_acc 0.878201, test_loss 0.001648, ic 0.005982, icir 0.163623, ric -0.007367, ricir -0.118424, prec@10 0.538272, prec@30 0.532785, test_mae 0.026965, test_rmse 0.040984, test_mape 4637.835449, test_acc 0.503386
Epoch 39, train_loss 0.001181, train_ic 0.013253, train_icir 0.188932, train_ric 0.025802, train_ricir 0.285169, train_mae 0.020585, train_rmse 0.025575, train_mape 9215.010742, train_acc 0.515444, valid_loss 0.0018912775, valid_ic 0.007930, valid_icir 0.106198, valid_ric 0.009224, valid_ricir 0.072678, valid_mae 0.047082, valid_rmse 0.053277, valid_mape 247.050095, valid_acc 0.132747, test_loss 0.001506, ic 0.004038, icir 0.093750, ric 0.021204, ricir 0.341608, prec@10 0.491770, prec@30 0.489986, test_mae 0.026514, test_rmse 0.039662, test_mape 5344.397949, test_acc 0.467982
Epoch 40, train_loss 0.001178, train_ic 0.019775, train_icir 0.304937, train_ric 0.006411, train_ricir 0.086483, train_mae 0.028123, train_rmse 0.033154, train_mape 611.088257, train_acc 0.416435, valid_loss 0.0020945079, valid_ic 0.013031, valid_icir 0.190505, valid_ric 0.004670, valid_ricir 0.045681, valid_mae 0.020078, valid_rmse 0.030350, valid_mape 181.495697, valid_acc 0.844184, test_loss 0.001855, ic 0.001540, icir 0.054836, ric -0.008245, ricir -0.147390, prec@10 0.588066, prec@30 0.567627, test_mae 0.030413, test_rmse 0.043166, test_mape 6124.951660, test_acc 0.491778
Epoch 41, train_loss 0.001158, train_ic 0.012396, train_icir 0.186117, train_ric 0.001359, train_ricir 0.015138, train_mae 0.018617, train_rmse 0.026888, train_mape 144.379028, train_acc 0.679235, valid_loss 0.0015978100, valid_ic 0.002529, valid_icir 0.042430, valid_ric -0.015993, valid_ricir -0.134988, valid_mae 0.036361, valid_rmse 0.043432, valid_mape 168.011795, valid_acc 0.185728, test_loss 0.001202, ic 0.002152, icir 0.052567, ric -0.002881, ricir -0.036156, prec@10 0.531276, prec@30 0.504390, test_mae 0.019234, test_rmse 0.035021, test_mape 1988.657959, test_acc 0.474173
