Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 121, train_loss 0.001047, train_ic 0.042045, train_icir 0.571012, train_ric 0.010030, train_ricir 0.116053, train_mae 0.024786, train_rmse 0.034877, train_mape 135.376083, train_acc 0.748475, valid_loss 0.0014787857, valid_ic 0.029754, valid_icir 0.358082, valid_ric 0.001518, valid_ricir 0.012891, valid_mae 0.024446, valid_rmse 0.032423, valid_mape 121.255600, valid_acc 0.852613, test_loss 0.001105, ic 0.018271, icir 0.447671, ric 0.003572, ricir 0.054371, prec@10 0.542798, prec@30 0.535391, test_mae 0.018912, test_rmse 0.032270, test_mape 2006.132935, test_acc 0.497095
Epoch 122, train_loss 0.001036, train_ic 0.034906, train_icir 0.488847, train_ric 0.024356, train_ricir 0.304632, train_mae 0.018556, train_rmse 0.025290, train_mape 216.063049, train_acc 0.402822, valid_loss 0.0014088547, valid_ic 0.028074, valid_icir 0.402972, valid_ric 0.022228, valid_ricir 0.219885, valid_mae 0.025505, valid_rmse 0.032680, valid_mape 116.102875, valid_acc 0.823645, test_loss 0.001060, ic 0.008085, icir 0.182410, ric 0.009010, ricir 0.141789, prec@10 0.545679, prec@30 0.542661, test_mae 0.018125, test_rmse 0.031980, test_mape 2155.554688, test_acc 0.494965
Early stopping -----
Epoch 123, train_loss 0.001037, train_ic 0.035130, train_icir 0.442044, train_ric 0.016033, train_ricir 0.157694, train_mae 0.029160, train_rmse 0.038602, train_mape 175.305283, train_acc 0.386558, valid_loss 0.0014752094, valid_ic 0.019988, valid_icir 0.248771, valid_ric -0.001279, valid_ricir -0.009944, valid_mae 0.025694, valid_rmse 0.033566, valid_mape 117.527565, valid_acc 0.824623, test_loss 0.001081, ic 0.014788, icir 0.333639, ric 0.008607, ricir 0.115429, prec@10 0.511523, prec@30 0.515364, test_mae 0.018382, test_rmse 0.032161, test_mape 1788.788818, test_acc 0.492835
Epoch 124, train_loss 0.001033, train_ic 0.034624, train_icir 0.490860, train_ric 0.025080, train_ricir 0.287174, train_mae 0.015032, train_rmse 0.022894, train_mape 120.250237, train_acc 0.589686, valid_loss 0.0013725685, valid_ic 0.022557, valid_icir 0.349188, valid_ric 0.009468, valid_ricir 0.096228, valid_mae 0.031748, valid_rmse 0.038537, valid_mape 127.829453, valid_acc 0.429830, test_loss 0.000993, ic 0.011904, icir 0.294518, ric 0.009803, ricir 0.111265, prec@10 0.521811, prec@30 0.504938, test_mae 0.017425, test_rmse 0.031314, test_mape 1024.426025, test_acc 0.467661
Epoch 125, train_loss 0.001032, train_ic 0.019525, train_icir 0.225689, train_ric 0.016651, train_ricir 0.149214, train_mae 0.017307, train_rmse 0.023755, train_mape 143.152695, train_acc 0.387020, valid_loss 0.0014044582, valid_ic 0.006990, valid_icir 0.088800, valid_ric -0.004949, valid_ricir -0.039181, valid_mae 0.033889, valid_rmse 0.040834, valid_mape 139.681168, valid_acc 0.273243, test_loss 0.001001, ic 0.006622, icir 0.115041, ric 0.006233, ricir 0.052808, prec@10 0.521811, prec@30 0.505487, test_mae 0.017779, test_rmse 0.031137, test_mape 729.665894, test_acc 0.468823
Epoch 126, train_loss 0.001027, train_ic 0.041063, train_icir 0.490036, train_ric -0.002008, train_ricir -0.020067, train_mae 0.048193, train_rmse 0.059622, train_mape 122.500122, train_acc 0.461483, valid_loss 0.0013873995, valid_ic 0.026245, valid_icir 0.258476, valid_ric -0.006589, valid_ricir -0.046077, valid_mae 0.033151, valid_rmse 0.040014, valid_mape 141.244522, valid_acc 0.284400, test_loss 0.001010, ic 0.017195, icir 0.336041, ric -0.013257, ricir -0.133210, prec@10 0.522634, prec@30 0.518107, test_mae 0.017869, test_rmse 0.031116, test_mape 693.477112, test_acc 0.471727
Epoch 127, train_loss 0.001033, train_ic 0.045165, train_icir 0.552352, train_ric 0.008683, train_ricir 0.085248, train_mae 0.023249, train_rmse 0.032341, train_mape 150.583694, train_acc 0.460924, valid_loss 0.0013516285, valid_ic 0.033371, valid_icir 0.363069, valid_ric 0.005455, valid_ricir 0.040206, valid_mae 0.029065, valid_rmse 0.036077, valid_mape 115.904114, valid_acc 0.622431, test_loss 0.000983, ic 0.018917, icir 0.439949, ric -0.002226, ricir -0.026990, prec@10 0.542387, prec@30 0.531413, test_mae 0.016865, test_rmse 0.030510, test_mape 928.163147, test_acc 0.470759
Epoch 128, train_loss 0.001029, train_ic 0.033074, train_icir 0.477994, train_ric 0.020865, train_ricir 0.295132, train_mae 0.018969, train_rmse 0.028505, train_mape 195.085678, train_acc 0.667953, valid_loss 0.0016079807, valid_ic 0.028136, valid_icir 0.382066, valid_ric 0.019323, valid_ricir 0.212720, valid_mae 0.020633, valid_rmse 0.029057, valid_mape 135.796722, valid_acc 0.874927, test_loss 0.001311, ic 0.005189, icir 0.099505, ric 0.008623, ricir 0.157598, prec@10 0.541564, prec@30 0.524143, test_mae 0.022998, test_rmse 0.035693, test_mape 3488.555420, test_acc 0.500194
Epoch 129, train_loss 0.001033, train_ic 0.047732, train_icir 0.651426, train_ric 0.015760, train_ricir 0.218834, train_mae 0.029115, train_rmse 0.040028, train_mape 134.959839, train_acc 0.524042, valid_loss 0.0013558520, valid_ic 0.038288, valid_icir 0.488226, valid_ric 0.017574, valid_ricir 0.176041, valid_mae 0.030157, valid_rmse 0.036709, valid_mape 119.023552, valid_acc 0.483461, test_loss 0.000979, ic 0.016371, icir 0.319141, ric 0.005815, ricir 0.102079, prec@10 0.573251, prec@30 0.552401, test_mae 0.016607, test_rmse 0.030539, test_mape 296.928497, test_acc 0.494384
Epoch 130, train_loss 0.001033, train_ic 0.045428, train_icir 0.677529, train_ric 0.019280, train_ricir 0.259052, train_mae 0.022618, train_rmse 0.030046, train_mape 107.331398, train_acc 0.803199, valid_loss 0.0014418752, valid_ic 0.031587, valid_icir 0.428206, valid_ric 0.014051, valid_ricir 0.134733, valid_mae 0.023913, valid_rmse 0.031772, valid_mape 114.057541, valid_acc 0.870229, test_loss 0.001076, ic 0.014435, icir 0.382693, ric 0.005017, ricir 0.093526, prec@10 0.530041, prec@30 0.523457, test_mae 0.018649, test_rmse 0.032134, test_mape 1825.651978, test_acc 0.498451
Epoch 131, train_loss 0.001016, train_ic 0.034894, train_icir 0.410625, train_ric 0.001273, train_ricir 0.011762, train_mae 0.026111, train_rmse 0.032870, train_mape 271.475922, train_acc 0.264989, valid_loss 0.0015560857, valid_ic 0.024260, valid_icir 0.253495, valid_ric -0.005105, valid_ricir -0.034999, valid_mae 0.041893, valid_rmse 0.047926, valid_mape 206.950241, valid_acc 0.171658, test_loss 0.001169, ic 0.015930, icir 0.321103, ric -0.003191, ricir -0.032926, prec@10 0.548971, prec@30 0.530727, test_mae 0.022272, test_rmse 0.033125, test_mape 3106.983154, test_acc 0.472502
Epoch 132, train_loss 0.001028, train_ic 0.031464, train_icir 0.463828, train_ric 0.024635, train_ricir 0.284667, train_mae 0.012855, train_rmse 0.019622, train_mape 168.476181, train_acc 0.688956, valid_loss 0.0014180275, valid_ic 0.019741, valid_icir 0.314539, valid_ric 0.007918, valid_ricir 0.076901, valid_mae 0.037505, valid_rmse 0.043702, valid_mape 165.499359, valid_acc 0.185359, test_loss 0.001019, ic 0.012591, icir 0.318607, ric 0.019504, ricir 0.291421, prec@10 0.528807, prec@30 0.532099, test_mae 0.018673, test_rmse 0.031200, test_mape 2263.006592, test_acc 0.475794
Epoch 133, train_loss 0.001038, train_ic 0.032600, train_icir 0.489710, train_ric 0.004647, train_ricir 0.059055, train_mae 0.019442, train_rmse 0.026062, train_mape 341.426849, train_acc 0.366048, valid_loss 0.0014936807, valid_ic 0.021997, valid_icir 0.298806, valid_ric 0.002463, valid_ricir 0.022428, valid_mae 0.023637, valid_rmse 0.031364, valid_mape 119.665634, valid_acc 0.871795, test_loss 0.001142, ic 0.010226, icir 0.284440, ric 0.003807, ricir 0.067507, prec@10 0.522634, prec@30 0.537860, test_mae 0.019930, test_rmse 0.033218, test_mape 2560.144531, test_acc 0.500775
Epoch 134, train_loss 0.001018, train_ic 0.038080, train_icir 0.504350, train_ric 0.021362, train_ricir 0.205443, train_mae 0.012647, train_rmse 0.020798, train_mape 136.791199, train_acc 0.444638, valid_loss 0.0013703904, valid_ic 0.023202, valid_icir 0.336151, valid_ric 0.001469, valid_ricir 0.011875, valid_mae 0.030159, valid_rmse 0.037274, valid_mape 119.357323, valid_acc 0.472500, test_loss 0.000989, ic 0.015996, icir 0.379491, ric 0.009589, ricir 0.107706, prec@10 0.532510, prec@30 0.528121, test_mae 0.016911, test_rmse 0.030792, test_mape 219.321136, test_acc 0.489156
Epoch 135, train_loss 0.001024, train_ic 0.045515, train_icir 0.558064, train_ric 0.015291, train_ricir 0.172774, train_mae 0.054743, train_rmse 0.062943, train_mape 108.270226, train_acc 0.749713, valid_loss 0.0013791225, valid_ic 0.035550, valid_icir 0.396867, valid_ric 0.020800, valid_ricir 0.174771, valid_mae 0.026843, valid_rmse 0.033784, valid_mape 114.577843, valid_acc 0.803680, test_loss 0.001028, ic 0.013341, icir 0.231147, ric 0.007580, ricir 0.110766, prec@10 0.566255, prec@30 0.555418, test_mae 0.017280, test_rmse 0.031069, test_mape 989.155762, test_acc 0.494578
Epoch 136, train_loss 0.001024, train_ic 0.029717, train_icir 0.447521, train_ric 0.028368, train_ricir 0.354412, train_mae 0.012921, train_rmse 0.020318, train_mape 141.923553, train_acc 0.489753, valid_loss 0.0014067050, valid_ic 0.017813, valid_icir 0.290263, valid_ric 0.011051, valid_ricir 0.113665, valid_mae 0.030441, valid_rmse 0.037328, valid_mape 118.306755, valid_acc 0.442944, test_loss 0.001005, ic 0.010619, icir 0.284895, ric 0.021579, ricir 0.359358, prec@10 0.537449, prec@30 0.524143, test_mae 0.016689, test_rmse 0.030635, test_mape 366.866241, test_acc 0.499419
Epoch 137, train_loss 0.001017, train_ic 0.028665, train_icir 0.466190, train_ric 0.028050, train_ricir 0.432975, train_mae 0.038514, train_rmse 0.045693, train_mape 107.195900, train_acc 0.743366, valid_loss 0.0015202203, valid_ic 0.020830, valid_icir 0.337868, valid_ric 0.012810, valid_ricir 0.163171, valid_mae 0.023815, valid_rmse 0.031430, valid_mape 124.677254, valid_acc 0.859855, test_loss 0.001181, ic 0.008987, icir 0.181296, ric 0.018068, ricir 0.354302, prec@10 0.592181, prec@30 0.575995, test_mae 0.020373, test_rmse 0.033813, test_mape 2932.342041, test_acc 0.500581
Epoch 138, train_loss 0.001037, train_ic 0.034199, train_icir 0.487768, train_ric 0.027372, train_ricir 0.293558, train_mae 0.016432, train_rmse 0.025855, train_mape 152.553513, train_acc 0.535282, valid_loss 0.0013984236, valid_ic 0.021933, valid_icir 0.330380, valid_ric 0.009375, valid_ricir 0.083336, valid_mae 0.030991, valid_rmse 0.037909, valid_mape 123.230133, valid_acc 0.395576, test_loss 0.000987, ic 0.013582, icir 0.318574, ric 0.021504, ricir 0.315205, prec@10 0.529630, prec@30 0.528532, test_mae 0.016847, test_rmse 0.030627, test_mape 356.028595, test_acc 0.498644
Epoch 139, train_loss 0.001026, train_ic 0.032928, train_icir 0.519155, train_ric 0.016323, train_ricir 0.228804, train_mae 0.012576, train_rmse 0.018258, train_mape 127.282799, train_acc 0.549639, valid_loss 0.0013914717, valid_ic 0.023574, valid_icir 0.340646, valid_ric 0.010421, valid_ricir 0.109750, valid_mae 0.028787, valid_rmse 0.035583, valid_mape 114.881851, valid_acc 0.599139, test_loss 0.001003, ic 0.011908, icir 0.289772, ric 0.014432, ricir 0.298562, prec@10 0.553086, prec@30 0.535528, test_mae 0.016760, test_rmse 0.030484, test_mape 914.260742, test_acc 0.514717
Epoch 140, train_loss 0.001025, train_ic 0.034036, train_icir 0.367393, train_ric 0.007621, train_ricir 0.062142, train_mae 0.018995, train_rmse 0.027619, train_mape 150.953323, train_acc 0.419529, valid_loss 0.0013723046, valid_ic 0.016314, valid_icir 0.175899, valid_ric -0.013512, valid_ricir -0.093382, valid_mae 0.031104, valid_rmse 0.038374, valid_mape 124.054108, valid_acc 0.440791, test_loss 0.000988, ic 0.013185, icir 0.205594, ric -0.006016, ricir -0.043594, prec@10 0.534568, prec@30 0.516735, test_mae 0.017551, test_rmse 0.030821, test_mape 333.799683, test_acc 0.465531
Epoch 141, train_loss 0.001024, train_ic 0.034926, train_icir 0.571508, train_ric 0.016562, train_ricir 0.243333, train_mae 0.014316, train_rmse 0.020776, train_mape 140.313141, train_acc 0.657867, valid_loss 0.0014863313, valid_ic 0.023487, valid_icir 0.355867, valid_ric 0.008228, valid_ricir 0.086431, valid_mae 0.024190, valid_rmse 0.032118, valid_mape 117.454926, valid_acc 0.862204, test_loss 0.001106, ic 0.010824, icir 0.267781, ric 0.006013, ricir 0.129825, prec@10 0.520576, prec@30 0.520439, test_mae 0.018912, test_rmse 0.032567, test_mape 2067.337402, test_acc 0.498838
Epoch 142, train_loss 0.001025, train_ic 0.044873, train_icir 0.625153, train_ric 0.016151, train_ricir 0.203827, train_mae 0.021832, train_rmse 0.031855, train_mape 1838.583130, train_acc 0.392441, valid_loss 0.0014116221, valid_ic 0.031746, valid_icir 0.432877, valid_ric 0.005868, valid_ricir 0.058813, valid_mae 0.025078, valid_rmse 0.032679, valid_mape 112.774872, valid_acc 0.849090, test_loss 0.001049, ic 0.018130, icir 0.477328, ric 0.000661, ricir 0.009869, prec@10 0.548971, prec@30 0.538820, test_mae 0.018617, test_rmse 0.031826, test_mape 2212.209961, test_acc 0.494965
Epoch 143, train_loss 0.001021, train_ic 0.037331, train_icir 0.447924, train_ric -0.003253, train_ricir -0.032321, train_mae 0.033946, train_rmse 0.044330, train_mape 161.784882, train_acc 0.433705, valid_loss 0.0013835294, valid_ic 0.024830, valid_icir 0.256506, valid_ric -0.007495, valid_ricir -0.055130, valid_mae 0.029459, valid_rmse 0.037165, valid_mape 122.049561, valid_acc 0.569192, test_loss 0.001004, ic 0.014039, icir 0.254797, ric -0.013242, ricir -0.124864, prec@10 0.538683, prec@30 0.524417, test_mae 0.017692, test_rmse 0.030947, test_mape 1385.677856, test_acc 0.474438
Epoch 144, train_loss 0.001019, train_ic 0.025056, train_icir 0.386482, train_ric 0.014113, train_ricir 0.175709, train_mae 0.022553, train_rmse 0.032021, train_mape 125.669327, train_acc 0.511917, valid_loss 0.0013756944, valid_ic 0.013743, valid_icir 0.209877, valid_ric -0.000583, valid_ricir -0.005755, valid_mae 0.031818, valid_rmse 0.038535, valid_mape 123.512100, valid_acc 0.323155, test_loss 0.000976, ic 0.007181, icir 0.183085, ric 0.005766, ricir 0.088961, prec@10 0.528807, prec@30 0.513443, test_mae 0.016668, test_rmse 0.030267, test_mape 738.805176, test_acc 0.497095
Epoch 145, train_loss 0.001026, train_ic 0.041592, train_icir 0.690720, train_ric 0.025426, train_ricir 0.429202, train_mae 0.017185, train_rmse 0.023203, train_mape 173.156845, train_acc 0.401191, valid_loss 0.0014040478, valid_ic 0.028755, valid_icir 0.461790, valid_ric 0.016004, valid_ricir 0.187887, valid_mae 0.035124, valid_rmse 0.041397, valid_mape 148.257919, valid_acc 0.195929, test_loss 0.000992, ic 0.014790, icir 0.384344, ric 0.011655, ricir 0.286770, prec@10 0.546091, prec@30 0.537311, test_mae 0.017846, test_rmse 0.030675, test_mape 1750.480713, test_acc 0.482184
Epoch 146, train_loss 0.001028, train_ic 0.039827, train_icir 0.551799, train_ric 0.012664, train_ricir 0.144581, train_mae 0.025385, train_rmse 0.036077, train_mape 138.615234, train_acc 0.443206, valid_loss 0.0013906649, valid_ic 0.023631, valid_icir 0.320178, valid_ric -0.000381, valid_ricir -0.003326, valid_mae 0.028609, valid_rmse 0.036055, valid_mape 112.478325, valid_acc 0.666862, test_loss 0.000986, ic 0.014204, icir 0.360061, ric 0.000789, ricir 0.011707, prec@10 0.537037, prec@30 0.519479, test_mae 0.016892, test_rmse 0.030489, test_mape 832.827881, test_acc 0.479667
Epoch 147, train_loss 0.001029, train_ic 0.032496, train_icir 0.437728, train_ric 0.021048, train_ricir 0.212551, train_mae 0.020296, train_rmse 0.028523, train_mape 125.282333, train_acc 0.564369, valid_loss 0.0013989100, valid_ic 0.018569, valid_icir 0.267224, valid_ric 0.001195, valid_ricir 0.009900, valid_mae 0.029215, valid_rmse 0.036226, valid_mape 117.010323, valid_acc 0.529066, test_loss 0.001010, ic 0.014764, icir 0.311207, ric 0.016032, ricir 0.213019, prec@10 0.546091, prec@30 0.529081, test_mae 0.017117, test_rmse 0.030948, test_mape 750.401001, test_acc 0.492641
Epoch 148, train_loss 0.001015, train_ic 0.034528, train_icir 0.455811, train_ric 0.027077, train_ricir 0.266663, train_mae 0.062203, train_rmse 0.074862, train_mape 117.413734, train_acc 0.409872, valid_loss 0.0014310361, valid_ic 0.017371, valid_icir 0.251259, valid_ric 0.004241, valid_ricir 0.034965, valid_mae 0.036916, valid_rmse 0.043231, valid_mape 161.446457, valid_acc 0.180074, test_loss 0.001010, ic 0.012584, icir 0.298625, ric 0.015071, ricir 0.185689, prec@10 0.547325, prec@30 0.521399, test_mae 0.018612, test_rmse 0.030940, test_mape 2243.793945, test_acc 0.476956
Epoch 149, train_loss 0.001023, train_ic 0.039494, train_icir 0.577550, train_ric 0.013326, train_ricir 0.175849, train_mae 0.017538, train_rmse 0.024276, train_mape 118.338608, train_acc 0.673960, valid_loss 0.0013514949, valid_ic 0.026756, valid_icir 0.375886, valid_ric 0.003907, valid_ricir 0.039817, valid_mae 0.032634, valid_rmse 0.039215, valid_mape 130.292099, valid_acc 0.261695, test_loss 0.000972, ic 0.015165, icir 0.397889, ric 0.002510, ricir 0.042162, prec@10 0.543621, prec@30 0.538820, test_mae 0.016953, test_rmse 0.030218, test_mape 713.221619, test_acc 0.485670
Epoch 150, train_loss 0.001019, train_ic 0.039541, train_icir 0.583582, train_ric 0.009006, train_ricir 0.124581, train_mae 0.023127, train_rmse 0.030674, train_mape 111.506699, train_acc 0.462451, valid_loss 0.0013906514, valid_ic 0.027225, valid_icir 0.384613, valid_ric 0.004632, valid_ricir 0.047748, valid_mae 0.028141, valid_rmse 0.035073, valid_mape 114.781799, valid_acc 0.689763, test_loss 0.001023, ic 0.015144, icir 0.314420, ric 0.003067, ricir 0.058397, prec@10 0.567078, prec@30 0.543210, test_mae 0.017214, test_rmse 0.030925, test_mape 959.494873, test_acc 0.493803
Epoch 151, train_loss 0.001020, train_ic 0.041333, train_icir 0.603093, train_ric 0.009315, train_ricir 0.126768, train_mae 0.017073, train_rmse 0.025810, train_mape 213.237885, train_acc 0.597489, valid_loss 0.0014354091, valid_ic 0.031958, valid_icir 0.387855, valid_ric 0.014703, valid_ricir 0.134772, valid_mae 0.038692, valid_rmse 0.044447, valid_mape 178.617203, valid_acc 0.165982, test_loss 0.001046, ic 0.013409, icir 0.362166, ric 0.002501, ricir 0.054980, prec@10 0.544856, prec@30 0.538272, test_mae 0.019617, test_rmse 0.031131, test_mape 2289.540771, test_acc 0.467854
Epoch 152, train_loss 0.001013, train_ic 0.038243, train_icir 0.469208, train_ric 0.021009, train_ricir 0.191564, train_mae 0.015081, train_rmse 0.022208, train_mape 132.888062, train_acc 0.474965, valid_loss 0.0013743064, valid_ic 0.021800, valid_icir 0.262427, valid_ric -0.000078, valid_ricir -0.000590, valid_mae 0.031339, valid_rmse 0.038261, valid_mape 122.559654, valid_acc 0.376003, test_loss 0.000969, ic 0.015881, icir 0.309471, ric 0.007508, ricir 0.069405, prec@10 0.540741, prec@30 0.518930, test_mae 0.017040, test_rmse 0.030376, test_mape 189.268051, test_acc 0.477537
Epoch 153, train_loss 0.001017, train_ic 0.035065, train_icir 0.472712, train_ric 0.008857, train_ricir 0.099582, train_mae 0.022711, train_rmse 0.028764, train_mape 104.855743, train_acc 0.622069, valid_loss 0.0013923986, valid_ic 0.023965, valid_icir 0.318916, valid_ric 0.003804, valid_ricir 0.032759, valid_mae 0.030668, valid_rmse 0.037453, valid_mape 122.098183, valid_acc 0.425524, test_loss 0.001014, ic 0.012342, icir 0.291699, ric 0.003609, ricir 0.054084, prec@10 0.576132, prec@30 0.551029, test_mae 0.017131, test_rmse 0.030780, test_mape 347.825165, test_acc 0.484121
Epoch 154, train_loss 0.001018, train_ic 0.041944, train_icir 0.579778, train_ric 0.022291, train_ricir 0.248813, train_mae 0.015372, train_rmse 0.023000, train_mape 154.289597, train_acc 0.496035, valid_loss 0.0013935151, valid_ic 0.027142, valid_icir 0.402361, valid_ric 0.003826, valid_ricir 0.036028, valid_mae 0.027536, valid_rmse 0.034879, valid_mape 110.753181, valid_acc 0.781758, test_loss 0.001011, ic 0.015443, icir 0.382255, ric 0.007073, ricir 0.094728, prec@10 0.527160, prec@30 0.520713, test_mae 0.017205, test_rmse 0.031000, test_mape 1175.686157, test_acc 0.490124
Epoch 155, train_loss 0.001027, train_ic 0.038506, train_icir 0.519572, train_ric 0.005039, train_ricir 0.057523, train_mae 0.020537, train_rmse 0.030944, train_mape 145.343094, train_acc 0.795409, valid_loss 0.0015275990, valid_ic 0.024241, valid_icir 0.319379, valid_ric -0.003525, valid_ricir -0.032550, valid_mae 0.022860, valid_rmse 0.031036, valid_mape 117.633781, valid_acc 0.863574, test_loss 0.001151, ic 0.012557, icir 0.300644, ric -0.004522, ricir -0.055627, prec@10 0.530864, prec@30 0.525240, test_mae 0.020564, test_rmse 0.033082, test_mape 3314.192627, test_acc 0.498257
Epoch 156, train_loss 0.001015, train_ic 0.037922, train_icir 0.510178, train_ric 0.039973, train_ricir 0.476698, train_mae 0.026241, train_rmse 0.034037, train_mape 207.014679, train_acc 0.285136, valid_loss 0.0014598420, valid_ic 0.028844, valid_icir 0.355505, valid_ric 0.026148, valid_ricir 0.226565, valid_mae 0.037811, valid_rmse 0.043506, valid_mape 165.133575, valid_acc 0.160305, test_loss 0.001019, ic 0.011699, icir 0.200180, ric 0.024093, ricir 0.329224, prec@10 0.517695, prec@30 0.512209, test_mae 0.018783, test_rmse 0.030929, test_mape 2410.529785, test_acc 0.477343
Epoch 157, train_loss 0.001013, train_ic 0.041062, train_icir 0.590944, train_ric 0.006653, train_ricir 0.087462, train_mae 0.017309, train_rmse 0.023183, train_mape 170.308105, train_acc 0.246184, valid_loss 0.0013815177, valid_ic 0.028221, valid_icir 0.356064, valid_ric 0.007634, valid_ricir 0.070018, valid_mae 0.027304, valid_rmse 0.034518, valid_mape 111.042038, valid_acc 0.800157, test_loss 0.001017, ic 0.011416, icir 0.288940, ric -0.004663, ricir -0.097751, prec@10 0.575309, prec@30 0.552675, test_mae 0.017091, test_rmse 0.031245, test_mape 1130.698486, test_acc 0.491092
Epoch 158, train_loss 0.001008, train_ic 0.039511, train_icir 0.488768, train_ric 0.011405, train_ricir 0.107752, train_mae 0.034490, train_rmse 0.041703, train_mape 3050.674072, train_acc 0.204993, valid_loss 0.0014016535, valid_ic 0.024009, valid_icir 0.297728, valid_ric -0.007140, valid_ricir -0.056301, valid_mae 0.034984, valid_rmse 0.041726, valid_mape 149.047134, valid_acc 0.224702, test_loss 0.000991, ic 0.015875, icir 0.342814, ric -0.004023, ricir -0.042272, prec@10 0.535391, prec@30 0.520576, test_mae 0.018165, test_rmse 0.030944, test_mape 1650.666626, test_acc 0.475600
Epoch 159, train_loss 0.001010, train_ic 0.036158, train_icir 0.501652, train_ric 0.010737, train_ricir 0.130620, train_mae 0.016894, train_rmse 0.024690, train_mape 118.685493, train_acc 0.557070, valid_loss 0.0013687456, valid_ic 0.022747, valid_icir 0.311612, valid_ric 0.002290, valid_ricir 0.022862, valid_mae 0.029720, valid_rmse 0.036593, valid_mape 113.322243, valid_acc 0.533372, test_loss 0.000979, ic 0.011383, icir 0.274079, ric -0.000370, ricir -0.004946, prec@10 0.569136, prec@30 0.537586, test_mae 0.016835, test_rmse 0.030235, test_mape 636.470581, test_acc 0.475213
Epoch 160, train_loss 0.001016, train_ic 0.049873, train_icir 0.695912, train_ric 0.015014, train_ricir 0.195831, train_mae 0.018488, train_rmse 0.024153, train_mape 181.664368, train_acc 0.318750, valid_loss 0.0013842072, valid_ic 0.036738, valid_icir 0.446135, valid_ric 0.010273, valid_ricir 0.096822, valid_mae 0.035311, valid_rmse 0.041446, valid_mape 151.278275, valid_acc 0.200822, test_loss 0.000985, ic 0.023132, icir 0.613900, ric 0.003120, ricir 0.071478, prec@10 0.556379, prec@30 0.532099, test_mae 0.017850, test_rmse 0.030350, test_mape 1707.618286, test_acc 0.473664
Epoch 161, train_loss 0.001006, train_ic 0.046710, train_icir 0.671176, train_ric 0.020656, train_ricir 0.283923, train_mae 0.015788, train_rmse 0.022997, train_mape 1943.379639, train_acc 0.473367, valid_loss 0.0014159230, valid_ic 0.033777, valid_icir 0.464884, valid_ric 0.015227, valid_ricir 0.162805, valid_mae 0.024400, valid_rmse 0.031852, valid_mape 113.104630, valid_acc 0.862791, test_loss 0.001070, ic 0.013063, icir 0.286452, ric 0.003524, ricir 0.065175, prec@10 0.547737, prec@30 0.541289, test_mae 0.018613, test_rmse 0.032196, test_mape 2668.945312, test_acc 0.500387
Epoch 162, train_loss 0.001012, train_ic 0.040999, train_icir 0.565901, train_ric 0.010170, train_ricir 0.135369, train_mae 0.018443, train_rmse 0.026897, train_mape 130.364502, train_acc 0.429080, valid_loss 0.0013622185, valid_ic 0.024127, valid_icir 0.338708, valid_ric -0.002582, valid_ricir -0.028992, valid_mae 0.030672, valid_rmse 0.037472, valid_mape 117.174995, valid_acc 0.485614, test_loss 0.000972, ic 0.015482, icir 0.396948, ric -0.004818, ricir -0.080523, prec@10 0.526337, prec@30 0.520850, test_mae 0.016915, test_rmse 0.030571, test_mape 580.177185, test_acc 0.476956
Epoch 163, train_loss 0.001008, train_ic 0.038480, train_icir 0.430391, train_ric 0.016145, train_ricir 0.138512, train_mae 0.021128, train_rmse 0.026915, train_mape 342.632355, train_acc 0.291782, valid_loss 0.0015194882, valid_ic 0.026464, valid_icir 0.286158, valid_ric 0.000631, valid_ricir 0.004533, valid_mae 0.024154, valid_rmse 0.031993, valid_mape 119.027199, valid_acc 0.848307, test_loss 0.001127, ic 0.017536, icir 0.282861, ric 0.004327, ricir 0.035418, prec@10 0.518519, prec@30 0.512209, test_mae 0.020185, test_rmse 0.032792, test_mape 2940.472656, test_acc 0.491479
Epoch 164, train_loss 0.001015, train_ic 0.037393, train_icir 0.476844, train_ric 0.014241, train_ricir 0.146578, train_mae 0.029247, train_rmse 0.040231, train_mape 158.753510, train_acc 0.387825, valid_loss 0.0014417671, valid_ic 0.021676, valid_icir 0.260338, valid_ric -0.003343, valid_ricir -0.028651, valid_mae 0.036587, valid_rmse 0.043137, valid_mape 160.714676, valid_acc 0.204345, test_loss 0.001013, ic 0.013941, icir 0.292903, ric -0.000018, ricir -0.000191, prec@10 0.523457, prec@30 0.509877, test_mae 0.018639, test_rmse 0.031012, test_mape 1004.166992, test_acc 0.473470
