Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 42, train_loss 0.001280, train_ic 0.006840, train_icir 0.108646, train_ric 0.005578, train_ricir 0.064806, valid_loss 0.0013273812 , valid_ic -0.000973, valid_icir -0.044491, valid_ric 0.012215, valid_ricir 0.281901, test_loss 0.002547, ic -0.006462, icir -0.226218, ric 0.002472, ricir 0.044695, prec@10 0.535802, prec@30 0.554595 
Epoch 43, train_loss 0.001301, train_ic 0.027183, train_icir 0.275625, train_ric 0.015345, train_ricir 0.117278, valid_loss 0.0010990826 , valid_ic 0.001183, valid_icir 0.023736, valid_ric -0.003897, valid_ricir -0.040044, test_loss 0.002338, ic -0.006252, icir -0.130666, ric -0.005520, ricir -0.043254, prec@10 0.537449, prec@30 0.512483 
Epoch 44, train_loss 0.001287, train_ic 0.034940, train_icir 0.406791, train_ric 0.023203, train_ricir 0.205921, valid_loss 0.0010612792 , valid_ic 0.003171, valid_icir 0.078272, valid_ric -0.003017, valid_ricir -0.039676, test_loss 0.002273, ic -0.003824, icir -0.094336, ric 0.000967, ricir 0.009171, prec@10 0.519342, prec@30 0.535528 
Epoch 45, train_loss 0.001310, train_ic 0.029965, train_icir 0.375277, train_ric 0.042822, train_ricir 0.407994, valid_loss 0.0012175583 , valid_ic 0.000939, valid_icir 0.023064, valid_ric 0.017568, valid_ricir 0.208532, test_loss 0.002413, ic -0.006908, icir -0.157324, ric 0.009192, ricir 0.091632, prec@10 0.559259, prec@30 0.561454 
Epoch 46, train_loss 0.001243, train_ic 0.029334, train_icir 0.362436, train_ric -0.011359, train_ricir -0.108074, valid_loss 0.0016879401 , valid_ic 0.006682, valid_icir 0.217301, valid_ric -0.011310, valid_ricir -0.175489, test_loss 0.002815, ic 0.000705, icir 0.022726, ric -0.005355, ricir -0.070535, prec@10 0.511523, prec@30 0.536214 
Epoch 47, train_loss 0.001268, train_ic 0.059046, train_icir 0.583654, train_ric 0.014582, train_ricir 0.109508, valid_loss 0.0012744665 , valid_ic 0.015860, valid_icir 0.341449, valid_ric -0.019784, valid_ricir -0.256144, test_loss 0.002392, ic 0.010039, icir 0.245910, ric 0.001675, ricir 0.019131, prec@10 0.565844, prec@30 0.568999 
Epoch 48, train_loss 0.001262, train_ic 0.037847, train_icir 0.485577, train_ric 0.038245, train_ricir 0.355353, valid_loss 0.0012109672 , valid_ic 0.014258, valid_icir 0.384426, valid_ric 0.006480, valid_ricir 0.105990, test_loss 0.002423, ic 0.008660, icir 0.228872, ric 0.014565, ricir 0.194314, prec@10 0.558025, prec@30 0.540878 
Epoch 49, train_loss 0.001268, train_ic 0.048691, train_icir 0.572397, train_ric 0.006072, train_ricir 0.052220, valid_loss 0.0011144022 , valid_ic 0.013317, valid_icir 0.344959, valid_ric -0.013236, valid_ricir -0.178619, test_loss 0.002233, ic 0.007505, icir 0.210090, ric 0.001213, ricir 0.012567, prec@10 0.575309, prec@30 0.554733 
Epoch 50, train_loss 0.001312, train_ic 0.034342, train_icir 0.359560, train_ric 0.009930, train_ricir 0.078547, valid_loss 0.0010686705 , valid_ic 0.010002, valid_icir 0.267035, valid_ric -0.000019, valid_ricir -0.000211, test_loss 0.002183, ic 0.003614, icir 0.106044, ric 0.005406, ricir 0.043092, prec@10 0.555556, prec@30 0.547462 
Epoch 51, train_loss 0.001251, train_ic 0.020805, train_icir 0.254294, train_ric 0.042217, train_ricir 0.420676, valid_loss 0.0010900993 , valid_ic 0.001178, valid_icir 0.030548, valid_ric 0.021364, valid_ricir 0.299542, test_loss 0.002192, ic -0.006661, icir -0.154406, ric 0.012026, ricir 0.144156, prec@10 0.498765, prec@30 0.490535 
Epoch 52, train_loss 0.001255, train_ic 0.018383, train_icir 0.208435, train_ric 0.033709, train_ricir 0.293491, valid_loss 0.0010277529 , valid_ic -0.003181, valid_icir -0.066840, valid_ric 0.012529, valid_ricir 0.139042, test_loss 0.002123, ic -0.010014, icir -0.199815, ric -0.001045, ricir -0.009281, prec@10 0.524280, prec@30 0.493690 
Epoch 53, train_loss 0.001263, train_ic 0.034318, train_icir 0.434840, train_ric 0.011263, train_ricir 0.121512, valid_loss 0.0016291053 , valid_ic 0.008753, valid_icir 0.259026, valid_ric 0.000749, valid_ricir 0.013801, test_loss 0.002633, ic -0.000160, icir -0.005892, ric 0.003380, ricir 0.060358, prec@10 0.534568, prec@30 0.543896 
Epoch 54, train_loss 0.001248, train_ic 0.027220, train_icir 0.282134, train_ric -0.007057, train_ricir -0.057257, valid_loss 0.0013122580 , valid_ic 0.008370, valid_icir 0.225206, valid_ric -0.006901, valid_ricir -0.077118, test_loss 0.002330, ic 0.002681, icir 0.081233, ric -0.002915, ricir -0.026079, prec@10 0.560494, prec@30 0.555418 
Epoch 55, train_loss 0.001239, train_ic 0.033647, train_icir 0.322605, train_ric 0.032130, train_ricir 0.249414, valid_loss 0.0010502434 , valid_ic 0.002752, valid_icir 0.049372, valid_ric 0.000337, valid_ricir 0.003516, test_loss 0.002090, ic -0.004397, icir -0.080978, ric -0.000045, ricir -0.000348, prec@10 0.553909, prec@30 0.513992 
Epoch 56, train_loss 0.001216, train_ic 0.041552, train_icir 0.467255, train_ric 0.012678, train_ricir 0.113876, valid_loss 0.0010750108 , valid_ic 0.004740, valid_icir 0.111889, valid_ric -0.006389, valid_ricir -0.086864, test_loss 0.002114, ic -0.004164, icir -0.103646, ric -0.000898, ricir -0.009731, prec@10 0.642387, prec@30 0.593964 
Epoch 57, train_loss 0.001253, train_ic 0.032664, train_icir 0.401835, train_ric 0.037653, train_ricir 0.372809, valid_loss 0.0010828216 , valid_ic 0.002422, valid_icir 0.060648, valid_ric 0.019886, valid_ricir 0.298821, test_loss 0.002145, ic -0.007708, icir -0.190588, ric 0.010446, ricir 0.131404, prec@10 0.615638, prec@30 0.589575 
Epoch 58, train_loss 0.001221, train_ic 0.040375, train_icir 0.373767, train_ric 0.008280, train_ricir 0.061829, valid_loss 0.0011431947 , valid_ic 0.020562, valid_icir 0.417705, valid_ric -0.000531, valid_ricir -0.005908, test_loss 0.002170, ic 0.015390, icir 0.361213, ric 0.009962, ricir 0.082497, prec@10 0.548971, prec@30 0.549520 
Epoch 59, train_loss 0.001269, train_ic 0.031215, train_icir 0.336678, train_ric 0.045051, train_ricir 0.392696, valid_loss 0.0012772228 , valid_ic 0.001904, valid_icir 0.047723, valid_ric 0.024276, valid_ricir 0.296086, test_loss 0.002298, ic -0.005533, icir -0.134144, ric 0.014303, ricir 0.161969, prec@10 0.554733, prec@30 0.551166 
Epoch 60, train_loss 0.001238, train_ic 0.036175, train_icir 0.432883, train_ric 0.028788, train_ricir 0.252490, valid_loss 0.0009894769 , valid_ic 0.007658, valid_icir 0.262345, valid_ric 0.013589, valid_ricir 0.161746, test_loss 0.001967, ic 0.001360, icir 0.043658, ric 0.011320, ricir 0.099569, prec@10 0.520988, prec@30 0.528807 
Epoch 61, train_loss 0.001225, train_ic 0.038177, train_icir 0.521479, train_ric 0.037360, train_ricir 0.381427, valid_loss 0.0009843670 , valid_ic 0.012299, valid_icir 0.462147, valid_ric 0.018992, valid_ricir 0.321571, test_loss 0.001956, ic 0.003377, icir 0.111705, ric 0.016782, ricir 0.216885, prec@10 0.556379, prec@30 0.546639 
Epoch 62, train_loss 0.001215, train_ic 0.044852, train_icir 0.617284, train_ric 0.022095, train_ricir 0.259822, valid_loss 0.0009929114 , valid_ic 0.005747, valid_icir 0.172117, valid_ric 0.001746, valid_ricir 0.038920, test_loss 0.001958, ic -0.001412, icir -0.038682, ric -0.001287, ricir -0.025950, prec@10 0.555556, prec@30 0.531824 
Epoch 63, train_loss 0.001229, train_ic 0.029583, train_icir 0.401803, train_ric 0.011363, train_ricir 0.129942, valid_loss 0.0010249045 , valid_ic 0.005680, valid_icir 0.211194, valid_ric 0.010449, valid_ricir 0.234536, test_loss 0.001966, ic -0.002782, icir -0.090254, ric -0.001477, ricir -0.030352, prec@10 0.555967, prec@30 0.543621 
Epoch 64, train_loss 0.001215, train_ic 0.037021, train_icir 0.505595, train_ric 0.054384, train_ricir 0.568201, valid_loss 0.0010561544 , valid_ic 0.003981, valid_icir 0.118478, valid_ric 0.030166, valid_ricir 0.394465, test_loss 0.001987, ic -0.004956, icir -0.134161, ric 0.016096, ricir 0.194294, prec@10 0.539506, prec@30 0.562826 
Epoch 65, train_loss 0.001232, train_ic 0.045399, train_icir 0.412166, train_ric 0.018215, train_ricir 0.135245, valid_loss 0.0010862525 , valid_ic 0.006589, valid_icir 0.120557, valid_ric -0.010088, valid_ricir -0.109540, test_loss 0.002090, ic -0.002712, icir -0.044575, ric -0.002896, ricir -0.021450, prec@10 0.564609, prec@30 0.548834 
Epoch 66, train_loss 0.001235, train_ic 0.055144, train_icir 0.567281, train_ric 0.002551, train_ricir 0.020659, valid_loss 0.0009972277 , valid_ic 0.020055, valid_icir 0.463683, valid_ric -0.013758, valid_ricir -0.185469, test_loss 0.001904, ic 0.011105, icir 0.288801, ric 0.000771, ricir 0.009068, prec@10 0.586008, prec@30 0.571056 
Epoch 67, train_loss 0.001214, train_ic 0.042422, train_icir 0.402818, train_ric 0.042583, train_ricir 0.337564, valid_loss 0.0013597683 , valid_ic 0.001157, valid_icir 0.018196, valid_ric 0.005352, valid_ricir 0.055925, test_loss 0.002377, ic -0.008480, icir -0.134571, ric 0.004984, ricir 0.041225, prec@10 0.633333, prec@30 0.595473 
Epoch 68, train_loss 0.001231, train_ic 0.053928, train_icir 0.593974, train_ric 0.026297, train_ricir 0.242341, valid_loss 0.0010352550 , valid_ic 0.014080, valid_icir 0.329141, valid_ric 0.000924, valid_ricir 0.014858, test_loss 0.001949, ic 0.002772, icir 0.066012, ric 0.007724, ricir 0.104171, prec@10 0.550617, prec@30 0.564609 
Epoch 69, train_loss 0.001202, train_ic 0.043310, train_icir 0.413082, train_ric 0.011315, train_ricir 0.087715, valid_loss 0.0010693856 , valid_ic 0.019445, valid_icir 0.439098, valid_ric 0.001516, valid_ricir 0.016933, test_loss 0.001946, ic 0.014854, icir 0.383982, ric 0.011340, ricir 0.095949, prec@10 0.560494, prec@30 0.547599 
Epoch 70, train_loss 0.001194, train_ic 0.048737, train_icir 0.690204, train_ric 0.015304, train_ricir 0.216353, valid_loss 0.0009416002 , valid_ic 0.011560, valid_icir 0.299204, valid_ric -0.002305, valid_ricir -0.059863, test_loss 0.001817, ic 0.001945, icir 0.052422, ric -0.003437, ricir -0.072904, prec@10 0.574486, prec@30 0.543073 
