Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- MLP ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "seq_len": 16,
        "pred_len": 1,
        "d_model": 64,
        "dropout": 0.1
    }
}
Epoch 32, train_loss 0.004029, train_ic 0.001798, train_icir 0.016572, train_ric 0.009947, train_ricir 0.075885, train_mae 0.024343, train_rmse 0.031289, train_mape 293.994629, train_acc 0.283372, valid_loss 0.0010976100, valid_ic -0.010096, valid_icir -0.151136, valid_ric 0.001764, valid_ricir 0.019332, valid_mae 0.025035, valid_rmse 0.031038, valid_mape 418.578522, valid_acc 0.350160, test_loss 0.001339, ic -0.016888, icir -0.210702, ric -0.008240, ricir -0.066366, prec@10 0.611934, prec@30 0.579835, test_mae 0.033231, test_rmse 0.040045, test_mape 333.829590, test_acc 0.191417
Epoch 33, train_loss 0.004001, train_ic -0.002159, train_icir -0.021947, train_ric -0.016030, train_ricir -0.111473, train_mae 0.013913, train_rmse 0.022634, train_mape 142.592041, train_acc 0.718118, valid_loss 0.0008767259, valid_ic 0.001395, valid_icir 0.024920, valid_ric -0.018155, valid_ricir -0.207451, valid_mae 0.014424, valid_rmse 0.022157, valid_mape 162.919418, valid_acc 0.580662, test_loss 0.001141, ic 0.007411, icir 0.128035, ric -0.016421, ricir -0.154525, prec@10 0.463374, prec@30 0.463100, test_mae 0.019219, test_rmse 0.027989, test_mape 133.906723, test_acc 0.703975
Epoch 34, train_loss 0.003993, train_ic -0.006810, train_icir -0.080475, train_ric 0.012762, train_ricir 0.100321, train_mae 0.017855, train_rmse 0.022893, train_mape 321.918854, train_acc 0.712266, valid_loss 0.0011454818, valid_ic 0.000495, valid_icir 0.010409, valid_ric 0.015026, valid_ricir 0.192893, valid_mae 0.019882, valid_rmse 0.024578, valid_mape 394.639282, valid_acc 0.587874, test_loss 0.001400, ic -0.000648, icir -0.013019, ric -0.000573, ricir -0.006198, prec@10 0.498354, prec@30 0.493553, test_mae 0.018394, test_rmse 0.024973, test_mape 267.606018, test_acc 0.753719
Epoch 35, train_loss 0.003982, train_ic 0.008010, train_icir 0.066491, train_ric -0.009707, train_ricir -0.062250, train_mae 0.043862, train_rmse 0.046313, train_mape 1319.653687, train_acc 0.332191, valid_loss 0.0022510065, valid_ic -0.012436, valid_icir -0.181988, valid_ric -0.021468, valid_ricir -0.207422, valid_mae 0.043185, valid_rmse 0.047562, valid_mape 830.048279, valid_acc 0.354167, test_loss 0.002492, ic -0.017077, icir -0.197295, ric -0.018807, ricir -0.125400, prec@10 0.605761, prec@30 0.586694, test_mae 0.053721, test_rmse 0.058981, test_mape 658.669250, test_acc 0.192636
Epoch 36, train_loss 0.003934, train_ic 0.009053, train_icir 0.082212, train_ric 0.013719, train_ricir 0.104785, train_mae 0.027296, train_rmse 0.034653, train_mape 371.057709, train_acc 0.505666, valid_loss 0.0014767094, valid_ic -0.011230, valid_icir -0.170928, valid_ric -0.000653, valid_ricir -0.007029, valid_mae 0.032544, valid_rmse 0.037765, valid_mape 589.402100, valid_acc 0.346421, test_loss 0.001731, ic -0.016793, icir -0.206294, ric -0.006727, ricir -0.051456, prec@10 0.631276, prec@30 0.582305, test_mae 0.041000, test_rmse 0.047045, test_mape 458.384277, test_acc 0.189466
Epoch 37, train_loss 0.003935, train_ic 0.002489, train_icir 0.021984, train_ric 0.020654, train_ricir 0.155526, train_mae 0.013129, train_rmse 0.019672, train_mape 157.861893, train_acc 0.424772, valid_loss 0.0008277677, valid_ic -0.014149, valid_icir -0.182462, valid_ric 0.006009, valid_ricir 0.059572, valid_mae 0.015015, valid_rmse 0.022996, valid_mape 167.005783, valid_acc 0.432158, test_loss 0.001086, ic -0.024821, icir -0.253000, ric -0.004771, ricir -0.033761, prec@10 0.608642, prec@30 0.578052, test_mae 0.022610, test_rmse 0.030966, test_mape 161.104935, test_acc 0.299683
Epoch 38, train_loss 0.003869, train_ic 0.006290, train_icir 0.060408, train_ric -0.006039, train_ricir -0.039141, train_mae 0.029428, train_rmse 0.037233, train_mape 406.647247, train_acc 0.588807, valid_loss 0.0018602323, valid_ic -0.012816, valid_icir -0.205705, valid_ric -0.019822, valid_ricir -0.191843, valid_mae 0.037477, valid_rmse 0.042521, valid_mape 694.878540, valid_acc 0.358173, test_loss 0.002170, ic -0.018666, icir -0.245031, ric -0.018289, ricir -0.120832, prec@10 0.611111, prec@30 0.589438, test_mae 0.048557, test_rmse 0.054166, test_mape 569.953674, test_acc 0.195562
Epoch 39, train_loss 0.003900, train_ic 0.004738, train_icir 0.048069, train_ric 0.019389, train_ricir 0.145044, train_mae 0.021152, train_rmse 0.029307, train_mape 264.739197, train_acc 0.369976, valid_loss 0.0010710040, valid_ic -0.013330, valid_icir -0.195892, valid_ric 0.003681, valid_ricir 0.036133, valid_mae 0.022761, valid_rmse 0.029870, valid_mape 361.155426, valid_acc 0.358173, test_loss 0.001363, ic -0.022115, icir -0.269826, ric -0.006064, ricir -0.042315, prec@10 0.620576, prec@30 0.592867, test_mae 0.031658, test_rmse 0.039082, test_mape 303.480499, test_acc 0.197513
Epoch 40, train_loss 0.003826, train_ic 0.004591, train_icir 0.043836, train_ric 0.000935, train_ricir 0.006772, train_mae 0.026417, train_rmse 0.032836, train_mape 108.614578, train_acc 0.259830, valid_loss 0.0008307648, valid_ic -0.016431, valid_icir -0.283633, valid_ric -0.013254, valid_ricir -0.142723, valid_mae 0.014323, valid_rmse 0.022799, valid_mape 128.466110, valid_acc 0.401976, test_loss 0.001119, ic -0.020064, icir -0.295411, ric -0.015087, ricir -0.114593, prec@10 0.635391, prec@30 0.594925, test_mae 0.022123, test_rmse 0.030585, test_mape 142.207474, test_acc 0.233358
Epoch 41, train_loss 0.003910, train_ic 0.001792, train_icir 0.017325, train_ric -0.010799, train_ricir -0.073600, train_mae 0.044600, train_rmse 0.050139, train_mape 134.647476, train_acc 0.094848, valid_loss 0.0010082083, valid_ic -0.018260, valid_icir -0.337065, valid_ric -0.022596, valid_ricir -0.246319, valid_mae 0.016109, valid_rmse 0.024176, valid_mape 244.776794, valid_acc 0.597756, test_loss 0.001357, ic -0.021352, icir -0.345512, ric -0.020085, ricir -0.159214, prec@10 0.626337, prec@30 0.594376, test_mae 0.018383, test_rmse 0.027875, test_mape 168.002441, test_acc 0.758108
